Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-05,19.448586,[32 57] ; [101  54],[48.51229508 40.48770492] ; [84.48770492 70.51229508],1
d3,1,0.001724,9.821938,[24 65] ; [73 81],[35.52674897 53.47325103] ; [61.47325103 92.52674897],0
r4,1,0.002227,9.35232,[65 24] ; [137  18],[73.68032787 15.31967213] ; [128.31967213  26.68032787],0
p8,1,0.009902,6.652358,[45 44] ; [103  50],[54.42975207 34.57024793] ; [93.57024793 59.42975207],0
r1,1,0.010881,6.484607,[55 34] ; [118  35],[63.62396694 25.37603306] ; [109.37603306  43.62396694],0
d2,1,0.015878,5.816342,[20 69] ; [ 17 138],[13.49590164 75.50409836] ; [ 23.50409836 131.49590164],0
v4,1,0.024247,5.076851,[77 11] ; [146   7],[81.42738589  6.57261411] ; [141.57261411  11.42738589],0
r3,1,0.025037,5.021338,[78 11] ; [147   7],[82.40740741  6.59259259] ; [142.59259259  11.40740741],0
a2,1,0.039301,4.247809,[ 2 87] ; [ 14 141],[ 5.83606557 83.16393443] ; [ 10.16393443 144.83606557],0
a5,1,0.041678,4.148216,[42 47] ; [94 61],[49.60655738 39.39344262] ; [86.39344262 68.60655738],0
r2,1,0.042854,4.101162,[72 16] ; [138  14],[77. 11.] ; [133.  19.],0
b5,1,0.052712,3.753021,[42 47] ; [93 62],[49.24180328 39.75819672] ; [85.75819672 69.24180328],0
p9,1,0.056499,3.637275,[64 25] ; [126  27],[69.87603306 19.12396694] ; [120.12396694  32.87603306],0
s3,1,0.065696,3.387407,[57 31] ; [81 73],[50.18181818 37.81818182] ; [87.81818182 66.18181818],0
p10,1,0.10247,2.666676,[62 26] ; [122  31],[67.18672199 20.81327801] ; [116.81327801  36.18672199],0
u3,1,0.108858,2.570727,[15 24] ; [34 28],[18.92079208 20.07920792] ; [30.07920792 31.92079208],0
p2,1,0.123265,2.375334,[73 16] ; [138  17],[76.96311475 12.03688525] ; [134.03688525  20.96311475],0
s6,1,0.1298,2.294896,[50 34] ; [106  47],[55.29113924 28.70886076] ; [100.70886076  52.29113924],0
s2,1,0.1695,1.887363,[46 43] ; [66 89],[40.85245902 48.14754098] ; [71.14754098 83.85245902],0
u2,1,0.178293,1.811793,[17 22] ; [35 26],[20.28 18.72] ; [31.72 29.28],0
a1,1,0.20263,1.623316,[ 6 83] ; [  5 150],[ 4.01229508 84.98770492] ; [  6.98770492 148.01229508],0
n6,1,0.210616,1.567187,[68 21] ; [127  26],[71.71487603 17.28512397] ; [123.28512397  29.71487603],0
s4,1,0.237792,1.393634,[18 71] ; [ 22 131],[14.7107438 74.2892562] ; [ 25.2892562 127.7107438],0
v2,1,0.283189,1.151722,[41 46] ; [81 68],[44.97457627 42.02542373] ; [77.02542373 71.97457627],0
s8,1,0.29517,1.095888,[38 50] ; [56 98],[34.18181818 53.81818182] ; [59.81818182 94.18181818],0
v1,1,0.298047,1.082912,[47 40] ; [71 80],[43.13445378 43.86554622] ; [74.86554622 76.13445378],0
n3,1,0.351783,0.867013,[22  8] ; [29  6],[23.53846154  6.46153846] ; [27.46153846  7.53846154],0
p3,1,0.362232,0.830141,[44 45] ; [86 69],[47.41803279 41.58196721] ; [82.58196721 72.41803279],0
a8,1,0.422739,0.642687,[10 74] ; [ 23 123],[12.05217391 71.94782609] ; [ 20.94782609 125.05217391],0
p5,1,0.436103,0.606516,[10 78] ; [ 23 131],[12. 76.] ; [ 21. 133.],0
s7,1,0.475864,0.508327,[44 41] ; [68 77],[41.39130435 43.60869565] ; [70.60869565 74.39130435],0
p4,1,0.476657,0.506502,[51 38] ; [96 59],[53.61885246 35.38114754] ; [93.38114754 61.61885246],0
u1,1,0.516423,0.42103,[ 3 86] ; [  8 147],[ 4.01229508 84.98770492] ; [  6.98770492 148.01229508],0
d5,1,0.578553,0.30858,[49 40] ; [91 64],[51.06557377 37.93442623] ; [88.93442623 66.06557377],0
