Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000635,11.67101,[11 39] ; [15  9],[17.56756757 32.43243243] ; [ 8.43243243 15.56756757],1
p7,1,0.002241,9.341038,[15 36] ; [16  8],[21.08 29.92] ; [ 9.92 14.08],0
s6,1,0.005385,7.745253,[10 40] ; [12 11],[15.06849315 34.93150685] ; [ 6.93150685 16.06849315],0
b3,1,0.012014,6.308824,[15 11] ; [ 2 11],[11.33333333 14.66666667] ; [5.66666667 7.33333333],0
b2,1,0.012014,6.308824,[15 11] ; [ 2 11],[11.33333333 14.66666667] ; [5.66666667 7.33333333],0
s2,1,0.021881,5.25519,[12 39] ; [12 12],[16.32 34.68] ; [ 7.68 16.32],0
n3,1,0.029096,4.761905,[ 8 13] ; [6 1],[10.5 10.5] ; [3.5 3.5],0
s3,1,0.03334,4.528214,[14 35] ; [13 11],[18.12328767 30.87671233] ; [ 8.87671233 15.12328767],0
s5,1,0.041985,4.135827,[ 8 42] ; [ 8 13],[11.26760563 38.73239437] ; [ 4.73239437 16.26760563],0
p6,1,0.075854,3.151571,[ 6 43] ; [ 7 17],[ 8.7260274 40.2739726] ; [ 4.2739726 19.7260274],0
n2,1,0.07776,3.111111,[10 11] ; [6 1],[12.  9.] ; [4. 3.],0
r4,1,0.085804,2.951389,[17 34] ; [13 11],[20.4 30.6] ; [ 9.6 14.4],0
n5,1,0.086263,2.942768,[32 19] ; [10 14],[28.56 22.44] ; [13.44 10.56],0
r3,1,0.095467,2.779676,[28 23] ; [18  6],[31.28 19.72] ; [14.72  9.28],0
p2,1,0.117683,2.447886,[22 29] ; [15  9],[25.16 25.84] ; [11.84 12.16],0
v1,1,0.11959,2.422681,[12 38] ; [10 14],[14.86486486 35.13513514] ; [ 7.13513514 16.86486486],0
a2,1,0.152122,2.050839,[ 8 43] ; [ 1 23],[ 6.12 44.88] ; [ 2.88 21.12],0
d3,1,0.157623,1.99688,[22 27] ; [15  9],[24.83561644 24.16438356] ; [12.16438356 11.83561644],0
a6,1,0.159684,1.977214,[28 23] ; [ 9 15],[25.16 25.84] ; [11.84 12.16],0
s8,1,0.189945,1.718043,[ 5 46] ; [ 5 19],[ 6.8 44.2] ; [ 3.2 20.8],0
p5,1,0.195959,1.672238,[ 1 49] ; [ 2 22],[ 2.02702703 47.97297297] ; [ 0.97297297 23.02702703],0
a1,1,0.210949,1.564901,[ 7 44] ; [ 1 23],[ 5.44 45.56] ; [ 2.56 21.44],0
d1,1,0.21828,1.515643,[14 37] ; [10 14],[16.32 34.68] ; [ 7.68 16.32],0
u3,1,0.229766,1.442308,[ 7 19] ; [6 7],[ 8.66666667 17.33333333] ; [4.33333333 8.66666667],0
r2,1,0.248213,1.333333,[34 14] ; [20  4],[36. 12.] ; [18.  6.],0
d4,1,0.26225,1.25684,[27 24] ; [16  8],[29.24 21.76] ; [13.76 10.24],0
p1,1,0.324414,0.971068,[ 3 48] ; [ 3 21],[ 4.08 46.92] ; [ 1.92 22.08],0
n6,1,0.334469,0.931516,[28 23] ; [16  8],[29.92 21.08] ; [14.08  9.92],0
b1,1,0.334469,0.931516,[28 23] ; [16  8],[29.92 21.08] ; [14.08  9.92],0
s4,1,0.356355,0.850697,[10 41] ; [ 7 17],[11.56 39.44] ; [ 5.44 18.56],0
a5,1,0.371793,0.797663,[22 29] ; [13 11],[23.8 27.2] ; [11.2 12.8],0
v2,1,0.397378,0.716247,[12 38] ; [ 8 16],[13.51351351 36.48648649] ; [ 6.48648649 17.51351351],0
s7,1,0.419817,0.650826,[ 9 39] ; [ 6 16],[10.28571429 37.71428571] ; [ 4.71428571 17.28571429],0
a4,1,0.433587,0.613197,[17 33] ; [ 6 18],[15.54054054 34.45945946] ; [ 7.45945946 16.54054054],0
v3,1,0.443362,0.587567,[13 38] ; [ 4 19],[11.71621622 39.28378378] ; [ 5.28378378 17.71621622],0
p8,1,0.509986,0.434096,[ 9 40] ; [ 6 18],[10.06849315 38.93150685] ; [ 4.93150685 19.06849315],0
a7,1,0.510555,0.432929,[23 27] ; [13 11],[24.32432432 25.67567568] ; [11.67567568 12.32432432],0
b5,1,0.515286,0.423318,[30 21] ; [16  8],[31.28 19.72] ; [14.72  9.28],0
n4,1,0.577586,0.310153,[29 22] ; [12 12],[27.88 23.12] ; [13.12 10.88],0
d2,1,0.633995,0.226682,[20 30] ; [11 13],[20.94594595 29.05405405] ; [10.05405405 13.94594595],0
n1,1,0.648807,0.207407,[ 7 14] ; [3 4],[ 7.5 13.5] ; [2.5 4.5],0
p10,1,0.65094,0.204717,[19 30] ; [ 8 16],[18.12328767 30.87671233] ; [ 8.87671233 15.12328767],0
b4,1,0.69141,0.157563,[23 28] ; [12 12],[23.8 27.2] ; [11.2 12.8],0
v4,1,0.718216,0.130208,[34 17] ; [17  7],[34.68 16.32] ; [16.32  7.68],0
a3,1,0.737097,0.112695,[25 25] ; [11 13],[24.32432432 25.67567568] ; [11.67567568 12.32432432],0
a8,1,0.743052,0.107463,[ 3 45] ; [ 2 22],[ 3.33333333 44.66666667] ; [ 1.66666667 22.33333333],0
d5,1,0.755352,0.097088,[29 21] ; [13 11],[28.37837838 21.62162162] ; [13.62162162 10.37837838],0
p9,1,0.874034,0.025134,[24 22] ; [13 11],[24.31428571 21.68571429] ; [12.68571429 11.31428571],0
u2,1,0.938278,0.005996,[ 9 17] ; [4 8],[ 8.89473684 17.10526316] ; [4.10526316 7.89473684],0
s1,1,0.959701,0.002553,[ 2 49] ; [ 1 23],[ 2.04 48.96] ; [ 0.96 23.04],0
