Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.656505,[39 27] ; [75  7],[50.83783784 15.16216216] ; [63.16216216 18.83783784],1
p7,1,9e-06,19.617848,[13 53] ; [46 37],[26.13422819 39.86577181] ; [32.86577181 50.13422819],1
v4,1,4.4e-05,16.692503,[41 25] ; [74  8],[51.28378378 14.71621622] ; [63.71621622 18.28378378],1
p8,1,0.00024,13.488955,[ 7 59] ; [30 51],[16.6122449 49.3877551] ; [20.3877551 60.6122449],1
r4,1,0.000395,12.555017,[34 33] ; [65 18],[44.22 22.78] ; [54.78 28.22],1
p9,1,0.003007,8.802977,[13 52] ; [35 46],[21.36986301 43.63013699] ; [26.63013699 54.36986301],0
p11,1,0.0065,7.406171,[23 44] ; [47 36],[31.26666667 35.73333333] ; [38.73333333 44.26666667],0
n3,1,0.011305,6.416725,[15 16] ; [26  7],[19.859375 11.140625] ; [21.140625 11.859375],0
b5,1,0.017677,5.627883,[35 32] ; [59 24],[41.98666667 25.01333333] ; [52.01333333 30.98666667],0
p3,1,0.021963,5.248688,[10 56] ; [26 57],[15.94630872 50.05369128] ; [20.05369128 62.94630872],0
p4,1,0.025328,5.001303,[14 53] ; [31 51],[20.23489933 46.76510067] ; [24.76510067 57.23489933],0
a1,1,0.027553,4.855828,[ 9 58] ; [ 3 80],[ 5.36 61.64] ; [ 6.64 76.36],0
r1,1,0.037684,4.319218,[34 32] ; [56 26],[40.13513514 25.86486486] ; [49.86486486 32.13513514],0
s3,1,0.04024,4.207733,[11 54] ; [26 56],[16.36054422 48.63945578] ; [20.63945578 61.36054422],0
v2,1,0.043561,4.073508,[17 47] ; [35 47],[22.79452055 41.20547945] ; [29.20547945 52.79452055],0
a7,1,0.054667,3.692207,[34 32] ; [55 27],[39.68918919 26.31081081] ; [49.31081081 32.68918919],0
s1,1,0.078351,3.098776,[ 6 60] ; [ 2 79],[ 3.59183673 62.40816327] ; [ 4.40816327 76.59183673],0
n5,1,0.078361,3.098575,[39 27] ; [37 46],[33.66442953 32.33557047] ; [42.33557047 40.66442953],0
d3,1,0.093736,2.80902,[32 35] ; [51 32],[37.07333333 29.92666667] ; [45.92666667 37.07333333],0
b2,1,0.095071,2.786342,[19 28] ; [12 37],[15.17708333 31.82291667] ; [15.82291667 33.17708333],0
b3,1,0.095071,2.786342,[19 28] ; [12 37],[15.17708333 31.82291667] ; [15.82291667 33.17708333],0
v1,1,0.106813,2.600751,[16 50] ; [30 52],[20.51351351 45.48648649] ; [25.48648649 56.51351351],0
n2,1,0.121534,2.397436,[17 17] ; [22 10],[20.09090909 13.90909091] ; [18.90909091 13.09090909],0
p6,1,0.132965,2.257539,[ 9 56] ; [19 61],[12.55172414 52.44827586] ; [15.44827586 64.55172414],0
b1,1,0.148851,2.08399,[37 30] ; [36 47],[32.60666667 34.39333333] ; [40.39333333 42.60666667],0
u3,1,0.155174,2.020637,[16 15] ; [12 23],[13.15151515 17.84848485] ; [14.84848485 20.15151515],0
d2,1,0.170902,1.875011,[34 32] ; [33 49],[29.87837838 36.12162162] ; [37.12162162 44.87837838],0
a6,1,0.209506,1.574836,[36 31] ; [53 30],[39.75333333 27.24666667] ; [49.24666667 33.75333333],0
a4,1,0.23144,1.431993,[29 36] ; [29 54],[25.47297297 39.52702703] ; [32.52702703 50.47297297],0
d1,1,0.270095,1.216263,[31 36] ; [31 52],[27.69333333 39.30666667] ; [34.30666667 48.69333333],0
n6,1,0.280164,1.166295,[35 30] ; [52 31],[38.20945946 26.79054054] ; [48.79054054 34.20945946],0
r2,1,0.33483,0.930127,[50 14] ; [70 13],[52.24489796 11.75510204] ; [67.75510204 15.24489796],0
a8,1,0.385587,0.752815,[ 5 58] ; [ 9 63],[ 6.53333333 56.46666667] ; [ 7.46666667 64.53333333],0
s8,1,0.412223,0.672381,[ 6 60] ; [11 71],[ 7.58108108 58.41891892] ; [ 9.41891892 72.58108108],0
