Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,110.373286,[306  28] ; [33 47],[273.49275362  60.50724638] ; [65.50724638 14.49275362],1
n6,1,0.0,29.598875,[308  25] ; [55 23],[294.10948905  38.89051095] ; [68.89051095  9.10948905],1
a3,1,3e-05,17.419174,[253  80] ; [42 38],[237.85714286  95.14285714] ; [57.14285714 22.85714286],1
d2,1,0.00038,12.628089,[174 160] ; [24 56],[159.73913043 174.26086957] ; [38.26086957 41.73913043],1
r4,1,0.000525,12.026104,[318  17] ; [67 13],[310.78313253  24.21686747] ; [74.21686747  5.78313253],1
p4,1,0.000672,11.563967,[261  72] ; [48 32],[249.14527845  83.85472155] ; [59.85472155 20.14527845],1
p3,1,0.000756,11.346351,[229 104] ; [39 41],[216.08716707 116.91283293] ; [51.91283293 28.08716707],1
r2,1,0.000874,11.076957,[318  11] ; [70 10],[312.10757946  16.89242054] ; [75.89242054  4.10757946],1
a4,1,0.00156,10.0058,[157 177] ; [22 58],[144.41062802 189.58937198] ; [34.58937198 45.41062802],0
a2,1,0.002419,9.200976,[ 81 254] ; [ 7 73],[ 71.03614458 263.96385542] ; [16.96385542 63.03614458],0
v1,1,0.003622,8.46413,[211 118] ; [35 41],[199.83703704 129.16296296] ; [46.16296296 29.83703704],0
r1,1,0.003952,8.305599,[286  47] ; [58 22],[277.36561743  55.63438257] ; [66.63438257 13.36561743],0
a8,1,0.004488,8.07515,[ 53 255] ; [ 3 70],[ 45.27034121 262.72965879] ; [10.72965879 62.27034121],0
r3,1,0.005313,7.769785,[320  12] ; [71  9],[315.0776699  16.9223301] ; [75.9223301  4.0776699],0
s7,1,0.006187,7.495072,[182 134] ; [31 46],[171.26717557 144.73282443] ; [41.73282443 35.26717557],0
d1,1,0.006898,7.299266,[218 117] ; [39 41],[207.45783133 127.54216867] ; [49.54216867 30.45783133],0
v3,1,0.011542,6.379873,[156 172] ; [24 52],[146.13861386 181.86138614] ; [33.86138614 42.13861386],0
d5,1,0.01482,5.937769,[277  56] ; [57 23],[269.30266344  63.69733656] ; [64.69733656 15.30266344],0
p6,1,0.015844,5.820054,[173 161] ; [29 50],[163.36077482 170.63922518] ; [38.63922518 40.36077482],0
a5,1,0.015997,5.803154,[268  67] ; [54 26],[259.92771084  75.07228916] ; [62.07228916 17.92771084],0
b1,1,0.019763,5.43274,[135 200] ; [21 59],[125.92771084 209.07228916] ; [30.07228916 49.92771084],0
p5,1,0.025014,5.0229,[ 70 265] ; [ 8 72],[ 62.96385542 272.03614458] ; [15.03614458 64.96385542],0
p2,1,0.029874,4.716517,[313  22] ; [68 11],[308.29710145  26.70289855] ; [72.70289855  6.29710145],0
u1,1,0.045425,4.002785,[ 60 275] ; [ 7 73],[ 54.08433735 280.91566265] ; [12.91566265 67.08433735],0
a6,1,0.049479,3.859042,[226 107] ; [45 35],[218.50605327 114.49394673] ; [52.49394673 27.50605327],0
d4,1,0.050385,3.8286,[284  49] ; [61 19],[278.17191283  54.82808717] ; [66.82808717 13.17191283],0
s2,1,0.070853,3.263145,[182 149] ; [35 45],[174.76155718 156.23844282] ; [42.23844282 37.76155718],0
v2,1,0.07631,3.141794,[198 126] ; [38 38],[191.16 132.84] ; [44.84 31.16],0
p11,1,0.08344,2.996594,[303  32] ; [67 13],[298.6746988  36.3253012] ; [71.3253012  8.6746988],0
s3,1,0.098771,2.725271,[192 137] ; [38 41],[185.46568627 143.53431373] ; [44.53431373 34.46568627],0
s8,1,0.106013,2.612671,[174 157] ; [34 46],[167.513382 163.486618] ; [40.486618 39.513382],0
b5,1,0.130365,2.288149,[178 157] ; [50 30],[184.04819277 150.95180723] ; [43.95180723 36.04819277],0
p7,1,0.139255,2.186176,[281  51] ; [59 17],[276.66666667  55.33333333] ; [63.33333333 12.66666667],0
s5,1,0.222244,1.489824,[135 185] ; [27 51],[130.25125628 189.74874372] ; [31.74874372 46.25125628],0
s4,1,0.248553,1.331419,[ 56 274] ; [18 62],[ 59.56097561 270.43902439] ; [14.43902439 65.56097561],0
a7,1,0.27268,1.203216,[243  91] ; [63 17],[246.86956522  87.13043478] ; [59.13043478 20.86956522],0
s6,1,0.282532,1.154869,[231  90] ; [52 27],[227.1075  93.8925] ; [55.8925 23.1075],0
p1,1,0.346407,0.886577,[ 43 292] ; [ 7 71],[ 40.55690073 294.44309927] ; [ 9.44309927 68.55690073],0
p12,1,0.372016,0.796919,[ 41 292] ; [ 7 73],[ 38.70217918 294.29782082] ; [ 9.29782082 70.70217918],0
u2,1,0.378172,0.776637,[47 35] ; [25 13],[49.2 32.8] ; [22.8 15.2],0
d3,1,0.392382,0.731547,[230 104] ; [59 21],[233.15458937 100.84541063] ; [55.84541063 24.15458937],0
v4,1,0.394282,0.725697,[324   7] ; [77  3],[322.94647202   8.05352798] ; [78.05352798  1.94647202],0
a1,1,0.435526,0.608042,[ 20 315] ; [ 3 77],[ 18.56626506 316.43373494] ; [ 4.43373494 75.56626506],0
n1,1,0.442005,0.591071,[17 24] ; [ 8 17],[15.53030303 25.46969697] ; [ 9.46969697 15.53030303],0
n3,1,0.470072,0.521806,[29 11] ; [16  9],[27.69230769 12.30769231] ; [17.30769231  7.69230769],0
u4,1,0.528112,0.398024,[  8 326] ; [ 1 79],[  7.26086957 326.73913043] ; [ 1.73913043 78.26086957],0
p9,1,0.588938,0.292006,[319  16] ; [75  5],[318.04819277  16.95180723] ; [75.95180723  4.04819277],0
b4,1,0.635032,0.225298,[187 148] ; [47 33],[188.89156627 146.10843373] ; [45.10843373 34.89156627],0
n2,1,0.665294,0.187156,[33  8] ; [19  6],[32.3030303  8.6969697] ; [19.6969697  5.3030303],0
s1,1,0.812994,0.055963,[ 10 324] ; [ 2 78],[  9.68115942 324.31884058] ; [ 2.31884058 77.68115942],0
b2,1,0.856633,0.032639,[ 81 130] ; [14 24],[ 80.50200803 130.49799197] ; [14.49799197 23.50200803],0
b3,1,0.856633,0.032639,[ 81 130] ; [14 24],[ 80.50200803 130.49799197] ; [14.49799197 23.50200803],0
u3,1,0.954409,0.003269,[47 35] ; [21 16],[46.85714286 35.14285714] ; [21.14285714 15.85714286],0
