Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-05,19.575516,[11 18] ; [52 10],[20.07692308  8.92307692] ; [42.92307692 19.07692308],1
r4,1,2.2e-05,18.002647,[14 15] ; [56  7],[22.06521739  6.93478261] ; [47.93478261 15.06521739],1
v2,1,0.000123,14.748593,[ 4 23] ; [36 25],[12.27272727 14.72727273] ; [27.72727273 33.27272727],1
r3,1,0.000143,14.45701,[19 10] ; [60  3],[24.90217391  4.09782609] ; [54.09782609  8.90217391],1
r1,1,0.000305,13.03933,[12 17] ; [50 13],[19.54347826  9.45652174] ; [42.45652174 20.54347826],1
p2,1,0.002361,9.245118,[15 14] ; [51 11],[21.03296703  7.96703297] ; [44.96703297 17.03296703],0
n6,1,0.003108,8.743131,[13 16] ; [48 15],[19.22826087  9.77173913] ; [41.77173913 21.22826087],0
d5,1,0.003492,8.530963,[12 17] ; [46 17],[18.2826087 10.7173913] ; [39.7173913 23.2826087],0
v4,1,0.011495,6.3871,[20  8] ; [56  5],[23.91011236  4.08988764] ; [52.08988764  8.91011236],0
r2,1,0.012749,6.20359,[22  5] ; [61  2],[24.9  2.1] ; [58.1  4.9],0
v1,1,0.015333,5.877778,[ 7 21] ; [32 29],[12.26966292 15.73033708] ; [26.73033708 34.26966292],0
p9,1,0.018939,5.507136,[15 14] ; [48 15],[19.85869565  9.14130435] ; [43.14130435 19.85869565],0
p4,1,0.021986,5.246863,[ 8 21] ; [33 29],[13.06593407 15.93406593] ; [27.93406593 34.06593407],0
u2,1,0.02565,4.979471,[ 3 10] ; [12  7],[6.09375 6.90625] ; [ 8.90625 10.09375],0
n4,1,0.026949,4.894094,[16 13] ; [49 14],[20.48913043  8.51086957] ; [44.51086957 18.48913043],0
s2,1,0.043424,4.078818,[10 19] ; [36 27],[14.5 14.5] ; [31.5 31.5],0
s8,1,0.050297,3.831518,[ 4 25] ; [21 42],[ 7.88043478 21.11956522] ; [17.11956522 45.88043478],0
s7,1,0.054636,3.69317,[ 5 21] ; [24 35],[ 8.87058824 17.12941176] ; [20.12941176 38.87058824],0
s1,1,0.05839,3.582521,[ 4 25] ; [ 2 60],[ 1.91208791 27.08791209] ; [ 4.08791209 57.91208791],0
v3,1,0.060162,3.532904,[ 5 23] ; [22 36],[ 8.79069767 19.20930233] ; [18.20930233 39.79069767],0
d2,1,0.06573,3.386552,[17 12] ; [24 39],[12.92391304 16.07608696] ; [28.07608696 34.92391304],0
p7,1,0.13189,2.270118,[14 15] ; [39 21],[17.26966292 11.73033708] ; [35.73033708 24.26966292],0
p8,1,0.136228,2.22006,[ 7 21] ; [26 37],[10.15384615 17.84615385] ; [22.84615385 40.15384615],0
n5,1,0.138486,2.194701,[16 13] ; [44 18],[19.12087912  9.87912088] ; [40.87912088 21.12087912],0
s5,1,0.176989,1.822731,[ 2 25] ; [11 48],[ 4.08139535 22.91860465] ; [ 8.91860465 50.08139535],0
d1,1,0.197368,1.661741,[11 18] ; [33 30],[13.86956522 15.13043478] ; [30.13043478 32.86956522],0
b5,1,0.206311,1.597123,[17 12] ; [28 35],[14.18478261 14.81521739] ; [30.81521739 32.18478261],0
b4,1,0.213575,1.547025,[13 16] ; [37 26],[15.76086957 13.23913043] ; [34.23913043 28.76086957],0
p6,1,0.219033,1.510693,[ 5 23] ; [19 44],[ 7.38461538 20.61538462] ; [16.61538462 46.38461538],0
u3,1,0.220805,1.499132,[4 9] ; [10  9],[5.6875 7.3125] ; [ 8.3125 10.6875],0
b1,1,0.222668,1.487094,[14 15] ; [22 41],[11.34782609 17.65217391] ; [24.65217391 38.34782609],0
a4,1,0.224192,1.477335,[13 16] ; [20 43],[10.40217391 18.59782609] ; [22.59782609 40.40217391],0
