Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.050493,3.825,[27  9] ; [7 8],[24. 12.] ; [10.  5.],0
s7,1,0.058453,3.580742,[12 22] ; [ 1 12],[ 9.40425532 24.59574468] ; [3.59574468 9.40425532],0
p4,1,0.058858,3.569284,[23 14] ; [ 5 10],[19.92307692 17.07692308] ; [8.07692308 6.92307692],0
p11,1,0.065154,3.401081,[31  6] ; [9 6],[28.46153846  8.53846154] ; [11.53846154  3.46153846],0
p8,1,0.072687,3.221278,[20 17] ; [ 4 11],[17.07692308 19.92307692] ; [6.92307692 8.07692308],0
p7,1,0.087575,2.918385,[22 15] ; [ 5 10],[19.21153846 17.78846154] ; [7.78846154 7.21153846],0
p6,1,0.089696,2.879826,[11 26] ; [ 1 13],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
v4,1,0.113767,2.501101,[28  9] ; [8 7],[25.61538462 11.38461538] ; [10.38461538  4.61538462],0
d3,1,0.1259,2.342342,[21 16] ; [ 5 10],[18.5 18.5] ; [7.5 7.5],0
s6,1,0.1259,2.342342,[21 16] ; [ 5 10],[18.5 18.5] ; [7.5 7.5],0
p1,1,0.136349,2.218692,[ 1 36] ; [ 2 13],[ 2.13461538 34.86538462] ; [ 0.86538462 14.13461538],0
d5,1,0.160457,1.96991,[25 12] ; [7 8],[22.76923077 14.23076923] ; [9.23076923 5.76923077],0
p9,1,0.194883,1.680309,[28  8] ; [9 6],[26.11764706  9.88235294] ; [10.88235294  4.11764706],0
s5,1,0.196547,1.667845,[ 8 29] ; [ 1 14],[ 6.40384615 30.59615385] ; [ 2.59615385 12.40384615],0
s8,1,0.21412,1.543348,[14 23] ; [ 3 12],[12.09615385 24.90384615] ; [ 4.90384615 10.09615385],0
n4,1,0.225637,1.468156,[24 13] ; [7 8],[22.05769231 14.94230769] ; [8.94230769 6.05769231],0
a4,1,0.263696,1.249249,[ 7 30] ; [ 5 10],[ 8.53846154 28.46153846] ; [ 3.46153846 11.53846154],0
s4,1,0.267253,1.230794,[ 7 30] ; [ 1 14],[ 5.69230769 31.30769231] ; [ 2.30769231 12.69230769],0
p3,1,0.267272,1.230695,[14 23] ; [ 3 11],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
a6,1,0.313732,1.014898,[18 19] ; [ 5 10],[16.36538462 20.63461538] ; [6.63461538 8.36538462],0
n1,1,0.329114,0.952381,[ 4 12] ; [2 2],[ 4.8 11.2] ; [1.2 2.8],0
s1,1,0.331061,0.944745,[ 2 35] ; [ 2 13],[ 2.84615385 34.15384615] ; [ 1.15384615 13.84615385],0
r1,1,0.346569,0.885981,[15 22] ; [ 4 11],[13.51923077 23.48076923] ; [5.48076923 9.51923077],0
d1,1,0.369978,0.80374,[12 25] ; [ 3 12],[10.67307692 26.32692308] ; [ 4.32692308 10.67307692],0
b1,1,0.457942,0.550919,[18 19] ; [9 6],[19.21153846 17.78846154] ; [7.78846154 7.21153846],0
u1,1,0.500688,0.453477,[ 1 36] ; [ 1 14],[ 1.42307692 35.57692308] ; [ 0.57692308 14.42307692],0
a2,1,0.500688,0.453477,[ 1 36] ; [ 1 14],[ 1.42307692 35.57692308] ; [ 0.57692308 14.42307692],0
s3,1,0.514453,0.425,[11 25] ; [6 9],[12. 24.] ; [ 5. 10.],0
b4,1,0.570866,0.321236,[19 18] ; [9 6],[19.92307692 17.07692308] ; [8.07692308 6.92307692],0
v3,1,0.595994,0.281081,[10 27] ; [ 3 12],[ 9.25 27.75] ; [ 3.75 11.25],0
r4,1,0.628402,0.234234,[15 22] ; [ 5 10],[14.23076923 22.76923077] ; [5.76923077 9.23076923],0
n2,1,0.639207,0.21978,[10  6] ; [3 1],[10.4  5.6] ; [2.6 1.4],0
s2,1,0.640131,0.218571,[12 24] ; [ 4 11],[11.29411765 24.70588235] ; [ 4.70588235 10.29411765],0
a8,1,0.644007,0.21354,[ 5 29] ; [ 3 12],[ 5.55102041 28.44897959] ; [ 2.44897959 12.55102041],0
u3,1,0.694176,0.154602,[ 7 12] ; [2 5],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
b5,1,0.695711,0.152972,[20 17] ; [9 6],[20.63461538 16.36538462] ; [8.36538462 6.63461538],0
a3,1,0.759533,0.093694,[18 19] ; [8 7],[18.5 18.5] ; [7.5 7.5],0
u2,1,0.779758,0.078195,[12  7] ; [4 3],[11.69230769  7.30769231] ; [4.30769231 2.69230769],0
p5,1,0.794063,0.068141,[ 6 31] ; [ 2 13],[ 5.69230769 31.30769231] ; [ 2.30769231 12.69230769],0
d4,1,0.798662,0.065065,[26 11] ; [10  5],[25.61538462 11.38461538] ; [10.38461538  4.61538462],0
n3,1,0.80725,0.059524,[11  5] ; [3 1],[11.2  4.8] ; [2.8 1.2],0
b3,1,0.820422,0.05153,[ 7 17] ; [2 6],[ 6.75 17.25] ; [2.25 5.75],0
b2,1,0.820422,0.05153,[ 7 17] ; [2 6],[ 6.75 17.25] ; [2.25 5.75],0
v2,1,0.843176,0.039138,[17 20] ; [6 8],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
p10,1,0.845551,0.037946,[25 11] ; [10  5],[24.70588235 11.29411765] ; [10.29411765  4.70588235],0
a1,1,0.859726,0.031231,[ 3 34] ; [ 1 14],[ 2.84615385 34.15384615] ; [ 1.15384615 13.84615385],0
a5,1,0.896885,0.016795,[19 18] ; [8 7],[19.21153846 17.78846154] ; [7.78846154 7.21153846],0
v1,1,0.901528,0.015309,[13 24] ; [ 5 10],[12.80769231 24.19230769] ; [5.19230769 9.80769231],0
d2,1,0.949971,0.003937,[12 25] ; [ 5 10],[12.09615385 24.90384615] ; [ 4.90384615 10.09615385],0
a7,1,0.962329,0.002231,[20 17] ; [8 7],[19.92307692 17.07692308] ; [8.07692308 6.92307692],0
n5,1,0.97129,0.001295,[22 15] ; [9 6],[22.05769231 14.94230769] ; [8.94230769 6.05769231],0
