Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,8e-06,19.864341,[ 8 29] ; [21  6],[16.765625 20.234375] ; [12.234375 14.765625],1
p8,1,1.3e-05,19.072755,[ 3 35] ; [16 12],[10.93939394 27.06060606] ; [ 8.06060606 19.93939394],1
p2,1,9e-05,15.340238,[10 28] ; [21  7],[17.84848485 20.15151515] ; [13.15151515 14.84848485],1
v4,1,0.000694,11.504067,[17 21] ; [24  4],[23.60606061 14.39393939] ; [17.39393939 10.60606061],1
p4,1,0.001907,9.636669,[ 6 32] ; [14 13],[11.69230769 26.30769231] ; [ 8.30769231 18.69230769],0
p11,1,0.006484,7.410526,[ 7 31] ; [14 14],[12.09090909 25.90909091] ; [ 8.90909091 19.09090909],0
s8,1,0.011594,6.371867,[ 3 35] ; [ 9 19],[ 6.90909091 31.09090909] ; [ 5.09090909 22.90909091],0
r2,1,0.012411,6.251163,[20 16] ; [23  4],[24.57142857 11.42857143] ; [18.42857143  8.57142857],0
p3,1,0.014677,5.954887,[ 6 32] ; [12 16],[10.36363636 27.63636364] ; [ 7.63636364 20.36363636],0
r4,1,0.029086,4.762541,[ 4 34] ; [ 9 19],[ 7.48484848 30.51515152] ; [ 5.51515152 22.48484848],0
p6,1,0.029346,4.747215,[ 3 34] ; [ 8 20],[ 6.26153846 30.73846154] ; [ 4.73846154 23.26153846],0
p7,1,0.033357,4.527346,[ 8 30] ; [12 14],[11.875 26.125] ; [ 8.125 17.875],0
n6,1,0.038289,4.292138,[16 22] ; [19  9],[20.15151515 17.84848485] ; [14.84848485 13.15151515],0
a1,1,0.040826,4.183221,[ 8 30] ; [ 1 27],[ 5.18181818 32.81818182] ; [ 3.81818182 24.18181818],0
u3,1,0.052539,3.758523,[ 3 13] ; [6 5],[ 5.33333333 10.66666667] ; [3.66666667 7.33333333],0
s5,1,0.067619,3.33989,[ 4 33] ; [ 8 20],[ 6.83076923 30.16923077] ; [ 5.16923077 22.83076923],0
v1,1,0.105905,2.614293,[ 8 30] ; [11 17],[10.93939394 27.06060606] ; [ 8.06060606 19.93939394],0
s2,1,0.112331,2.521117,[ 7 31] ; [10 18],[ 9.78787879 28.21212121] ; [ 7.21212121 20.78787879],0
d4,1,0.146858,2.104592,[19 19] ; [19  9],[21.87878788 16.12121212] ; [16.12121212 11.87878788],0
d3,1,0.155174,2.020637,[15 23] ; [16 12],[17.84848485 20.15151515] ; [13.15151515 14.84848485],0
s7,1,0.157618,1.996931,[ 6 28] ; [ 9 18],[ 8.36065574 25.63934426] ; [ 6.63934426 20.36065574],0
s6,1,0.172863,1.857936,[ 9 29] ; [11 17],[11.51515152 26.48484848] ; [ 8.48484848 19.51515152],0
a2,1,0.180601,1.792669,[ 5 33] ; [ 1 27],[ 3.45454545 34.54545455] ; [ 2.54545455 25.45454545],0
r1,1,0.219025,1.51075,[12 26] ; [13 15],[14.39393939 23.60606061] ; [10.60606061 17.39393939],0
u2,1,0.2261,1.465231,[ 5 11] ; [6 5],[6.51851852 9.48148148] ; [4.48148148 6.51851852],0
a4,1,0.240421,1.378122,[14 22] ; [ 7 21],[11.8125 24.1875] ; [ 9.1875 18.8125],0
b2,1,0.265768,1.238462,[12 14] ; [ 6 14],[10.17391304 15.82608696] ; [ 7.82608696 12.17391304],0
b3,1,0.265768,1.238462,[12 14] ; [ 6 14],[10.17391304 15.82608696] ; [ 7.82608696 12.17391304],0
a6,1,0.282966,1.152787,[20 18] ; [11 17],[17.84848485 20.15151515] ; [13.15151515 14.84848485],0
b1,1,0.285091,1.142659,[24 14] ; [14 14],[21.87878788 16.12121212] ; [16.12121212 11.87878788],0
b4,1,0.343748,0.896405,[20 18] ; [18 10],[21.87878788 16.12121212] ; [16.12121212 11.87878788],0
n4,1,0.346524,0.886144,[26 12] ; [16 12],[24.18181818 13.81818182] ; [17.81818182 10.18181818],0
n2,1,0.352957,0.862797,[ 9 11] ; [8 5],[10.3030303  9.6969697] ; [6.6969697 6.3030303],0
d5,1,0.387609,0.746429,[19 19] ; [17 11],[20.72727273 17.27272727] ; [15.27272727 12.72727273],0
n3,1,0.513328,0.427276,[ 8 11] ; [7 6],[ 8.90625 10.09375] ; [6.09375 6.90625],0
n5,1,0.559668,0.340279,[27 11] ; [18 10],[25.90909091 12.09090909] ; [19.09090909  8.90909091],0
d1,1,0.559668,0.340279,[11 27] ; [10 18],[12.09090909 25.90909091] ; [ 8.90909091 19.09090909],0
a7,1,0.572062,0.319245,[15 23] ; [13 15],[16.12121212 21.87878788] ; [11.87878788 16.12121212],0
v3,1,0.61761,0.249241,[ 9 29] ; [ 5 22],[ 8.18461538 29.81538462] ; [ 5.81538462 21.18461538],0
s3,1,0.634448,0.226077,[10 26] ; [ 9 18],[10.85714286 25.14285714] ; [ 8.14285714 18.85714286],0
p1,1,0.64373,0.213897,[ 4 34] ; [ 4 24],[ 4.60606061 33.39393939] ; [ 3.39393939 24.60606061],0
v2,1,0.705765,0.142544,[ 7 31] ; [ 6 21],[ 7.6 30.4] ; [ 5.4 21.6],0
n1,1,0.71038,0.137898,[ 9 11] ; [5 8],[ 8.48484848 11.51515152] ; [5.51515152 7.48484848],0
a5,1,0.774169,0.082327,[19 19] ; [15 13],[19.57575758 18.42424242] ; [14.42424242 13.57575758],0
p12,1,0.825763,0.048461,[ 1 37] ; [ 1 27],[ 1.15151515 36.84848485] ; [ 0.84848485 27.15151515],0
s4,1,0.828899,0.046705,[ 9 29] ; [ 6 22],[ 8.63636364 29.36363636] ; [ 6.36363636 21.63636364],0
d2,1,0.905423,0.014117,[14 23] ; [11 17],[14.23076923 22.76923077] ; [10.76923077 17.23076923],0
s1,1,0.909168,0.013016,[ 3 35] ; [ 2 26],[ 2.87878788 35.12121212] ; [ 2.12121212 25.87878788],0
a3,1,0.97425,0.001042,[22 14] ; [17 11],[21.9375 14.0625] ; [17.0625 10.9375],0
b5,1,1.0,0.0,[19 19] ; [14 14],[19. 19.] ; [14. 14.],0
