Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.002932,8.849522,[7 8] ; [61 13],[11.46067416  3.53932584] ; [56.53932584 17.46067416],0
a7,1,0.006198,7.491929,[ 4 11] ; [48 26],[8.76404494 6.23595506] ; [43.23595506 30.76404494],0
p9,1,0.011617,6.368362,[7 8] ; [58 16],[10.95505618  4.04494382] ; [54.04494382 19.95505618],0
r4,1,0.013566,6.09378,[10  5] ; [67  7],[12.97752809  2.02247191] ; [64.02247191  9.97752809],0
n4,1,0.033359,4.527245,[8 7] ; [58 15],[11.25  3.75] ; [54.75 18.25],0
s5,1,0.056314,3.642731,[ 1 14] ; [22 50],[ 3.96551724 11.03448276] ; [19.03448276 52.96551724],0
s6,1,0.098569,2.728542,[8 7] ; [53 18],[10.63953488  4.36046512] ; [50.36046512 20.63953488],0
v2,1,0.10044,2.698548,[ 3 11] ; [32 39],[5.76470588 8.23529412] ; [29.23529412 41.76470588],0
s7,1,0.127504,2.322639,[5 9] ; [40 29],[7.59036145 6.40963855] ; [37.40963855 31.59036145],0
u2,1,0.132626,2.261499,[4 3] ; [11 28],[2.2826087 4.7173913] ; [12.7173913 26.2826087],0
u3,1,0.137028,2.211017,[5 2] ; [16 23],[3.19565217 3.80434783] ; [17.80434783 21.19565217],0
p10,1,0.158955,1.984139,[9 6] ; [55 16],[11.1627907  3.8372093] ; [52.8372093 18.1627907],0
p6,1,0.191962,1.702492,[ 2 13] ; [22 52],[ 4.04494382 10.95505618] ; [19.95505618 54.04494382],0
v3,1,0.225723,1.467611,[ 3 11] ; [28 45],[4.98850575 9.01149425] ; [26.01149425 46.98850575],0
d5,1,0.238379,1.390155,[ 5 10] ; [37 37],[7.07865169 7.92134831] ; [34.92134831 39.07865169],0
s8,1,0.238379,1.390155,[ 5 10] ; [37 37],[7.07865169 7.92134831] ; [34.92134831 39.07865169],0
d3,1,0.254108,1.300578,[ 3 12] ; [26 48],[ 4.88764045 10.11235955] ; [24.11235955 49.88764045],0
n1,1,0.278493,1.174428,[1 5] ; [ 7 10],[2.08695652 3.91304348] ; [ 5.91304348 11.08695652],0
v4,1,0.299781,1.07517,[11  2] ; [68  5],[11.94186047  1.05813953] ; [67.05813953  5.94186047],0
r2,1,0.339732,0.911442,[12  2] ; [69  5],[12.88636364  1.11363636] ; [68.11363636  5.88636364],0
s2,1,0.343075,0.898906,[8 7] ; [49 25],[9.60674157 5.39325843] ; [47.39325843 26.60674157],0
d2,1,0.352403,0.864784,[ 2 13] ; [18 56],[ 3.37078652 11.62921348] ; [16.62921348 57.37078652],0
r3,1,0.388258,0.744391,[13  2] ; [69  5],[13.82022472  1.17977528] ; [68.17977528  5.82022472],0
s1,1,0.407916,0.684866,[ 2 13] ; [ 5 67],[ 1.20689655 13.79310345] ; [ 5.79310345 66.20689655],0
a8,1,0.439481,0.597637,[ 1 13] ; [10 57],[ 1.90123457 12.09876543] ; [ 9.09876543 57.90123457],0
p3,1,0.452958,0.563239,[ 5 10] ; [32 41],[6.30681818 8.69318182] ; [30.69318182 42.30681818],0
b2,1,0.48192,0.494515,[ 1 10] ; [ 8 37],[1.76785714 9.23214286] ; [ 7.23214286 37.76785714],0
b3,1,0.48192,0.494515,[ 1 10] ; [ 8 37],[1.76785714 9.23214286] ; [ 7.23214286 37.76785714],0
b1,1,0.523275,0.407434,[7 8] ; [28 46],[5.8988764 9.1011236] ; [29.1011236 44.8988764],0
p2,1,0.599879,0.275179,[11  4] ; [58 15],[11.76136364  3.23863636] ; [57.23863636 15.76136364],0
a4,1,0.599879,0.275179,[ 4 11] ; [15 58],[ 3.23863636 11.76136364] ; [15.76136364 57.23863636],0
b4,1,0.605143,0.267308,[9 6] ; [39 35],[8.08988764 6.91011236] ; [39.91011236 34.08988764],0
a6,1,0.605143,0.267308,[9 6] ; [39 35],[8.08988764 6.91011236] ; [39.91011236 34.08988764],0
a5,1,0.605143,0.267308,[9 6] ; [39 35],[8.08988764 6.91011236] ; [39.91011236 34.08988764],0
a3,1,0.669689,0.181966,[8 7] ; [35 39],[7.24719101 7.75280899] ; [35.75280899 38.24719101],0
p7,1,0.697807,0.150763,[9 6] ; [47 25],[9.65517241 5.34482759] ; [46.34482759 25.65517241],0
s4,1,0.758674,0.094386,[ 4 11] ; [17 57],[ 3.53932584 11.46067416] ; [17.46067416 56.53932584],0
n3,1,0.759209,0.093954,[5 1] ; [15  2],[5.2173913 0.7826087] ; [14.7826087  2.2173913],0
p11,1,0.781909,0.076636,[10  5] ; [52 22],[10.4494382  4.5505618] ; [51.5505618 22.4494382],0
p8,1,0.797069,0.066122,[6 8] ; [29 45],[5.56818182 8.43181818] ; [29.43181818 44.56818182],0
v1,1,0.837828,0.041891,[6 8] ; [33 39],[6.34883721 7.65116279] ; [32.65116279 39.34883721],0
p1,1,0.863046,0.029756,[ 2 13] ; [11 62],[ 2.21590909 12.78409091] ; [10.78409091 62.21590909],0
n2,1,0.865215,0.028812,[6 1] ; [15  2],[6.125 0.875] ; [14.875  2.125],0
r1,1,0.916578,0.010972,[10  5] ; [49 23],[10.17241379  4.82758621] ; [48.82758621 23.17241379],0
p4,1,0.964416,0.00199,[8 7] ; [39 35],[7.92134831 7.07865169] ; [39.07865169 34.92134831],0
b5,1,0.964416,0.00199,[8 7] ; [39 35],[7.92134831 7.07865169] ; [39.07865169 34.92134831],0
