Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-05,19.444444,[7 1] ; [ 7 41],[2. 6.] ; [12. 36.],1
s6,1,0.000266,13.298114,[7 1] ; [12 40],[2.53333333 5.46666667] ; [16.46666667 35.53333333],1
s2,1,0.000898,11.027098,[6 2] ; [10 42],[2.13333333 5.86666667] ; [13.86666667 38.13333333],1
p8,1,0.003903,8.328176,[5 3] ; [ 8 41],[1.8245614 6.1754386] ; [11.1754386 37.8245614],0
s3,1,0.005466,7.718486,[7 1] ; [18 33],[3.38983051 4.61016949] ; [21.61016949 29.38983051],0
p2,1,0.006314,7.458448,[7 1] ; [18 32],[3.44827586 4.55172414] ; [21.55172414 28.44827586],0
p11,1,0.010836,6.49197,[6 2] ; [15 37],[2.8 5.2] ; [18.2 33.8],0
a8,1,0.027463,4.861453,[2 6] ; [ 2 49],[0.54237288 7.45762712] ; [ 3.45762712 47.54237288],0
u3,1,0.037193,4.34154,[3 1] ; [ 5 17],[1.23076923 2.76923077] ; [ 6.76923077 15.23076923],0
p7,1,0.045178,4.011988,[5 1] ; [21 31],[2.68965517 3.31034483] ; [23.31034483 28.68965517],0
v4,1,0.049354,3.863282,[6 1] ; [24 28],[3.55932203 3.44067797] ; [26.44067797 25.55932203],0
p4,1,0.060291,3.52935,[4 4] ; [10 41],[1.89830508 6.10169492] ; [12.10169492 38.89830508],0
s5,1,0.095641,2.776766,[3 5] ; [ 7 44],[1.3559322 6.6440678] ; [ 8.6440678 42.3559322],0
d3,1,0.115746,2.473958,[6 2] ; [23 28],[3.93220339 4.06779661] ; [25.06779661 25.93220339],0
p9,1,0.115746,2.473958,[6 2] ; [23 28],[3.93220339 4.06779661] ; [25.06779661 25.93220339],0
b5,1,0.128735,2.307692,[6 2] ; [24 28],[4. 4.] ; [26. 26.],0
a4,1,0.179364,1.802885,[1 7] ; [19 33],[2.66666667 5.33333333] ; [17.33333333 34.66666667],0
v1,1,0.204647,1.608895,[4 3] ; [17 35],[2.49152542 4.50847458] ; [18.50847458 33.49152542],0
r3,1,0.239938,1.380961,[5 3] ; [21 31],[3.46666667 4.53333333] ; [22.53333333 29.46666667],0
d2,1,0.304371,1.054945,[2 6] ; [23 29],[3.33333333 4.66666667] ; [21.66666667 30.33333333],0
p5,1,0.304489,1.054432,[1 7] ; [ 2 49],[0.40677966 7.59322034] ; [ 2.59322034 48.40677966],0
d1,1,0.339337,0.912933,[4 4] ; [17 35],[2.8 5.2] ; [18.2 33.8],0
d4,1,0.352236,0.865385,[6 2] ; [30 22],[4.8 3.2] ; [31.2 20.8],0
n5,1,0.510123,0.433815,[5 3] ; [26 26],[4.13333333 3.86666667] ; [26.86666667 25.13333333],0
a6,1,0.510123,0.433815,[5 3] ; [26 26],[4.13333333 3.86666667] ; [26.86666667 25.13333333],0
b1,1,0.524136,0.405748,[6 2] ; [33 19],[5.2 2.8] ; [33.8 18.2],0
p6,1,0.549819,0.357642,[2 6] ; [ 8 41],[1.40350877 6.59649123] ; [ 8.59649123 40.40350877],0
a7,1,0.576675,0.311641,[5 3] ; [27 25],[4.26666667 3.73333333] ; [27.73333333 24.26666667],0
s4,1,0.600653,0.274012,[2 6] ; [ 9 43],[1.46666667 6.53333333] ; [ 9.53333333 42.46666667],0
a3,1,0.638671,0.220484,[4 4] ; [30 21],[4.61016949 3.38983051] ; [29.38983051 21.61016949],0
r2,1,0.645457,0.211676,[4 2] ; [29 22],[3.47368421 2.52631579] ; [29.52631579 21.47368421],0
a5,1,0.646932,0.20979,[3 5] ; [24 28],[3.6 4.4] ; [23.4 28.6],0
n2,1,0.664901,0.187625,[2 1] ; [15 13],[1.64516129 1.35483871] ; [15.35483871 12.64516129],0
v2,1,0.730208,0.118921,[3 5] ; [16 35],[2.57627119 5.42372881] ; [16.42372881 34.57627119],0
v3,1,0.734095,0.115385,[1 7] ; [ 9 43],[1.33333333 6.66666667] ; [ 8.66666667 43.33333333],0
d5,1,0.797351,0.065934,[5 3] ; [30 22],[4.66666667 3.33333333] ; [30.33333333 21.66666667],0
p3,1,0.799604,0.064444,[1 7] ; [ 8 42],[1.24137931 6.75862069] ; [ 7.75862069 42.24137931],0
r1,1,0.908836,0.013112,[2 6] ; [14 38],[2.13333333 5.86666667] ; [13.86666667 38.13333333],0
b4,1,0.919288,0.010268,[4 4] ; [25 27],[3.86666667 4.13333333] ; [25.13333333 26.86666667],0
n1,1,0.934715,0.00671,[1 2] ; [10 18],[1.06451613 1.93548387] ; [ 9.93548387 18.06451613],0
a2,1,0.937137,0.00622,[1 7] ; [ 6 46],[0.93333333 7.06666667] ; [ 6.06666667 45.93333333],0
n4,1,1.0,0.0,[4 4] ; [26 26],[4. 4.] ; [26. 26.],0
