Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5e-06,20.812248,[25  5] ; [ 4 17],[17.05882353 12.94117647] ; [11.94117647  9.05882353],1
p11,1,0.006826,7.31824,[25  5] ; [10 11],[20.58823529  9.41176471] ; [14.41176471  6.58823529],0
a5,1,0.032651,4.563997,[23  7] ; [10 11],[19.41176471 10.58823529] ; [13.58823529  7.41176471],0
a6,1,0.034926,4.448769,[19 11] ; [ 7 14],[15.29411765 14.70588235] ; [10.70588235 10.29411765],0
n6,1,0.038869,4.266585,[27  3] ; [14  7],[24.11764706  5.88235294] ; [16.88235294  4.11764706],0
s6,1,0.044884,4.022989,[26  3] ; [14  7],[23.2  5.8] ; [16.8  4.2],0
p10,1,0.070008,3.282828,[26  4] ; [13  7],[23.4  6.6] ; [15.6  4.4],0
d1,1,0.123546,2.37178,[18 12] ; [ 8 13],[15.29411765 14.70588235] ; [10.70588235 10.29411765],0
n1,1,0.124656,2.357825,[3 8] ; [5 3],[4.63157895 6.36842105] ; [3.36842105 4.63157895],0
v2,1,0.125311,2.34965,[15 12] ; [ 7 14],[12.375 14.625] ; [ 9.625 11.375],0
p8,1,0.130964,2.281034,[15 14] ; [ 6 14],[12.42857143 16.57142857] ; [ 8.57142857 11.42857143],0
r4,1,0.154119,2.030998,[24  6] ; [13  8],[21.76470588  8.23529412] ; [15.23529412  5.76470588],0
p9,1,0.156376,2.008929,[27  3] ; [15  5],[25.2  4.8] ; [16.8  3.2],0
d5,1,0.1929,1.69533,[21  9] ; [18  3],[22.94117647  7.05882353] ; [16.05882353  4.94117647],0
s3,1,0.200259,1.640484,[21  9] ; [11 10],[18.82352941 11.17647059] ; [13.17647059  7.82352941],0
v3,1,0.207024,1.592119,[ 9 19] ; [ 3 16],[ 7.14893617 20.85106383] ; [ 4.85106383 14.14893617],0
p7,1,0.237737,1.393966,[18 11] ; [ 9 11],[15.97959184 13.02040816] ; [11.02040816  8.97959184],0
a3,1,0.238593,1.388889,[20 10] ; [10 10],[18. 12.] ; [12.  8.],0
b1,1,0.264779,1.243596,[11 19] ; [11 10],[12.94117647 17.05882353] ; [ 9.05882353 11.94117647],0
b3,1,0.305061,1.051939,[ 6 13] ; [6 6],[ 7.35483871 11.64516129] ; [4.64516129 7.35483871],0
b2,1,0.305061,1.051939,[ 6 13] ; [6 6],[ 7.35483871 11.64516129] ; [4.64516129 7.35483871],0
r3,1,0.311316,1.025083,[24  6] ; [19  2],[25.29411765  4.70588235] ; [17.70588235  3.29411765],0
d4,1,0.311316,1.025083,[24  6] ; [19  2],[25.29411765  4.70588235] ; [17.70588235  3.29411765],0
p2,1,0.417304,0.657895,[24  6] ; [14  6],[22.8  7.2] ; [15.2  4.8],0
s7,1,0.46069,0.544218,[17 11] ; [10 10],[15.75 12.25] ; [11.25  8.75],0
n3,1,0.462527,0.539773,[6 5] ; [3 5],[5.21052632 5.78947368] ; [3.78947368 4.21052632],0
p5,1,0.470486,0.520833,[ 7 23] ; [ 3 17],[ 6. 24.] ; [ 4. 16.],0
s8,1,0.471599,0.518226,[13 17] ; [ 7 14],[11.76470588 18.23529412] ; [ 8.23529412 12.76470588],0
