Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,22.083863,[16  9] ; [17 81],[ 6.70731707 18.29268293] ; [26.29268293 71.70731707],1
p3,1,2.5e-05,17.751586,[15 11] ; [17 82],[ 6.656 19.344] ; [25.344 73.656],1
p6,1,0.002237,9.343799,[ 8 18] ; [ 8 90],[ 3.35483871 22.64516129] ; [12.64516129 85.35483871],0
p4,1,0.007703,7.101294,[11 14] ; [18 79],[ 5.94262295 19.05737705] ; [23.05737705 73.94262295],0
v2,1,0.012324,6.263699,[15  9] ; [32 61],[ 9.64102564 14.35897436] ; [37.35897436 55.64102564],0
p10,1,0.06244,3.471351,[17  9] ; [43 53],[12.78688525 13.21311475] ; [47.21311475 48.78688525],0
v4,1,0.064881,3.408011,[23  3] ; [70 29],[19.344  6.656] ; [73.656 25.344],0
p5,1,0.0709,3.262057,[ 3 23] ; [ 3 96],[ 1.248 24.752] ; [ 4.752 94.248],0
a4,1,0.079628,3.072483,[ 6 20] ; [41 57],[ 9.85483871 16.14516129] ; [37.14516129 60.85483871],0
r4,1,0.081329,3.03814,[21  5] ; [62 37],[17.264  8.736] ; [65.736 33.264],0
s7,1,0.081396,3.036803,[ 3 21] ; [28 65],[ 6.35897436 17.64102564] ; [24.64102564 68.35897436],0
r3,1,0.094565,2.794902,[23  3] ; [72 27],[19.76  6.24] ; [75.24 23.76],0
s2,1,0.09715,2.751723,[10 16] ; [22 76],[ 6.70967742 19.29032258] ; [25.29032258 72.70967742],0
b1,1,0.099835,2.708179,[10 16] ; [56 43],[13.728 12.272] ; [52.272 46.728],0
n4,1,0.116823,2.459411,[13 13] ; [66 33],[16.432  9.568] ; [62.568 36.432],0
b3,1,0.124245,2.362977,[ 2 11] ; [24 40],[4.38961039 8.61038961] ; [21.61038961 42.38961039],0
b2,1,0.124245,2.362977,[ 2 11] ; [24 40],[4.38961039 8.61038961] ; [21.61038961 42.38961039],0
a2,1,0.136053,2.222047,[ 2 24] ; [20 79],[ 4.576 21.424] ; [17.424 81.576],0
