Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.001001,10.825758,[25 14] ; [79 10],[31.6875  7.3125] ; [72.3125 16.6875],0
p4,1,0.002001,9.548361,[12 29] ; [52 37],[20.18461538 20.81538462] ; [43.81538462 45.18461538],0
v4,1,0.002123,9.440216,[34  7] ; [86  2],[38.13953488  2.86046512] ; [81.86046512  6.13953488],0
p8,1,0.009206,6.78237,[ 5 36] ; [30 58],[11.12403101 29.87596899] ; [23.87596899 64.12403101],0
s2,1,0.013689,6.077845,[22 19] ; [67 22],[28.06923077 12.93076923] ; [60.93076923 28.06923077],0
n5,1,0.015293,5.882374,[25 16] ; [72 17],[30.59230769 10.40769231] ; [66.40769231 22.59230769],0
b5,1,0.02766,4.849122,[23 18] ; [67 22],[28.38461538 12.61538462] ; [61.61538462 27.38461538],0
n4,1,0.031122,4.646194,[29 12] ; [77 12],[33.43076923  7.56923077] ; [72.56923077 16.43076923],0
a2,1,0.070055,3.281721,[16 25] ; [21 68],[11.66923077 29.33076923] ; [25.33076923 63.66923077],0
b1,1,0.076345,3.141043,[21 20] ; [31 58],[16.4 24.6] ; [35.6 53.4],0
p10,1,0.124056,2.365352,[26 15] ; [68 21],[29.64615385 11.35384615] ; [64.35384615 24.64615385],0
n1,1,0.146508,2.108235,[12  5] ; [12 13],[9.71428571 7.28571429] ; [14.28571429 10.71428571],0
v3,1,0.157449,1.998559,[17 20] ; [28 58],[13.53658537 23.46341463] ; [31.46341463 54.53658537],0
u4,1,0.162491,1.950891,[ 3 38] ; [ 2 87],[ 1.57692308 39.42307692] ; [ 3.42307692 85.57692308],0
a3,1,0.193693,1.689301,[35  6] ; [67 22],[32.16923077  8.83076923] ; [69.83076923 19.16923077],0
a4,1,0.229236,1.445594,[24 17] ; [42 47],[20.81538462 20.18461538] ; [45.18461538 43.81538462],0
a7,1,0.266362,1.235389,[25 16] ; [63 26],[27.75384615 13.24615385] ; [60.24615385 28.75384615],0
