Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,26.809445,[77 19] ; [ 8 20],[65.80645161 30.19354839] ; [19.19354839  8.80645161],1
d3,1,1.1e-05,19.314011,[71 25] ; [ 8 20],[61.16129032 34.83870968] ; [17.83870968 10.16129032],1
r1,1,0.001134,10.595659,[71 25] ; [12 17],[63.744 32.256] ; [19.256  9.744],0
a5,1,0.001248,10.417954,[56 40] ; [ 7 22],[48.384 47.616] ; [14.616 14.384],0
a7,1,0.004171,8.207886,[72 24] ; [13 15],[65.80645161 30.19354839] ; [19.19354839  8.80645161],0
a3,1,0.004274,8.163785,[67 28] ; [12 17],[60.52419355 34.47580645] ; [18.47580645 10.52419355],0
p1,1,0.005571,7.684032,[ 3 92] ; [ 5 23],[ 6.17886179 88.82113821] ; [ 1.82113821 26.17886179],0
a6,1,0.007729,7.095275,[60 36] ; [10 19],[53.76 42.24] ; [16.24 12.76],0
v2,1,0.014974,5.919495,[48 46] ; [ 7 21],[42.37704918 51.62295082] ; [12.62295082 15.37704918],0
a4,1,0.02096,5.330113,[35 61] ; [ 4 25],[29.952 66.048] ; [ 9.048 19.952],0
p9,1,0.035683,4.412178,[58 36] ; [11 17],[53.16393443 40.83606557] ; [15.83606557 12.16393443],0
d2,1,0.061906,3.485576,[38 58] ; [ 6 23],[33.792 62.208] ; [10.208 18.792],0
n4,1,0.080618,3.052404,[44 52] ; [ 8 21],[39.936 56.064] ; [12.064 16.936],0
n3,1,0.133614,2.25,[14 10] ; [10  2],[16.  8.] ; [8. 4.],0
p7,1,0.136164,2.220784,[42 52] ; [17 11],[45.45901639 48.54098361] ; [13.54098361 14.45901639],0
p10,1,0.152633,2.045736,[50 45] ; [10 17],[46.72131148 48.27868852] ; [13.27868852 13.72131148],0
r4,1,0.174099,1.847291,[72 24] ; [18 11],[69.12 26.88] ; [20.88  8.12],0
p6,1,0.185907,1.749756,[15 76] ; [ 8 21],[17.44166667 73.55833333] ; [ 5.55833333 23.44166667],0
s7,1,0.201003,1.63507,[19 69] ; [ 3 25],[16.68965517 71.31034483] ; [ 5.31034483 22.68965517],0
v3,1,0.234936,1.410724,[23 66] ; [ 4 23],[20.71551724 68.28448276] ; [ 6.28448276 20.71551724],0
a2,1,0.245706,1.347556,[10 86] ; [ 1 28],[ 8.448 87.552] ; [ 2.552 26.448],0
b4,1,0.246294,1.344206,[58 38] ; [14 15],[55.296 40.704] ; [16.704 12.296],0
s1,1,0.32197,0.980928,[ 5 91] ; [ 3 26],[ 6.144 89.856] ; [ 1.856 27.144],0
p8,1,0.347424,0.882845,[30 64] ; [12 17],[32.09756098 61.90243902] ; [ 9.90243902 19.09756098],0
p2,1,0.348412,0.879232,[66 29] ; [22  6],[67.96747967 27.03252033] ; [20.03252033  7.96747967],0
s3,1,0.351173,0.869214,[22 72] ; [ 9 19],[23.8852459 70.1147541] ; [ 7.1147541 20.8852459],0
p12,1,0.37478,0.787754,[ 1 93] ; [ 1 28],[ 1.52845528 92.47154472] ; [ 0.47154472 28.52845528],0
n6,1,0.395997,0.720448,[51 45] ; [18 11],[52.992 43.008] ; [16.008 12.992],0
v1,1,0.40622,0.689837,[30 63] ; [ 7 22],[28.20491803 64.79508197] ; [ 8.79508197 20.20491803],0
r3,1,0.413981,0.667338,[85 11] ; [24  5],[83.712 12.288] ; [25.288  3.712],0
s2,1,0.431828,0.617902,[14 82] ; [ 6 23],[15.36 80.64] ; [ 4.64 24.36],0
n1,1,0.458818,0.548777,[ 5 20] ; [4 9],[ 5.92105263 19.07894737] ; [3.07894737 9.92105263],0
a8,1,0.480995,0.496607,[ 6 84] ; [ 3 25],[ 6.86440678 83.13559322] ; [ 2.13559322 25.86440678],0
p3,1,0.487311,0.482458,[29 65] ; [ 7 22],[27.51219512 66.48780488] ; [ 8.48780488 20.51219512],0
u3,1,0.489402,0.477841,[15 14] ; [ 7 10],[13.86956522 15.13043478] ; [8.13043478 8.86956522],0
n2,1,0.50137,0.452036,[12 12] ; [8 5],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
b2,1,0.528265,0.397727,[18 36] ; [ 4 12],[16.97142857 37.02857143] ; [ 5.02857143 10.97142857],0
b3,1,0.528265,0.397727,[18 36] ; [ 4 12],[16.97142857 37.02857143] ; [ 5.02857143 10.97142857],0
r2,1,0.541543,0.372687,[82 12] ; [24  5],[81.00813008 12.99186992] ; [24.99186992  4.00813008],0
p4,1,0.547969,0.360968,[30 64] ; [11 18],[31.33333333 62.66666667] ; [ 9.66666667 19.33333333],0
v4,1,0.557701,0.3437,[81 15] ; [24  3],[81.95121951 14.04878049] ; [23.04878049  3.95121951],0
s4,1,0.572809,0.318004,[10 86] ; [ 2 27],[ 9.216 86.784] ; [ 2.784 26.216],0
a1,1,0.673839,0.177144,[ 2 94] ; [ 1 28],[ 2.304 93.696] ; [ 0.696 28.304],0
b1,1,0.6874,0.161915,[39 57] ; [13 16],[39.936 56.064] ; [12.064 16.936],0
u2,1,0.760015,0.093306,[15 14] ; [8 9],[14.5 14.5] ; [8.5 8.5],0
p11,1,0.804745,0.061113,[62 34] ; [18 11],[61.44 34.56] ; [18.56 10.44],0
s5,1,0.812968,0.055979,[11 81] ; [ 3 26],[10.6446281 81.3553719] ; [ 3.3553719 25.6446281],0
s8,1,0.86766,0.027766,[11 85] ; [ 3 26],[10.752 85.248] ; [ 3.248 25.752],0
b5,1,0.942257,0.005247,[57 39] ; [17 12],[56.832 39.168] ; [17.168 11.832],0
