Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,84.398788,[ 83 149] ; [181  51],[132. 100.] ; [132. 100.],1
s2,1,0.0,69.544325,[ 90 153] ; [180  61],[135.55785124 107.44214876] ; [134.44214876 106.55785124],1
s3,1,0.0,52.80122,[104 137] ; [181  58],[143.09375  97.90625] ; [141.90625  97.09375],1
s6,1,0.0,39.797171,[143  94] ; [207  34],[173.53556485  63.46443515] ; [176.46443515  64.53556485],1
s5,1,7.1e-05,15.796353,[ 70 168] ; [110 123],[ 90.95541401 147.04458599] ; [ 89.04458599 143.95541401],1
a3,1,0.000126,14.702936,[159  84] ; [198  47],[177.76844262  65.23155738] ; [179.23155738  65.76844262],1
d1,1,0.000301,13.06198,[137 107] ; [176  69],[156.1799591  87.8200409] ; [156.8200409  88.1799591],1
v3,1,0.000578,11.845982,[ 81 155] ; [117 117],[ 99.4212766 136.5787234] ; [ 98.5787234 135.4212766],1
p6,1,0.001295,10.34927,[105 138] ; [141 103],[122.74743326 120.25256674] ; [123.25256674 120.74743326],0
u4,1,0.002088,9.470181,[  1 242] ; [ 12 233],[  6.47336066 236.52663934] ; [  6.52663934 238.47336066],0
b3,1,0.002427,9.194645,[ 41 104] ; [75 92],[53.91025641 91.08974359] ; [ 62.08974359 104.91025641],0
b2,1,0.002427,9.194645,[ 41 104] ; [75 92],[53.91025641 91.08974359] ; [ 62.08974359 104.91025641],0
p12,1,0.002487,9.149921,[ 14 230] ; [ 34 211],[ 23.95092025 220.04907975] ; [ 24.04907975 220.95092025],0
d2,1,0.005027,7.869585,[111 132] ; [143 102],[126.4795082 116.5204918] ; [127.5204918 117.4795082],0
p5,1,0.005585,7.679667,[ 30 214] ; [ 53 191],[ 41.5 202.5] ; [ 41.5 202.5],0
a5,1,0.0087,6.883424,[177  67] ; [202  43],[189.11247444  54.88752556] ; [189.88752556  55.11247444],0
v1,1,0.012392,6.253833,[129 109] ; [157  83],[142.40167364  95.59832636] ; [143.59832636  96.40167364],0
u1,1,0.014538,5.971656,[ 39 205] ; [ 61 184],[ 49.89775051 194.10224949] ; [ 50.10224949 194.89775051],0
a8,1,0.026983,4.891882,[ 22 194] ; [ 39 184],[ 30.01366743 185.98633257] ; [ 30.98633257 192.01366743],0
p9,1,0.029046,4.764914,[209  34] ; [224  19],[216.5  26.5] ; [216.5  26.5],0
d4,1,0.048101,3.906442,[197  47] ; [213  31],[205.  39.] ; [205.  39.],0
r1,1,0.054445,3.699009,[191  51] ; [208  35],[199.08865979  42.91134021] ; [199.91134021  43.08865979],0
n5,1,0.055919,3.654458,[189  53] ; [207  37],[197.18518519  44.81481481] ; [198.81481481  45.18518519],0
p8,1,0.059419,3.55354,[150  92] ; [171  73],[159.83950617  82.16049383] ; [161.16049383  82.83950617],0
a2,1,0.069479,3.29529,[ 56 188] ; [ 74 171],[ 64.86707566 179.13292434] ; [ 65.13292434 179.86707566],0
n4,1,0.070713,3.266399,[195  49] ; [210  34],[202.5  41.5] ; [202.5  41.5],0
u2,1,0.080667,3.051415,[44 40] ; [32 15],[48.73282443 35.26717557] ; [27.26717557 19.73282443],0
p7,1,0.083881,2.988045,[176  66] ; [193  50],[184.11958763  57.88041237] ; [184.88041237  58.11958763],0
a7,1,0.090729,2.861383,[193  51] ; [177  67],[185.  59.] ; [185.  59.],0
p10,1,0.102654,2.663813,[205  37] ; [217  25],[211.  31.] ; [211.  31.],0
p3,1,0.128435,2.311323,[158  85] ; [175  70],[165.81762295  77.18237705] ; [167.18237705  77.81762295],0
r2,1,0.131481,2.274926,[222  19] ; [230  11],[226.  15.] ; [226.  15.],0
v4,1,0.149541,2.076923,[231  12] ; [237   6],[234.   9.] ; [234.   9.],0
n2,1,0.165305,1.925016,[33  9] ; [30 16],[30.06818182 11.93181818] ; [32.93181818 13.06818182],0
s1,1,0.189697,1.719972,[  5 237] ; [ 10 232],[  7.5 234.5] ; [  7.5 234.5],0
r4,1,0.191899,1.70298,[219  25] ; [228  17],[223.04294479  20.95705521] ; [223.95705521  21.04294479],0
s4,1,0.226552,1.462379,[ 37 202] ; [ 48 196],[ 42.06004141 196.93995859] ; [ 42.93995859 201.06004141],0
n3,1,0.239499,1.38354,[33  9] ; [31 15],[30.54545455 11.45454545] ; [33.45454545 12.54545455],0
v2,1,0.242003,1.368886,[132 106] ; [144  93],[138.29052632  99.70947368] ; [137.70947368  99.29052632],0
n6,1,0.26997,1.216901,[209  34] ; [217  26],[213.  30.] ; [213.  30.],0
a1,1,0.309586,1.032442,[ 10 234] ; [ 15 230],[ 12.47443763 231.52556237] ; [ 12.52556237 232.47443763],0
u3,1,0.334073,0.933043,[47 35] ; [31 16],[49.58139535 32.41860465] ; [28.41860465 18.58139535],0
n1,1,0.406839,0.688018,[15 28] ; [20 26],[16.91011236 26.08988764] ; [18.08988764 27.91011236],0
r3,1,0.485106,0.487363,[230  12] ; [236   9],[231.56468172  10.43531828] ; [234.43531828  10.56468172],0
d5,1,0.530274,0.393866,[204  40] ; [209  35],[206.5  37.5] ; [206.5  37.5],0
p1,1,0.772887,0.083291,[ 26 218] ; [ 28 216],[ 27. 217.] ; [ 27. 217.],0
a6,1,0.791158,0.070123,[171  73] ; [169  76],[169.65235174  74.34764826] ; [170.34764826  74.65235174],0
d3,1,0.814142,0.055265,[182  62] ; [185  60],[183.12474438  60.87525562] ; [183.87525562  61.12474438],0
b1,1,0.824672,0.04908,[ 99 145] ; [ 97 148],[ 97.799591 146.200409] ; [ 98.200409 146.799591],0
b4,1,0.884584,0.021072,[143 101] ; [142 103],[142.20858896 101.79141104] ; [142.79141104 102.20858896],0
b5,1,0.896666,0.016867,[142 102] ; [144 101],[142.70756646 101.29243354] ; [143.29243354 101.70756646],0
a4,1,0.924232,0.009045,[115 128] ; [117 128],[115.52459016 127.47540984] ; [116.47540984 128.52459016],0
p11,1,0.983569,0.000424,[202  42] ; [203  42],[202.08588957  41.91411043] ; [202.91411043  42.08588957],0
