Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5e-06,20.839775,[ 63 112] ; [35 13],[76.9058296 98.0941704] ; [21.0941704 26.9058296],1
s8,1,0.002319,9.278154,[ 38 144] ; [20 27],[ 46.09606987 135.90393013] ; [11.90393013 35.09606987],0
v2,1,0.005212,7.804482,[ 61 109] ; [27 19],[ 69.25925926 100.74074074] ; [18.74074074 27.25925926],0
r4,1,0.006942,7.287949,[129  54] ; [43  5],[136.25974026  46.74025974] ; [35.74025974 12.25974026],0
r2,1,0.009744,6.6811,[150  30] ; [46  1],[155.4185022  24.5814978] ; [40.5814978  6.4185022],0
a5,1,0.012164,6.286821,[ 81 102] ; [31 17],[88.72727273 94.27272727] ; [23.27272727 24.72727273],0
b1,1,0.0137,6.076443,[ 67 116] ; [27 21],[ 74.46753247 108.53246753] ; [19.53246753 28.46753247],0
v1,1,0.014333,5.996675,[ 67 111] ; [27 20],[ 74.36444444 103.63555556] ; [19.63555556 27.36444444],0
v3,1,0.020497,5.369053,[ 43 135] ; [19 27],[ 49.26785714 128.73214286] ; [12.73214286 33.26785714],0
v4,1,0.030225,4.696458,[149  29] ; [46  2],[153.5840708  24.4159292] ; [41.4159292  6.5840708],0
a3,1,0.039684,4.231364,[90 90] ; [32 16],[96.31578947 83.68421053] ; [25.68421053 22.31578947],0
d3,1,0.057621,3.604576,[ 68 113] ; [11 37],[ 62.44104803 118.55895197] ; [16.55895197 31.44104803],0
n4,1,0.072176,3.232828,[111  71] ; [36 12],[116.32173913  65.67826087] ; [30.67826087 17.32173913],0
s7,1,0.100848,2.692088,[ 49 126] ; [19 28],[ 53.6036036 121.3963964] ; [14.3963964 32.6036036],0
s3,1,0.125434,2.348127,[ 78 100] ; [27 21],[82.69911504 95.30088496] ; [22.30088496 25.69911504],0
u1,1,0.12562,2.345813,[  6 177] ; [ 4 44],[  7.92207792 175.07792208] ; [ 2.07792208 45.92207792],0
r3,1,0.125836,2.343133,[148  31] ; [44  4],[151.40088106  27.59911894] ; [40.59911894  7.40088106],0
s6,1,0.191898,1.702987,[88 92] ; [28 19],[91.98237885 88.01762115] ; [24.01762115 22.98237885],0
a4,1,0.233693,1.418244,[ 35 147] ; [13 35],[ 37.9826087 144.0173913] ; [10.0173913 37.9826087],0
b2,1,0.29307,1.105466,[29 65] ; [12 17],[31.33333333 62.66666667] ; [ 9.66666667 19.33333333],0
b3,1,0.29307,1.105466,[29 65] ; [12 17],[31.33333333 62.66666667] ; [ 9.66666667 19.33333333],0
p8,1,0.296277,1.090879,[ 51 129] ; [17 30],[ 53.92070485 126.07929515] ; [14.07929515 32.92070485],0
a6,1,0.319828,0.989651,[92 91] ; [28 20],[95.06493506 87.93506494] ; [24.93506494 23.06493506],0
b4,1,0.324624,0.970227,[106  77] ; [24 24],[102.98701299  80.01298701] ; [27.01298701 20.98701299],0
d5,1,0.330279,0.947802,[88 94] ; [27 21],[91. 91.] ; [24. 24.],0
p5,1,0.352169,0.865627,[  6 175] ; [ 3 45],[  7.11353712 173.88646288] ; [ 1.88646288 46.11353712],0
u3,1,0.367087,0.813502,[41 52] ; [9 7],[42.66055046 50.33944954] ; [7.33944954 8.66055046],0
p11,1,0.370767,0.801092,[121  62] ; [35 13],[123.58441558  59.41558442] ; [32.41558442 15.58441558],0
s4,1,0.376185,0.783133,[ 37 146] ; [ 7 41],[ 34.85714286 148.14285714] ; [ 9.14285714 38.85714286],0
s2,1,0.420158,0.649875,[ 64 117] ; [20 28],[ 66.3930131 114.6069869] ; [17.6069869 30.3930131],0
