Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-05,19.432878,[146  31] ; [23 22],[134.74324324  42.25675676] ; [34.25675676 10.74324324],1
p9,1,8e-05,15.546777,[153  25] ; [27 18],[143.67713004  34.32286996] ; [36.32286996  8.67713004],1
n5,1,0.009946,6.644603,[140  38] ; [27 18],[133.30044843  44.69955157] ; [33.69955157 11.30044843],0
n6,1,0.01294,6.177319,[152  27] ; [31 14],[146.23660714  32.76339286] ; [36.76339286  8.23660714],0
r1,1,0.033713,4.509177,[151  30] ; [32 14],[145.91629956  35.08370044] ; [37.08370044  8.91629956],0
v1,1,0.038387,4.287793,[99 77] ; [18 28],[92.75675676 83.24324324] ; [24.24324324 21.75675676],0
p2,1,0.057575,3.605893,[140  38] ; [30 16],[135.08928571  42.91071429] ; [34.91071429 11.08928571],0
b1,1,0.066004,3.37969,[ 75 106] ; [26 20],[ 80.53303965 100.46696035] ; [20.46696035 25.53303965],0
n4,1,0.068955,3.30772,[143  37] ; [30 15],[138.4  41.6] ; [34.6 10.4],0
b3,1,0.119656,2.421815,[57 63] ; [ 8 18],[53.42465753 66.57534247] ; [11.57534247 14.42465753],0
b2,1,0.119656,2.421815,[57 63] ; [ 8 18],[53.42465753 66.57534247] ; [11.57534247 14.42465753],0
n1,1,0.140381,2.173775,[15 25] ; [11  8],[17.62711864 22.37288136] ; [ 8.37288136 10.62711864],0
p8,1,0.141723,2.159156,[92 84] ; [18 27],[87.60180995 88.39819005] ; [22.39819005 22.60180995],0
a3,1,0.149236,2.080046,[130  51] ; [28 18],[125.98237885  55.01762115] ; [32.01762115 13.98237885],0
a5,1,0.149236,2.080046,[130  51] ; [28 18],[125.98237885  55.01762115] ; [32.01762115 13.98237885],0
p12,1,0.172473,1.861317,[ 14 162] ; [ 1 44],[ 11.94570136 164.05429864] ; [ 3.05429864 41.94570136],0
b4,1,0.176883,1.82362,[94 87] ; [29 17],[98.07488987 82.92511013] ; [24.92511013 21.07488987],0
v4,1,0.207655,1.587702,[175   5] ; [42  3],[173.6   6.4] ; [43.4  1.6],0
b5,1,0.217667,1.519686,[ 80 101] ; [25 21],[83.72246696 97.27753304] ; [21.27753304 24.72246696],0
d2,1,0.232694,1.424321,[84 96] ; [26 20],[87.61061947 92.38938053] ; [22.38938053 23.61061947],0
r3,1,0.269878,1.217368,[177   3] ; [44  2],[176.01769912   3.98230088] ; [44.98230088  1.01769912],0
