Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,53.72959,[30 77] ; [171  73],[61.27350427 45.72649573] ; [139.72649573 104.27350427],1
p6,1,0.0,35.805937,[24 82] ; [140 104],[49.66857143 56.33142857] ; [114.33142857 129.66857143],1
p4,1,0.000229,13.579509,[60 47] ; [184  59],[74.59428571 32.40571429] ; [169.40571429  73.59428571],1
p11,1,0.00056,11.904964,[76 31] ; [211  33],[87.49002849 19.50997151] ; [199.50997151  44.49002849],1
p3,1,0.002025,9.526861,[47 59] ; [151  92],[60.13753582 45.86246418] ; [137.86246418 105.13753582],0
b5,1,0.002165,9.404204,[79 28] ; [138 106],[66.15099715 40.84900285] ; [150.84900285  93.15099715],0
p2,1,0.004746,7.973657,[84 23] ; [219  25],[92.36752137 14.63247863] ; [210.63247863  33.36752137],0
s5,1,0.004959,7.894502,[36 63] ; [126 111],[47.73214286 51.26785714] ; [114.26785714 122.73214286],0
d2,1,0.007522,7.143789,[69 37] ; [120 122],[57.56896552 48.43103448] ; [131.43103448 110.56896552],0
p5,1,0.009029,6.817084,[ 8 97] ; [ 45 197],[16.03746398 88.96253602] ; [ 36.96253602 205.03746398],0
r3,1,0.011448,6.394387,[98  9] ; [237   6],[102.41428571   4.58571429] ; [232.58571429  10.41428571],0
v4,1,0.013519,6.099956,[99  8] ; [238   5],[103.02571429   3.97428571] ; [233.97428571   9.02571429],0
r1,1,0.023327,5.144005,[82 25] ; [210  33],[89.26857143 17.73142857] ; [202.73142857  40.26857143],0
p10,1,0.027855,4.836993,[88 19] ; [220  23],[94.16 12.84] ; [213.84  29.16],0
a8,1,0.033475,4.521313,[11 86] ; [ 49 181],[17.79816514 79.20183486] ; [ 42.20183486 187.79816514],0
s1,1,0.035984,4.397866,[ 9 96] ; [  8 235],[ 5.12931034 99.87068966] ; [ 11.87068966 231.12931034],0
n2,1,0.041804,4.143129,[23  9] ; [37  4],[26.30136986  5.69863014] ; [33.69863014  7.30136986],0
r4,1,0.056064,3.650152,[94 13] ; [229  15],[98.46438746  8.53561254] ; [224.53561254  19.46438746],0
v1,1,0.079655,3.071921,[54 46] ; [154  86],[61.17647059 38.82352941] ; [146.82352941  93.17647059],0
b3,1,0.091879,2.841136,[22 45] ; [71 87],[27.69333333 39.30666667] ; [65.30666667 92.69333333],0
b2,1,0.091879,2.841136,[22 45] ; [71 87],[27.69333333 39.30666667] ; [65.30666667 92.69333333],0
a6,1,0.095453,2.779912,[62 45] ; [162  79],[68.87356322 38.12643678] ; [155.12643678  85.87356322],0
a1,1,0.096303,2.765725,[  3 104] ; [ 18 226],[  6.4017094 100.5982906] ; [ 14.5982906 229.4017094],0
v2,1,0.104208,2.639931,[54 49] ; [146  90],[60.76696165 42.23303835] ; [139.23303835  96.76696165],0
b4,1,0.120458,2.411357,[67 40] ; [131 113],[60.35897436 46.64102564] ; [137.64102564 106.35897436],0
s7,1,0.12244,2.385824,[69 32] ; [181  56],[74.70414201 26.29585799] ; [175.29585799  61.70414201],0
s8,1,0.1264,2.33617,[63 43] ; [165  78],[69.24928367 36.75071633] ; [158.75071633  84.24928367],0
u3,1,0.145969,2.11388,[19  7] ; [28 22],[16.07894737  9.92105263] ; [30.92105263 19.07894737],0
p9,1,0.149317,2.079217,[92 14] ; [223  20],[95.67335244 10.32664756] ; [219.32664756  23.67335244],0
d3,1,0.167617,1.904128,[70 37] ; [176  66],[75.42120344 31.57879656] ; [170.57879656  71.42120344],0
v3,1,0.258356,1.277543,[42 58] ; [115 121],[46.72619048 53.27380952] ; [110.27380952 125.72619048],0
a3,1,0.385142,0.754225,[81 26] ; [194  49],[84.07142857 22.92857143] ; [190.92857143  52.07142857],0
r2,1,0.390644,0.736935,[101   5] ; [235   7],[102.34482759   3.65517241] ; [233.65517241   8.34482759],0
a2,1,0.395731,0.721259,[26 81] ; [ 70 174],[29.26495726 77.73504274] ; [ 66.73504274 177.26495726],0
u4,1,0.413211,0.669543,[  6 101] ; [  9 235],[  4.57264957 102.42735043] ; [ 10.42735043 233.57264957],0
s6,1,0.431699,0.618248,[89 16] ; [210  29],[91.26453488 13.73546512] ; [207.73546512  31.26453488],0
d5,1,0.432601,0.61583,[86 21] ; [202  39],[88.55172414 18.44827586] ; [199.44827586  41.55172414],0
p1,1,0.446245,0.580172,[13 94] ; [ 23 220],[11.00571429 95.99428571] ; [ 24.99428571 218.00571429],0
s4,1,0.487686,0.481628,[20 86] ; [ 53 186],[22.42898551 83.57101449] ; [ 50.57101449 188.42898551],0
d4,1,0.518339,0.417197,[90 17] ; [209  32],[91.93390805 15.06609195] ; [207.06609195  33.93390805],0
n6,1,0.52869,0.396908,[96 10] ; [224  18],[97.47126437  8.52873563] ; [222.52873563  19.47126437],0
a5,1,0.584193,0.299505,[84 23] ; [185  59],[82.002849 24.997151] ; [186.997151  57.002849],0
a7,1,0.61253,0.256507,[79 28] ; [173  70],[77.04 29.96] ; [174.96  68.04],0
d1,1,0.699117,0.149392,[72 35] ; [159  85],[70.41880342 36.58119658] ; [160.58119658  83.41880342],0
b1,1,0.711188,0.137093,[47 60] ; [102 142],[45.42165242 61.57834758] ; [103.57834758 140.42165242],0
u2,1,0.728886,0.120137,[14 12] ; [29 21],[14.71052632 11.28947368] ; [28.28947368 21.71052632],0
p12,1,0.752491,0.09945,[14 93] ; [ 29 215],[13.10826211 93.89173789] ; [ 29.89173789 214.10826211],0
s3,1,0.819504,0.052067,[93 12] ; [214  30],[92.36389685 12.63610315] ; [214.63610315  29.36389685],0
n1,1,0.915233,0.01133,[14 18] ; [17 23],[13.77777778 18.22222222] ; [17.22222222 22.77777778],0
u1,1,0.950581,0.003841,[24 83] ; [ 54 190],[23.77777778 83.22222222] ; [ 54.22222222 189.77777778],0
