Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.5e-05,17.763691,[24 23] ; [ 32 128],[12.71497585 34.28502415] ; [ 43.28502415 116.71497585],1
p7,1,3.5e-05,17.120141,[31 16] ; [ 51 107],[18.8 28.2] ; [63.2 94.8],1
p4,1,0.000518,12.048549,[27 20] ; [ 48 113],[16.94711538 30.05288462] ; [ 58.05288462 102.94711538],1
s7,1,0.003083,8.757911,[21 24] ; [ 36 115],[13.08673469 31.91326531] ; [ 43.91326531 107.08673469],0
s8,1,0.00455,8.05,[17 29] ; [ 28 133],[10. 36.] ; [ 35. 126.],0
p3,1,0.004796,7.95468,[21 26] ; [ 38 123],[13.33173077 33.66826923] ; [ 45.66826923 115.33173077],0
b3,1,0.011571,6.375468,[15 13] ; [29 74],[ 9.40458015 18.59541985] ; [34.59541985 68.40458015],0
b2,1,0.011571,6.375468,[15 13] ; [29 74],[ 9.40458015 18.59541985] ; [34.59541985 68.40458015],0
p2,1,0.015075,5.907705,[35 12] ; [88 73],[27.79326923 19.20673077] ; [95.20673077 65.79326923],0
p11,1,0.017261,5.669621,[30 17] ; [71 90],[22.82211538 24.17788462] ; [78.17788462 82.82211538],0
r3,1,0.018589,5.539812,[44  3] ; [125  34],[38.55825243  8.44174757] ; [130.44174757  28.55825243],0
b5,1,0.023279,5.147544,[36 11] ; [94 67],[29.375 17.625] ; [100.625  60.375],0
n3,1,0.037545,4.325535,[16  3] ; [36 26],[12.19753086  6.80246914] ; [39.80246914 22.19753086],0
p9,1,0.045599,3.996331,[22 25] ; [ 48 107],[16.28712871 30.71287129] ; [ 53.71287129 101.28712871],0
v4,1,0.045607,3.996037,[43  4] ; [125  34],[38.33009709  8.66990291] ; [129.66990291  29.33009709],0
n2,1,0.046173,3.97527,[16  3] ; [38 26],[12.36144578  6.63855422] ; [41.63855422 22.36144578],0
s2,1,0.078693,3.091689,[20 27] ; [ 46 113],[15.05825243 31.94174757] ; [ 50.94174757 108.05825243],0
u4,1,0.103374,2.652706,[ 3 44] ; [  3 158],[ 1.35576923 45.64423077] ; [  4.64423077 156.35576923],0
p1,1,0.108815,2.571349,[ 5 42] ; [  7 152],[ 2.73786408 44.26213592] ; [  9.26213592 149.73786408],0
a5,1,0.144519,2.129171,[23 24] ; [98 63],[27.34134615 19.65865385] ; [93.65865385 67.34134615],0
