Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,43.181779,[108  24] ; [26 46],[86.70588235 45.29411765] ; [47.29411765 24.70588235],1
s8,1,0.0,27.025221,[100  31] ; [29 44],[82.83823529 48.16176471] ; [46.16176471 26.83823529],1
s3,1,2.8e-05,17.552518,[100  31] ; [34 38],[86.4729064 44.5270936] ; [47.5270936 24.4729064],1
s6,1,3.9e-05,16.916056,[114  16] ; [44 26],[102.7  27.3] ; [55.3 14.7],1
s5,1,0.000256,13.371176,[70 52] ; [21 49],[57.82291667 64.17708333] ; [33.17708333 36.82291667],1
a3,1,0.002329,9.269967,[116  14] ; [53 20],[108.22660099  21.77339901] ; [60.77339901 12.22660099],0
p5,1,0.002722,8.985348,[ 31 101] ; [ 5 68],[ 23.1804878 108.8195122] ; [12.8195122 60.1804878],0
p3,1,0.006149,7.506034,[98 33] ; [41 32],[89.25980392 41.74019608] ; [49.74019608 23.25980392],0
p11,1,0.028669,4.787391,[101  31] ; [65  8],[106.88780488  25.11219512] ; [59.11219512 13.88780488],0
p12,1,0.035915,4.401131,[ 23 108] ; [ 5 67],[ 18.06896552 112.93103448] ; [ 9.93103448 62.06896552],0
p9,1,0.047572,3.925058,[127   4] ; [66  7],[123.93627451   7.06372549] ; [69.06372549  3.93627451],0
n1,1,0.067742,3.336898,[14 12] ; [ 3 10],[11.33333333 14.66666667] ; [5.66666667 7.33333333],0
n6,1,0.069569,3.293151,[122   8] ; [63 10],[118.4729064  11.5270936] ; [66.5270936  6.4729064],0
a1,1,0.078865,3.088142,[ 15 117] ; [ 3 70],[ 11.5902439 120.4097561] ; [ 6.4097561 66.5902439],0
a7,1,0.081634,3.032058,[94 38] ; [60 13],[99.16097561 32.83902439] ; [54.83902439 18.16097561],0
v3,1,0.081791,3.028943,[61 67] ; [24 45],[55.2284264 72.7715736] ; [29.7715736 39.2284264],0
u1,1,0.085843,2.950642,[48 84] ; [18 55],[42.49756098 89.50243902] ; [23.50243902 49.49756098],0
p8,1,0.092886,2.823626,[87 43] ; [57 16],[92.21674877 37.78325123] ; [51.78325123 21.21674877],0
s4,1,0.095677,2.776171,[36 94] ; [12 58],[31.2 98.8] ; [16.8 53.2],0
s1,1,0.124621,2.358264,[  8 124] ; [ 1 70],[  5.85221675 126.14778325] ; [ 3.14778325 67.85221675],0
u2,1,0.126279,2.337662,[12  4] ; [10 10],[9.77777778 6.22222222] ; [12.22222222  7.77777778],0
d2,1,0.126819,2.331015,[104  27] ; [51 22],[99.53431373 31.46568627] ; [55.46568627 17.53431373],0
u3,1,0.169017,1.891636,[13  3] ; [12  8],[11.11111111  4.88888889] ; [13.88888889  6.11111111],0
b4,1,0.175798,1.832791,[74 58] ; [48 25],[78.55609756 53.44390244] ; [43.44390244 29.55609756],0
n4,1,0.229527,1.443788,[118  14] ; [61 12],[115.25853659  16.74146341] ; [63.74146341  9.25853659],0
p2,1,0.233264,1.420847,[116  16] ; [68  5],[118.47804878  13.52195122] ; [65.52195122  7.47804878],0
a8,1,0.239713,1.382278,[18 99] ; [ 6 59],[ 15.42857143 101.57142857] ; [ 8.57142857 56.42857143],0
r2,1,0.252471,1.309578,[129   1] ; [69  2],[128.05970149   1.94029851] ; [69.94029851  1.05970149],0
u4,1,0.299361,1.077038,[  8 124] ; [ 2 70],[  6.47058824 125.52941176] ; [ 3.52941176 68.47058824],0
r1,1,0.349193,0.876387,[113  19] ; [58 14],[110.64705882  21.35294118] ; [60.35294118 11.64705882],0
a2,1,0.412318,0.672107,[51 81] ; [24 49],[48.29268293 83.70731707] ; [26.70731707 46.29268293],0
d3,1,0.413821,0.667796,[118  13] ; [63 10],[116.23039216  14.76960784] ; [64.76960784  8.23039216],0
p4,1,0.437852,0.601904,[113  18] ; [60 13],[111.09313725  19.90686275] ; [61.90686275 11.09313725],0
v4,1,0.444204,0.585399,[129   3] ; [69  3],[128.11764706   3.88235294] ; [69.88235294  2.11764706],0
a5,1,0.464114,0.535956,[120  12] ; [64  9],[118.47804878  13.52195122] ; [65.52195122  7.47804878],0
v1,1,0.465126,0.533532,[89 41] ; [45 26],[86.66666667 43.33333333] ; [47.33333333 23.66666667],0
a4,1,0.503969,0.446569,[84 48] ; [43 30],[81.77560976 50.22439024] ; [45.22439024 27.77560976],0
p1,1,0.56454,0.331904,[ 20 111] ; [ 9 64],[ 18.62254902 112.37745098] ; [10.37745098 62.62254902],0
b3,1,0.583041,0.301343,[45 51] ; [18 25],[43.51079137 52.48920863] ; [19.48920863 23.51079137],0
b2,1,0.583041,0.301343,[45 51] ; [18 25],[43.51079137 52.48920863] ; [19.48920863 23.51079137],0
n3,1,0.604027,0.268966,[20  6] ; [9 4],[19.33333333  6.66666667] ; [9.66666667 3.33333333],0
v2,1,0.612124,0.257094,[80 51] ; [39 29],[78.33668342 52.66331658] ; [40.66331658 27.33668342],0
d4,1,0.644534,0.212861,[127   3] ; [72  1],[127.43842365   2.56157635] ; [71.56157635  1.43842365],0
n5,1,0.650886,0.204785,[110  22] ; [59 14],[108.8195122  23.1804878] ; [60.1804878 12.8195122],0
r3,1,0.670041,0.181554,[128   4] ; [69  3],[127.47058824   4.52941176] ; [69.52941176  2.47058824],0
n2,1,0.701883,0.14652,[20  6] ; [10  4],[19.5  6.5] ; [10.5  3.5],0
r4,1,0.704059,0.144284,[125   7] ; [70  3],[125.56097561   6.43902439] ; [69.43902439  3.56097561],0
