Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.400848,[87 31] ; [ 9 22],[76.02684564 41.97315436] ; [19.97315436 11.02684564],1
v4,1,2.2e-05,17.972229,[109   8] ; [20 11],[101.97972973  15.02027027] ; [27.02027027  3.97972973],1
d5,1,0.003458,8.548482,[92 26] ; [16 15],[85.53020134 32.46979866] ; [22.46979866  8.53020134],0
p10,1,0.005596,7.676122,[100  16] ; [20 11],[94.69387755 21.30612245] ; [25.30612245  5.69387755],0
s7,1,0.015575,5.850227,[50 63] ; [ 6 24],[44.25174825 68.74825175] ; [11.74825175 18.25174825],0
b4,1,0.04543,4.002597,[80 38] ; [15 16],[75.23489933 42.76510067] ; [19.76510067 11.23489933],0
p9,1,0.051501,3.791897,[104  14] ; [23  8],[100.57718121  17.42281879] ; [26.42281879  4.57718121],0
p6,1,0.068499,3.318616,[46 68] ; [ 7 24],[41.66896552 72.33103448] ; [11.33103448 19.66896552],0
s3,1,0.071383,3.250939,[59 58] ; [10 21],[54.5472973 62.4527027] ; [14.4527027 16.5472973],0
d1,1,0.078497,3.095748,[55 63] ; [ 9 22],[50.68456376 67.31543624] ; [13.31543624 17.68456376],0
a4,1,0.08511,2.964509,[42 76] ; [ 6 25],[38.01342282 79.98657718] ; [ 9.98657718 21.01342282],0
u3,1,0.085733,2.952727,[21 21] ; [ 4 12],[18.10344828 23.89655172] ; [6.89655172 9.10344828],0
b5,1,0.103541,2.650138,[76 42] ; [15 16],[72.06711409 45.93288591] ; [18.93288591 12.06711409],0
a3,1,0.103541,2.650138,[76 42] ; [15 16],[72.06711409 45.93288591] ; [18.93288591 12.06711409],0
s8,1,0.10589,2.61452,[45 73] ; [ 7 24],[41.18120805 76.81879195] ; [10.81879195 20.18120805],0
b1,1,0.113925,2.498912,[39 79] ; [15 16],[42.76510067 75.23489933] ; [11.23489933 19.76510067],0
a7,1,0.124256,2.362838,[75 43] ; [15 16],[71.27516779 46.72483221] ; [18.72483221 12.27516779],0
v3,1,0.133347,2.253104,[38 76] ; [ 6 25],[34.59310345 79.40689655] ; [ 9.40689655 21.59310345],0
u2,1,0.149312,2.079266,[20 22] ; [11  5],[22.44827586 19.55172414] ; [8.55172414 7.44827586],0
n6,1,0.175176,1.838081,[99 18] ; [23  8],[96.44594595 20.55405405] ; [25.55405405  5.44594595],0
a2,1,0.18581,1.750534,[ 13 105] ; [ 1 30],[ 11.08724832 106.91275168] ; [ 2.91275168 28.08724832],0
b2,1,0.209922,1.571966,[26 49] ; [ 4 16],[23.68421053 51.31578947] ; [ 6.31578947 13.68421053],0
b3,1,0.209922,1.571966,[26 49] ; [ 4 16],[23.68421053 51.31578947] ; [ 6.31578947 13.68421053],0
d4,1,0.222634,1.487311,[89 29] ; [20 11],[86.32214765 31.67785235] ; [22.67785235  8.32214765],0
p2,1,0.231524,1.431473,[93 22] ; [22  9],[90.58219178 24.41780822] ; [24.41780822  6.58219178],0
s2,1,0.304429,1.054692,[54 64] ; [11 20],[51.47651007 66.52348993] ; [13.52348993 17.47651007],0
s4,1,0.316141,1.004844,[21 97] ; [ 8 23],[22.96644295 95.03355705] ; [ 6.03355705 24.96644295],0
p3,1,0.326695,0.961955,[53 64] ; [11 20],[50.59459459 66.40540541] ; [13.40540541 17.59459459],0
p12,1,0.352681,0.863786,[  6 110] ; [ 3 28],[  7.10204082 108.89795918] ; [ 1.89795918 29.10204082],0
p5,1,0.371015,0.800262,[ 12 104] ; [ 5 26],[ 13.41496599 102.58503401] ; [ 3.58503401 27.41496599],0
a8,1,0.371553,0.798465,[  9 103] ; [ 4 26],[ 10.25352113 101.74647887] ; [ 2.74647887 27.25352113],0
n3,1,0.397827,0.714885,[27 11] ; [10  2],[28.12  9.88] ; [8.88 3.12],0
n2,1,0.495052,0.465528,[28 10] ; [10  2],[28.88  9.12] ; [9.12 2.88],0
p7,1,0.495946,0.463601,[63 51] ; [15 16],[61.32413793 52.67586207] ; [16.67586207 14.32413793],0
d3,1,0.505711,0.442931,[65 53] ; [15 16],[63.3557047 54.6442953] ; [16.6442953 14.3557047],0
a5,1,0.606292,0.26561,[67 51] ; [16 15],[65.73154362 52.26845638] ; [17.26845638 13.73154362],0
r3,1,0.618265,0.248314,[106  12] ; [26  4],[105.24324324  12.75675676] ; [26.75675676  3.24324324],0
v1,1,0.669168,0.182577,[49 65] ; [12 19],[47.95862069 66.04137931] ; [13.04137931 17.95862069],0
p4,1,0.724516,0.124207,[60 57] ; [17 14],[60.87162162 56.12837838] ; [16.12837838 14.87162162],0
p8,1,0.726645,0.122215,[56 59] ; [14 17],[55.1369863 59.8630137] ; [14.8630137 16.1369863],0
n4,1,0.729356,0.119704,[80 38] ; [20 11],[79.19463087 38.80536913] ; [20.80536913 10.19463087],0
v2,1,0.789244,0.071445,[48 65] ; [14 17],[48.65277778 64.34722222] ; [13.34722222 17.65277778],0
u1,1,0.798773,0.064992,[  5 113] ; [ 1 30],[  4.75167785 113.24832215] ; [ 1.24832215 29.75167785],0
n5,1,0.810637,0.05741,[85 33] ; [23  8],[85.53020134 32.46979866] ; [22.46979866  8.53020134],0
s5,1,0.840588,0.040458,[27 84] ; [ 7 24],[26.57746479 84.42253521] ; [ 7.42253521 23.57746479],0
d2,1,0.841061,0.040215,[43 74] ; [12 19],[43.47972973 73.52027027] ; [11.52027027 19.47972973],0
n1,1,0.864691,0.029038,[14 22] ; [5 7],[14.25 21.75] ; [4.75 7.25],0
a6,1,0.897667,0.01654,[67 51] ; [18 13],[67.31543624 50.68456376] ; [17.68456376 13.31543624],0
p1,1,0.924335,0.00902,[ 12 105] ; [ 3 28],[ 11.85810811 105.14189189] ; [ 3.14189189 27.85810811],0
s6,1,0.946342,0.004529,[66 49] ; [18 13],[66.16438356 48.83561644] ; [17.83561644 13.16438356],0
a1,1,0.948206,0.00422,[  8 110] ; [ 2 29],[  7.91946309 110.08053691] ; [ 2.08053691 28.91946309],0
s1,1,0.957826,0.002796,[  4 113] ; [ 1 30],[  3.9527027 113.0472973] ; [ 1.0472973 29.9527027],0
