Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7.3e-05,15.738734,[142  16] ; [6 6],[137.55294118  20.44705882] ; [10.44705882  1.55294118],1
r2,1,0.000531,12.003446,[146  10] ; [7 4],[142.92215569  13.07784431] ; [10.07784431  0.92215569],1
p10,1,0.002845,8.904616,[116  41] ; [4 8],[111.47928994  45.52071006] ; [8.52071006 3.47928994],0
p4,1,0.008572,6.909983,[75 83] ; [ 1 11],[70.63529412 87.36470588] ; [5.36470588 6.63529412],0
p7,1,0.01211,6.294669,[96 59] ; [3 9],[91.88622754 63.11377246] ; [7.11377246 4.88622754],0
r3,1,0.023247,5.149972,[153   5] ; [10  2],[151.49411765   6.50588235] ; [11.50588235  0.49411765],0
d2,1,0.024188,5.081086,[ 54 104] ; [8 4],[ 57.62352941 100.37647059] ; [4.37647059 7.62352941],0
p2,1,0.030317,4.691236,[131  26] ; [7 5],[128.20118343  28.79881657] ; [9.79881657 2.20118343],0
a6,1,0.031381,4.631996,[102  56] ; [4 8],[98.51764706 59.48235294] ; [7.48235294 4.51764706],0
s2,1,0.031446,4.62845,[62 95] ; [ 1 11],[58.52662722 98.47337278] ; [4.47337278 7.52662722],0
a4,1,0.06646,3.36836,[ 51 107] ; [7 5],[ 53.90588235 104.09411765] ; [4.09411765 7.90588235],0
p6,1,0.108239,2.579747,[ 46 107] ; [ 1 11],[ 43.58181818 109.41818182] ; [3.41818182 8.58181818],0
n2,1,0.118122,2.442043,[31 11] ; [2 3],[29.4893617 12.5106383] ; [3.5106383 1.4893617],0
v1,1,0.132075,2.267948,[63 90] ; [2 9],[60.6402439 92.3597561] ; [4.3597561 6.6402439],0
v3,1,0.143393,2.141167,[ 42 110] ; [ 1 11],[ 39.85365854 112.14634146] ; [3.14634146 8.85365854],0
s6,1,0.144622,2.128074,[86 70] ; [4 8],[83.57142857 72.42857143] ; [6.42857143 5.57142857],0
a3,1,0.150007,2.072175,[99 59] ; [10  2],[101.30588235  56.69411765] ; [7.69411765 4.30588235],0
s7,1,0.158128,1.99204,[ 52 103] ; [6 5],[ 54.15662651 100.84337349] ; [3.84337349 7.15662651],0
b1,1,0.159304,1.980819,[ 48 110] ; [6 6],[ 50.18823529 107.81176471] ; [3.81176471 8.18823529],0
s8,1,0.161331,1.961706,[ 58 100] ; [ 2 10],[ 55.76470588 102.23529412] ; [4.23529412 7.76470588],0
r1,1,0.161994,1.955517,[120  37] ; [7 5],[117.98224852  39.01775148] ; [9.01775148 2.98224852],0
n6,1,0.17528,1.837194,[109  49] ; [6 6],[106.88235294  51.11764706] ; [8.11764706 3.88235294],0
p9,1,0.207011,1.592205,[126  32] ; [7 4],[124.34319527  33.65680473] ; [8.65680473 2.34319527],0
a7,1,0.215838,1.531833,[118  40] ; [7 5],[116.17647059  41.82352941] ; [8.82352941 3.17647059],0
a5,1,0.312512,1.020031,[102  56] ; [6 6],[100.37647059  57.62352941] ; [7.62352941 4.37647059],0
b4,1,0.327764,0.957713,[96 62] ; [9 3],[97.58823529 60.41176471] ; [7.41176471 4.58823529],0
b3,1,0.330312,0.947675,[31 63] ; [4 4],[32.25490196 61.74509804] ; [2.74509804 5.25490196],0
b2,1,0.330312,0.947675,[31 63] ; [4 4],[32.25490196 61.74509804] ; [2.74509804 5.25490196],0
d4,1,0.356819,0.849057,[128  30] ; [11  1],[129.18823529  28.81176471] ; [9.81176471 2.18823529],0
a8,1,0.363656,0.825227,[ 14 132] ; [2 9],[ 14.87898089 131.12101911] ; [1.12101911 9.87898089],0
d3,1,0.387635,0.746349,[111  47] ; [7 5],[109.67058824  48.32941176] ; [8.32941176 3.67058824],0
n4,1,0.387922,0.745447,[73 85] ; [4 8],[71.56470588 86.43529412] ; [5.43529412 6.56470588],0
d5,1,0.400613,0.706485,[114  44] ; [10  2],[115.24705882  42.75294118] ; [8.75294118 3.24705882],0
b5,1,0.463273,0.537975,[96 62] ; [6 6],[94.8 63.2] ; [7.2 4.8],0
p8,1,0.500546,0.453778,[74 84] ; [4 7],[72.92307692 85.07692308] ; [5.07692308 5.92307692],0
d1,1,0.521398,0.411127,[77 81] ; [7 5],[78.07058824 79.92941176] ; [5.92941176 6.07058824],0
s4,1,0.550571,0.356296,[ 23 135] ; [ 1 11],[ 22.30588235 135.69411765] ; [ 1.69411765 10.30588235],0
v2,1,0.62436,0.239787,[77 74] ; [7 5],[77.81595092 73.18404908] ; [6.18404908 5.81595092],0
n1,1,0.65561,0.198901,[13 30] ; [2 3],[13.4375 29.5625] ; [1.5625 3.4375],0
a2,1,0.660697,0.192678,[ 20 138] ; [ 1 11],[ 19.51764706 138.48235294] ; [ 1.48235294 10.51764706],0
s3,1,0.763706,0.090371,[72 84] ; [5 7],[71.5 84.5] ; [5.5 6.5],0
p5,1,0.790382,0.070658,[ 10 147] ; [ 1 11],[ 10.21893491 146.78106509] ; [ 0.78106509 11.21893491],0
u1,1,0.894422,0.017612,[ 15 143] ; [ 1 11],[ 14.87058824 143.12941176] ; [ 1.12941176 10.87058824],0
s5,1,0.905865,0.013984,[ 39 113] ; [3 8],[ 39.16564417 112.83435583] ; [2.83435583 8.16564417],0
