Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.3e-05,17.949474,[48  9] ; [12 18],[39.31034483 17.68965517] ; [20.68965517  9.31034483],1
p11,1,0.001108,10.637856,[46 11] ; [14 16],[39.31034483 17.68965517] ; [20.68965517  9.31034483],0
s8,1,0.001629,9.927031,[27 30] ; [ 4 26],[20.31034483 36.68965517] ; [10.68965517 19.31034483],0
p4,1,0.023316,5.144774,[39 18] ; [13 17],[34.06896552 22.93103448] ; [17.93103448 12.06896552],0
r1,1,0.029048,4.764764,[45 12] ; [17 13],[40.62068966 16.37931034] ; [21.37931034  8.62068966],0
v4,1,0.029395,4.744337,[53  3] ; [23  6],[50.07058824  5.92941176] ; [25.92941176  3.07058824],0
s7,1,0.030328,4.690607,[25 28] ; [ 6 21],[20.5375 32.4625] ; [10.4625 16.5375],0
r3,1,0.031927,4.602429,[54  3] ; [24  6],[51.10344828  5.89655172] ; [26.89655172  3.10344828],0
a7,1,0.042346,4.121316,[41 16] ; [15 15],[36.68965517 20.31034483] ; [19.31034483 10.68965517],0
v2,1,0.045174,4.012139,[30 22] ; [10 19],[25.67901235 26.32098765] ; [14.32098765 14.67901235],0
d5,1,0.046946,3.94731,[45 12] ; [17 12],[41.09302326 15.90697674] ; [20.90697674  8.09302326],0
p8,1,0.077827,3.109704,[35 22] ; [12 17],[31.15116279 25.84883721] ; [15.84883721 13.15116279],0
p2,1,0.081157,3.041578,[48  8] ; [21  9],[44.93023256 11.06976744] ; [24.06976744  5.93023256],0
d1,1,0.086032,2.947088,[30 27] ; [10 20],[26.20689655 30.79310345] ; [13.79310345 16.20689655],0
s1,1,0.090336,2.868373,[ 2 54] ; [ 4 26],[ 3.90697674 52.09302326] ; [ 2.09302326 27.90697674],0
d3,1,0.103702,2.647667,[39 17] ; [15 14],[35.57647059 20.42352941] ; [18.42352941 10.57647059],0
a3,1,0.118968,2.430851,[40 17] ; [16 14],[36.68965517 20.31034483] ; [19.31034483 10.68965517],0
n1,1,0.143687,2.138024,[ 2 11] ; [5 7],[3.64 9.36] ; [3.36 8.64],0
p3,1,0.156213,2.010512,[30 27] ; [11 19],[26.86206897 30.13793103] ; [14.13793103 15.86206897],0
v3,1,0.16971,1.885507,[15 39] ; [ 4 24],[12.51219512 41.48780488] ; [ 6.48780488 21.51219512],0
n5,1,0.174616,1.842857,[31 25] ; [12 18],[28. 28.] ; [15. 15.],0
a6,1,0.213055,1.550547,[41 16] ; [17 12],[38.44186047 18.55813953] ; [19.55813953  9.44186047],0
r4,1,0.235642,1.406475,[43 14] ; [19 11],[40.62068966 16.37931034] ; [21.37931034  8.62068966],0
n4,1,0.255851,1.291069,[32 25] ; [13 17],[29.48275862 27.51724138] ; [15.51724138 14.48275862],0
a5,1,0.292762,1.106875,[37 20] ; [16 14],[34.72413793 22.27586207] ; [18.27586207 11.72413793],0
b1,1,0.338583,0.915789,[36 21] ; [22  8],[38. 19.] ; [20. 10.],0
s3,1,0.345934,0.888317,[29 26] ; [19 11],[31.05882353 23.94117647] ; [16.94117647 13.05882353],0
p5,1,0.359579,0.839363,[ 5 52] ; [ 1 28],[ 3.97674419 53.02325581] ; [ 2.02325581 26.97674419],0
r2,1,0.360191,0.837228,[45 10] ; [22  8],[43.35294118 11.64705882] ; [23.64705882  6.35294118],0
s6,1,0.374406,0.788988,[36 21] ; [16 14],[34.06896552 22.93103448] ; [17.93103448 12.06896552],0
s2,1,0.38927,0.74122,[24 32] ; [10 20],[22.13953488 33.86046512] ; [11.86046512 18.13953488],0
b5,1,0.426148,0.633298,[35 22] ; [21  9],[36.68965517 20.31034483] ; [19.31034483 10.68965517],0
b2,1,0.435875,0.607118,[ 8 29] ; [ 2 14],[ 6.98113208 30.01886792] ; [ 3.01886792 12.98113208],0
b3,1,0.435875,0.607118,[ 8 29] ; [ 2 14],[ 6.98113208 30.01886792] ; [ 3.01886792 12.98113208],0
d2,1,0.473958,0.512733,[21 36] ; [13 16],[22.53488372 34.46511628] ; [11.46511628 17.53488372],0
n2,1,0.489534,0.477551,[12  2] ; [9 3],[11.30769231  2.69230769] ; [9.69230769 2.30769231],0
