Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,170.385659,[480  25] ; [33 43],[445.89500861  59.10499139] ; [67.10499139  8.89500861],1
n5,1,0.0,29.023198,[410  93] ; [43 36],[391.51030928 111.48969072] ; [61.48969072 17.51030928],1
p4,1,2e-06,22.260296,[336 167] ; [31 48],[317.1838488 185.8161512] ; [49.8161512 29.1838488],1
p3,1,8e-06,20.018789,[283 221] ; [23 56],[264.53516295 239.46483705] ; [41.46483705 37.53516295],1
p8,1,1.2e-05,19.167682,[307 192] ; [27 50],[289.35069444 209.64930556] ; [44.64930556 32.35069444],1
s6,1,0.000102,15.098791,[352 145] ; [38 40],[337.09565217 159.90434783] ; [52.90434783 25.09565217],1
n6,1,0.00039,12.580305,[448  55] ; [59 20],[438.18041237  64.81958763] ; [68.81958763 10.18041237],1
s7,1,0.0006,11.774884,[260 228] ; [24 51],[246.1669627 241.8330373] ; [37.8330373 37.1669627],1
p2,1,0.000802,11.236587,[446  58] ; [59 20],[436.56946827  67.43053173] ; [68.43053173 10.56946827],1
p7,1,0.001237,10.43442,[352 140] ; [41 36],[339.8172232 152.1827768] ; [53.1827768 23.8172232],0
a5,1,0.002022,9.529381,[405 101] ; [51 28],[394.42051282 111.57948718] ; [61.57948718 17.42051282],0
a3,1,0.002884,8.879456,[381 124] ; [47 32],[370.10273973 134.89726027] ; [57.89726027 21.10273973],0
s8,1,0.005241,7.794287,[246 256] ; [25 53],[234.55517241 267.44482759] ; [36.44482759 41.55517241],0
s2,1,0.00537,7.750313,[267 233] ; [28 49],[255.63258232 244.36741768] ; [39.36741768 37.63258232],0
v2,1,0.007211,7.219527,[303 179] ; [36 41],[292.30411449 189.69588551] ; [46.69588551 30.30411449],0
v1,1,0.009709,6.687539,[293 197] ; [35 44],[282.46045694 207.53954306] ; [45.53954306 33.46045694],0
p5,1,0.01035,6.573682,[ 71 431] ; [ 3 76],[ 63.93803787 438.06196213] ; [10.06196213 68.93803787],0
n4,1,0.011676,6.359424,[419  87] ; [56 23],[410.85470085  95.14529915] ; [64.14529915 14.85470085],0
d3,1,0.013186,6.14397,[369 136] ; [47 32],[359.7260274 145.2739726] ; [56.2739726 22.7260274],0
d1,1,0.013806,6.062772,[323 183] ; [39 40],[313.11452991 192.88547009] ; [48.88547009 30.11452991],0
v3,1,0.014513,5.974674,[214 270] ; [23 55],[204.10676157 279.89323843] ; [32.89323843 45.10676157],0
d5,1,0.016585,5.739803,[420  84] ; [57 22],[412.36363636  91.63636364] ; [64.63636364 14.36363636],0
s3,1,0.019774,5.431695,[296 201] ; [35 42],[286.59756098 210.40243902] ; [44.40243902 32.59756098],0
p12,1,0.020974,5.32894,[ 55 449] ; [ 2 76],[ 49.36082474 454.63917526] ; [ 7.63917526 70.36082474],0
v4,1,0.023857,5.104986,[492  10] ; [74  5],[489.03958692  12.96041308] ; [76.96041308  2.03958692],0
p6,1,0.024408,5.065379,[194 305] ; [20 58],[185.07105719 313.92894281] ; [28.92894281 49.07105719],0
u2,1,0.039276,4.248904,[81 43] ; [14 17],[76. 48.] ; [19. 12.],0
a7,1,0.041256,4.165451,[379 126] ; [50 28],[371.60377358 133.39622642] ; [57.39622642 20.60377358],0
