Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.010198,6.6,[42 35] ; [42 13],[49. 28.] ; [35. 20.],0
p9,1,0.027815,4.839527,[46 30] ; [44 12],[51.81818182 24.18181818] ; [38.18181818 17.81818182],0
n3,1,0.0349,4.450056,[19 10] ; [15  1],[21.91111111  7.08888889] ; [12.08888889  3.91111111],0
a5,1,0.036546,4.371429,[34 46] ; [34 22],[40. 40.] ; [28. 28.],0
r2,1,0.044802,4.026095,[64 16] ; [50  4],[68.05970149 11.94029851] ; [45.94029851  8.05970149],0
r3,1,0.046133,3.976733,[60 20] ; [48  6],[64.47761194 15.52238806] ; [43.52238806 10.47761194],0
r4,1,0.056787,3.628825,[54 26] ; [46 10],[58.82352941 21.17647059] ; [41.17647059 14.82352941],0
r1,1,0.064467,3.418562,[42 38] ; [37 17],[47.1641791 32.8358209] ; [31.8358209 22.1641791],0
a3,1,0.070426,3.273064,[32 47] ; [31 24],[37.14179104 41.85820896] ; [25.85820896 29.14179104],0
a7,1,0.0877,2.916098,[39 41] ; [35 20],[43.85185185 36.14814815] ; [30.14814815 24.85185185],0
s5,1,0.1509,2.063129,[16 63] ; [ 6 49],[12.97014925 66.02985075] ; [ 9.02985075 45.97014925],0
u3,1,0.171763,1.867489,[17 31] ; [13 12],[19.7260274 28.2739726] ; [10.2739726 14.7260274],0
n5,1,0.175098,1.838745,[54 26] ; [43 12],[57.48148148 22.51851852] ; [39.51851852 15.48148148],0
p4,1,0.180053,1.797187,[28 52] ; [26 30],[31.76470588 48.23529412] ; [22.23529412 33.76470588],0
v3,1,0.186032,1.748765,[17 59] ; [18 37],[20.30534351 55.69465649] ; [14.69465649 40.30534351],0
n4,1,0.189485,1.72162,[49 31] ; [39 15],[52.53731343 27.46268657] ; [35.46268657 18.53731343],0
s1,1,0.193971,1.687194,[ 4 75] ; [ 6 48],[ 5.93984962 73.06015038] ; [ 4.06015038 49.93984962],0
s3,1,0.197103,1.663713,[33 45] ; [29 25],[36.63636364 41.36363636] ; [25.36363636 28.63636364],0
n6,1,0.22736,1.457302,[55 25] ; [43 12],[58.07407407 21.92592593] ; [39.92592593 15.07407407],0
b5,1,0.241835,1.369866,[39 41] ; [33 23],[42.35294118 37.64705882] ; [29.64705882 26.35294118],0
v2,1,0.256048,1.29,[22 53] ; [21 33],[25. 50.] ; [18. 36.],0
s7,1,0.266251,1.235959,[20 55] ; [19 34],[22.8515625 52.1484375] ; [16.1484375 36.8515625],0
p3,1,0.305739,1.048993,[23 56] ; [21 35],[25.74814815 53.25185185] ; [18.25185185 37.74814815],0
b1,1,0.313093,1.017582,[34 46] ; [19 37],[31.17647059 48.82352941] ; [21.82352941 34.17647059],0
s6,1,0.323273,0.975659,[37 42] ; [30 24],[39.79699248 39.20300752] ; [27.20300752 26.79699248],0
a1,1,0.326923,0.961047,[ 4 76] ; [ 1 55],[ 2.94117647 77.05882353] ; [ 2.05882353 53.94117647],0
a2,1,0.347349,0.883117,[ 5 75] ; [ 6 50],[ 6.47058824 73.52941176] ; [ 4.52941176 51.47058824],0
u1,1,0.364329,0.822914,[ 1 79] ; [ 2 54],[ 1.76470588 78.23529412] ; [ 1.23529412 54.76470588],0
s4,1,0.381147,0.767,[15 65] ; [14 42],[17.05882353 62.94117647] ; [11.94117647 44.05882353],0
s8,1,0.384881,0.755053,[20 59] ; [18 38],[22.23703704 56.76296296] ; [15.76296296 40.23703704],0
d5,1,0.38743,0.746992,[34 46] ; [28 28],[36.47058824 43.52941176] ; [25.52941176 30.47058824],0
b4,1,0.411451,0.674603,[40 40] ; [24 32],[37.64705882 42.35294118] ; [26.35294118 29.64705882],0
d3,1,0.420965,0.647619,[18 62] ; [16 40],[20. 60.] ; [14. 42.],0
a6,1,0.435577,0.607906,[44 36] ; [27 29],[41.76470588 38.23529412] ; [29.23529412 26.76470588],0
p11,1,0.474682,0.511056,[51 29] ; [39 17],[52.94117647 27.05882353] ; [37.05882353 18.94117647],0
a4,1,0.491433,0.473387,[15 65] ; [13 42],[16.59259259 63.40740741] ; [11.40740741 43.59259259],0
v4,1,0.52544,0.403203,[67 12] ; [47  6],[68.22727273 10.77272727] ; [45.77272727  7.22727273],0
p1,1,0.530349,0.393723,[ 6 73] ; [ 6 50],[ 7.02222222 71.97777778] ; [ 4.97777778 51.02222222],0
s2,1,0.560665,0.338554,[24 55] ; [19 35],[25.54135338 53.45864662] ; [17.45864662 36.54135338],0
p2,1,0.640821,0.21767,[52 27] ; [39 17],[53.25185185 25.74814815] ; [37.74814815 18.25185185],0
p5,1,0.667361,0.184705,[ 4 74] ; [ 2 54],[ 3.49253731 74.50746269] ; [ 2.50746269 53.49253731],0
u2,1,0.681835,0.168068,[15 33] ; [ 9 16],[15.78082192 32.21917808] ; [ 8.21917808 16.78082192],0
a8,1,0.707474,0.140813,[ 6 67] ; [ 5 44],[ 6.58196721 66.41803279] ; [ 4.41803279 44.58196721],0
n1,1,0.805666,0.060526,[12 18] ; [7 9],[12.39130435 17.60869565] ; [6.60869565 9.39130435],0
p8,1,0.805691,0.060511,[30 48] ; [20 35],[29.32330827 48.67669173] ; [20.67669173 34.32330827],0
p7,1,0.845055,0.038193,[35 44] ; [23 31],[34.45112782 44.54887218] ; [23.54887218 30.45112782],0
d2,1,0.922151,0.00955,[18 62] ; [13 43],[18.23529412 61.76470588] ; [12.76470588 43.23529412],0
b3,1,0.983063,0.000451,[ 8 35] ; [ 7 31],[ 7.96296296 35.03703704] ; [ 7.03703704 30.96296296],0
b2,1,0.983063,0.000451,[ 8 35] ; [ 7 31],[ 7.96296296 35.03703704] ; [ 7.03703704 30.96296296],0
