Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9.6e-05,15.21794,[28  9] ; [36 59],[17.93939394 19.06060606] ; [46.06060606 48.93939394],1
a5,1,0.005608,7.67203,[31  8] ; [54 46],[23.84892086 15.15107914] ; [61.15107914 38.84892086],0
r1,1,0.019872,5.423082,[34  5] ; [67 32],[28.54347826 10.45652174] ; [72.45652174 26.54347826],0
n4,1,0.112424,2.519815,[23 16] ; [44 56],[18.79856115 20.20143885] ; [48.20143885 51.79856115],0
r4,1,0.11684,2.459176,[34  5] ; [75 25],[30.58273381  8.41726619] ; [78.41726619 21.58273381],0
a2,1,0.127364,2.324347,[ 3 36] ; [18 82],[ 5.89208633 33.10791367] ; [15.10791367 84.89208633],0
r3,1,0.173819,1.849694,[37  2] ; [86 13],[34.76086957  4.23913043] ; [88.23913043 10.76086957],0
v1,1,0.19747,1.660986,[21 18] ; [40 56],[17.62222222 21.37777778] ; [43.37777778 52.62222222],0
b5,1,0.223832,1.479634,[21 18] ; [65 35],[24.1294964 14.8705036] ; [61.8705036 38.1294964],0
p8,1,0.233153,1.421525,[18 19] ; [37 62],[14.96323529 22.03676471] ; [40.03676471 58.96323529],0
b4,1,0.235982,1.404435,[25 14] ; [53 47],[21.88489209 17.11510791] ; [56.11510791 43.88489209],0
u3,1,0.247854,1.33536,[9 5] ; [28  7],[10.57142857  3.42857143] ; [26.42857143  8.57142857],0
n1,1,0.267227,1.230926,[2 8] ; [14 22],[3.47826087 6.52173913] ; [12.52173913 23.47826087],0
p12,1,0.303778,1.057534,[ 2 35] ; [ 2 96],[ 1.0962963 35.9037037] ; [ 2.9037037 95.0962963],0
s4,1,0.32209,0.980441,[ 5 34] ; [20 80],[ 7.01438849 31.98561151] ; [17.98561151 82.01438849],0
s8,1,0.338115,0.917567,[15 24] ; [30 70],[12.62589928 26.37410072] ; [32.37410072 67.62589928],0
p5,1,0.351659,0.86746,[ 3 35] ; [ 4 96],[ 1.92753623 36.07246377] ; [ 5.07246377 94.92753623],0
p10,1,0.384906,0.754973,[26 11] ; [61 37],[23.84444444 13.15555556] ; [63.15555556 34.84444444],0
s6,1,0.468299,0.525988,[19 20] ; [55 44],[20.91304348 18.08695652] ; [53.08695652 45.91304348],0
a8,1,0.494512,0.466694,[ 2 33] ; [ 9 86],[ 2.96153846 32.03846154] ; [ 8.03846154 86.96153846],0
p4,1,0.515315,0.42326,[18 19] ; [42 57],[16.32352941 20.67647059] ; [43.67647059 55.32352941],0
b2,1,0.520891,0.412128,[ 6 14] ; [13 44],[ 4.93506494 15.06493506] ; [14.06493506 42.93506494],0
b3,1,0.520891,0.412128,[ 6 14] ; [13 44],[ 4.93506494 15.06493506] ; [14.06493506 42.93506494],0
a1,1,0.525501,0.403083,[ 1 38] ; [ 5 95],[ 1.68345324 37.31654676] ; [ 4.31654676 95.68345324],0
s5,1,0.531259,0.391983,[ 7 31] ; [22 72],[ 8.34848485 29.65151515] ; [20.65151515 73.34848485],0
d2,1,0.535056,0.38478,[13 26] ; [39 61],[14.58992806 24.41007194] ; [37.41007194 62.58992806],0
b1,1,0.575285,0.313919,[19 20] ; [54 46],[20.48201439 18.51798561] ; [52.51798561 47.48201439],0
a7,1,0.585035,0.298165,[28 11] ; [67 33],[26.65467626 12.34532374] ; [68.34532374 31.65467626],0
n3,1,0.585786,0.296974,[7 4] ; [26 10],[7.72340426 3.27659574] ; [25.27659574 10.72340426],0
d1,1,0.615658,0.252018,[19 20] ; [44 56],[17.67625899 21.32374101] ; [45.32374101 54.67625899],0
p7,1,0.648629,0.207633,[20 18] ; [53 40],[21.17557252 16.82442748] ; [51.82442748 41.17557252],0
p3,1,0.654324,0.200491,[15 22] ; [36 63],[13.875 23.125] ; [37.125 61.875],0
d4,1,0.660821,0.192528,[31  8] ; [76 24],[30.02158273  8.97841727] ; [76.97841727 23.02158273],0
a6,1,0.660856,0.192485,[25 14] ; [68 32],[26.09352518 12.90647482] ; [66.90647482 33.09352518],0
u2,1,0.664612,0.18797,[12  3] ; [26  9],[11.4  3.6] ; [26.6  8.4],0
s3,1,0.674115,0.176826,[19 19] ; [54 46],[20.10144928 17.89855072] ; [52.89855072 47.10144928],0
p11,1,0.702419,0.145968,[24 15] ; [65 35],[24.97122302 14.02877698] ; [64.02877698 35.97122302],0
a3,1,0.702419,0.145968,[24 15] ; [65 35],[24.97122302 14.02877698] ; [64.02877698 35.97122302],0
p1,1,0.726674,0.122188,[ 3 36] ; [ 6 93],[ 2.54347826 36.45652174] ; [ 6.45652174 92.54347826],0
p2,1,0.75206,0.099808,[28  9] ; [73 27],[27.27737226  9.72262774] ; [73.72262774 26.27737226],0
r2,1,0.758011,0.094921,[35  4] ; [87 12],[34.47826087  4.52173913] ; [87.52173913 11.47826087],0
d5,1,0.812676,0.056157,[30  9] ; [75 25],[29.46043165  9.53956835] ; [75.53956835 24.46043165],0
p6,1,0.814208,0.055226,[ 9 28] ; [25 70],[ 9.53030303 27.46969697] ; [24.46969697 70.53030303],0
d3,1,0.822478,0.050337,[26 13] ; [64 35],[25.43478261 13.56521739] ; [64.56521739 34.43478261],0
a4,1,0.83259,0.044682,[14 25] ; [34 66],[13.4676259 25.5323741] ; [34.5323741 65.4676259],0
p9,1,0.849429,0.036042,[27 11] ; [68 30],[26.54411765 11.45588235] ; [68.45588235 29.54411765],0
n5,1,0.85135,0.035118,[17 22] ; [41 57],[16.51094891 22.48905109] ; [41.48905109 56.51094891],0
s2,1,0.864718,0.029026,[17 22] ; [42 58],[16.55395683 22.44604317] ; [42.44604317 57.55395683],0
n2,1,0.874925,0.024776,[8 3] ; [26 11],[7.79166667 3.20833333] ; [26.20833333 10.79166667],0
s1,1,0.894141,0.017707,[ 1 37] ; [ 3 95],[ 1.11764706 36.88235294] ; [ 2.88235294 95.11764706],0
s7,1,0.908009,0.013352,[12 24] ; [32 61],[12.27906977 23.72093023] ; [31.72093023 61.27906977],0
u1,1,0.951857,0.003645,[ 3 36] ; [ 8 92],[ 3.08633094 35.91366906] ; [ 7.91366906 92.08633094],0
