Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,48.285714,[83  1] ; [17 19],[70. 14.] ; [30.  6.],1
r3,1,0.0,47.769104,[82  3] ; [15 21],[68.14049587 16.85950413] ; [28.85950413  7.14049587],1
r2,1,0.0,44.368001,[81  4] ; [15 21],[67.43801653 17.56198347] ; [28.56198347  7.43801653],1
r1,1,0.0,26.679591,[62 23] ; [ 8 28],[49.17355372 35.82644628] ; [20.82644628 15.17355372],1
p9,1,0.000216,13.689345,[63 19] ; [14 20],[54.43103448 27.56896552] ; [22.56896552 11.43103448],1
a6,1,0.000262,13.325824,[56 28] ; [11 25],[46.9 37.1] ; [20.1 15.9],1
u3,1,0.000764,11.326612,[25 24] ; [ 2 20],[18.63380282 30.36619718] ; [ 8.36619718 13.63380282],1
p11,1,0.000979,10.866799,[66 19] ; [17 19],[58.30578512 26.69421488] ; [24.69421488 11.30578512],1
s6,1,0.001821,9.721825,[46 36] ; [ 9 27],[38.22033898 43.77966102] ; [16.77966102 19.22033898],0
n6,1,0.003868,8.344765,[67 18] ; [19 17],[60.41322314 24.58677686] ; [25.58677686 10.41322314],0
p3,1,0.004151,8.216767,[37 47] ; [ 6 30],[30.1 53.9] ; [12.9 23.1],0
p10,1,0.004259,8.169964,[56 26] ; [14 21],[49.05982906 32.94017094] ; [20.94017094 14.05982906],0
a7,1,0.005915,7.576083,[51 33] ; [12 24],[44.1 39.9] ; [18.9 17.1],0
v3,1,0.005999,7.550647,[26 55] ; [ 3 33],[20.07692308 60.92307692] ; [ 8.92307692 27.07692308],0
s5,1,0.007229,7.21505,[26 55] ; [ 3 32],[20.25 60.75] ; [ 8.75 26.25],0
a5,1,0.011126,6.445013,[42 42] ; [ 9 27],[35.7 48.3] ; [15.3 20.7],0
v2,1,0.016277,5.772741,[26 53] ; [ 4 31],[20.78947368 58.21052632] ; [ 9.21052632 25.78947368],0
n3,1,0.018125,5.584046,[17  3] ; [10 10],[13.5  6.5] ; [13.5  6.5],0
s3,1,0.027388,4.866211,[44 38] ; [11 24],[38.54700855 43.45299145] ; [16.45299145 18.54700855],0
u2,1,0.029693,4.726989,[27 22] ; [ 6 16],[22.77464789 26.22535211] ; [10.22535211 11.77464789],0
p6,1,0.057955,3.59496,[29 55] ; [ 6 29],[24.70588235 59.29411765] ; [10.29411765 24.70588235],0
p4,1,0.068313,3.3231,[37 44] ; [10 26],[32.53846154 48.46153846] ; [14.46153846 21.53846154],0
d3,1,0.08253,3.014354,[35 49] ; [ 9 27],[30.8 53.2] ; [13.2 22.8],0
s2,1,0.105191,2.625016,[34 50] ; [ 9 27],[30.1 53.9] ; [12.9 23.1],0
d4,1,0.105313,2.623186,[41 42] ; [12 24],[36.96638655 46.03361345] ; [16.03361345 19.96638655],0
p12,1,0.108754,2.572228,[10 73] ; [ 1 35],[ 7.67226891 75.32773109] ; [ 3.32773109 32.67226891],0
p7,1,0.123987,2.366221,[45 36] ; [14 21],[41.19827586 39.80172414] ; [17.80172414 17.19827586],0
n2,1,0.1262,2.338636,[17  5] ; [11  9],[14.66666667  7.33333333] ; [13.33333333  6.66666667],0
s7,1,0.211329,1.562296,[27 51] ; [ 8 27],[24.15929204 53.84070796] ; [10.84070796 24.15929204],0
a4,1,0.227888,1.453996,[17 67] ; [ 4 32],[14.7 69.3] ; [ 6.3 29.7],0
p2,1,0.256766,1.286111,[58 26] ; [21 15],[55.3 28.7] ; [23.7 12.3],0
a1,1,0.265786,1.238367,[ 3 82] ; [ 3 33],[ 4.21487603 80.78512397] ; [ 1.78512397 34.21487603],0
s1,1,0.27985,1.167817,[ 3 80] ; [ 3 33],[ 4.18487395 78.81512605] ; [ 1.81512605 34.18487395],0
n4,1,0.290409,1.117725,[53 31] ; [19 17],[50.4 33.6] ; [21.6 14.4],0
b1,1,0.309703,1.03194,[34 51] ; [18 18],[36.52892562 48.47107438] ; [15.47107438 20.52892562],0
p1,1,0.352567,0.864198,[ 7 77] ; [ 5 31],[ 8.4 75.6] ; [ 3.6 32.4],0
s4,1,0.364734,0.821528,[17 67] ; [10 26],[18.9 65.1] ; [ 8.1 27.9],0
