Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,47.48885,[95 10] ; [133 123],[66.31578947 38.68421053] ; [161.68421053  94.31578947],1
s7,1,0.0,27.938623,[67 35] ; [ 86 161],[44.71633238 57.28366762] ; [108.28366762 138.71633238],1
p5,1,5.8e-05,16.154275,[18 90] ; [ 11 248],[ 8.53405995 99.46594005] ; [ 20.46594005 238.53405995],1
s4,1,6e-05,16.115693,[32 74] ; [ 32 224],[18.74033149 87.25966851] ; [ 45.25966851 210.74033149],1
s2,1,0.000172,14.115826,[65 43] ; [100 158],[48.68852459 59.31147541] ; [116.31147541 141.68852459],1
n6,1,0.000274,13.241508,[101   7] ; [201  58],[88.8719346 19.1280654] ; [213.1280654  45.8719346],1
p3,1,0.001647,9.905914,[59 49] ; [ 95 163],[45.44262295 62.55737705] ; [108.55737705 149.44262295],0
p4,1,0.003012,8.800186,[68 39] ; [119 137],[55.12121212 51.87878788] ; [131.87878788 124.12121212],0
p10,1,0.005192,7.811147,[90 17] ; [180  77],[79.36813187 27.63186813] ; [190.63186813  66.36813187],0
p6,1,0.005527,7.698475,[43 65] ; [ 65 192],[31.95616438 76.04383562] ; [ 76.04383562 180.95616438],0
p9,1,0.007486,7.152501,[91 13] ; [192  65],[81.52908587 22.47091413] ; [201.47091413  55.52908587],0
p12,1,0.016763,5.721056,[11 96] ; [ 10 248],[  6.15616438 100.84383562] ; [ 14.84383562 243.15616438],0
s8,1,0.019088,5.493437,[49 58] ; [ 85 174],[39.17486339 67.82513661] ; [ 94.82513661 164.17486339],0
b5,1,0.020731,5.349243,[50 58] ; [154 105],[60.03269755 47.96730245] ; [143.96730245 115.03269755],0
p7,1,0.035513,4.420319,[72 33] ; [145 111],[63.11634349 41.88365651] ; [153.88365651 102.11634349],0
a5,1,0.045022,4.01782,[82 26] ; [169  90],[73.86376022 34.13623978] ; [177.13623978  81.86376022],0
s3,1,0.045276,4.00832,[66 41] ; [129 128],[57.32142857 49.67857143] ; [137.67857143 119.32142857],0
b3,1,0.06256,3.468177,[24 37] ; [ 37 104],[18.42079208 42.57920792] ; [42.57920792 98.42079208],0
b2,1,0.06256,3.468177,[24 37] ; [ 37 104],[18.42079208 42.57920792] ; [42.57920792 98.42079208],0
p1,1,0.065885,3.382679,[11 96] ; [ 13 245],[ 7.03561644 99.96438356] ; [ 16.96438356 241.03561644],0
a1,1,0.134664,2.237902,[  7 101] ; [  8 251],[  4.41416894 103.58583106] ; [ 10.58583106 248.41416894],0
s1,1,0.141112,2.165793,[  7 101] ; [  8 248],[  4.45054945 103.54945055] ; [ 10.54945055 245.45054945],0
n1,1,0.17546,1.835662,[13 15] ; [23 49],[10.08 17.92] ; [25.92 46.08],0
v3,1,0.179141,1.804734,[35 70] ; [ 66 185],[29.78932584 75.21067416] ; [ 71.21067416 179.78932584],0
u1,1,0.18139,1.786198,[21 87] ; [ 36 223],[16.77384196 91.22615804] ; [ 40.22615804 218.77384196],0
a6,1,0.184616,1.760071,[69 39] ; [183  75],[74.36065574 33.63934426] ; [177.63934426  80.36065574],0
v2,1,0.23517,1.409318,[49 57] ; [ 97 149],[43.96590909 62.03409091] ; [102.03409091 143.96590909],0
p2,1,0.236461,1.401571,[89 19] ; [199  60],[84.7520436 23.2479564] ; [203.2479564  55.7520436],0
a4,1,0.257634,1.281428,[49 59] ; [101 158],[44.14168937 63.85831063] ; [105.85831063 153.14168937],0
d2,1,0.277315,1.1802,[54 54] ; [113 145],[49.27868852 58.72131148] ; [117.72131148 140.27868852],0
p8,1,0.281872,1.158041,[54 52] ; [115 142],[49.34986226 56.65013774] ; [119.65013774 137.34986226],0
r3,1,0.309755,1.031721,[103   4] ; [254   5],[104.36885246   2.63114754] ; [252.63114754   6.36885246],0
n3,1,0.311833,1.022895,[24  5] ; [52 19],[22.04  6.96] ; [53.96 17.04],0
n5,1,0.323252,0.975743,[75 33] ; [164  92],[70.91208791 37.08791209] ; [168.08791209  87.91208791],0
a2,1,0.393694,0.727501,[26 82] ; [ 52 207],[22.95367847 85.04632153] ; [ 55.04632153 203.95367847],0
a7,1,0.425036,0.636348,[76 32] ; [192  66],[79.08196721 28.91803279] ; [188.91803279  69.08196721],0
a8,1,0.476948,0.505835,[10 87] ; [ 32 212],[11.94721408 85.05278592] ; [ 30.05278592 213.94721408],0
u3,1,0.49077,0.474838,[20 13] ; [45 39],[18.33333333 14.66666667] ; [46.66666667 37.33333333],0
r2,1,0.495138,0.465343,[105   3] ; [246  11],[103.85753425   4.14246575] ; [247.14246575   9.85753425],0
v4,1,0.499103,0.456844,[105   3] ; [247  11],[103.86885246   4.13114754] ; [248.13114754   9.86885246],0
b4,1,0.500536,0.4538,[65 43] ; [146 113],[62.09264305 45.90735695] ; [148.90735695 110.09264305],0
n2,1,0.544598,0.367084,[22  7] ; [51 22],[20.75490196  8.24509804] ; [52.24509804 20.75490196],0
d5,1,0.574791,0.314732,[82 26] ; [202  55],[84.03287671 23.96712329] ; [199.96712329  57.03287671],0
r1,1,0.578605,0.308496,[89 18] ; [209  50],[87.12021858 19.87978142] ; [210.87978142  48.12021858],0
u2,1,0.608623,0.262185,[16 16] ; [47 38],[17.23076923 14.76923077] ; [45.76923077 39.23076923],0
a3,1,0.621255,0.244107,[75 33] ; [173  86],[72.98092643 35.01907357] ; [175.01907357  83.98092643],0
d3,1,0.734386,0.115122,[72 36] ; [176  81],[73.38082192 34.61917808] ; [174.61917808  82.38082192],0
d1,1,0.792368,0.069294,[60 48] ; [140 119],[58.85558583 49.14441417] ; [141.14441417 117.85558583],0
d4,1,0.798309,0.065299,[87 21] ; [204  53],[86.10410959 21.89589041] ; [204.89589041  52.10410959],0
p11,1,0.867785,0.027713,[80 28] ; [194  65],[80.63215259 27.36784741] ; [193.36784741  65.63215259],0
u4,1,0.881515,0.022216,[  1 107] ; [  2 257],[  0.88283379 107.11716621] ; [  2.11716621 256.88283379],0
b1,1,0.897234,0.016681,[43 65] ; [105 154],[43.55313351 64.44686649] ; [104.44686649 154.55313351],0
n4,1,0.943862,0.004959,[77 31] ; [183  75],[76.72131148 31.27868852] ; [183.27868852  74.72131148],0
