Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3e-06,22.083863,[ 9 81] ; [16 17],[18.29268293 71.70731707] ; [ 6.70731707 26.29268293],1
p3,1,2.2e-05,18.01418,[14 76] ; [18 16],[23.22580645 66.77419355] ; [ 8.77419355 25.22580645],1
p6,1,8.1e-05,15.539229,[ 5 84] ; [11 23],[11.57723577 77.42276423] ; [ 4.42276423 29.57723577],1
a8,1,0.005956,7.563523,[ 4 83] ; [ 7 27],[ 7.90909091 79.09090909] ; [ 3.09090909 30.90909091],0
s3,1,0.011821,6.337542,[23 65] ; [17 17],[28.85245902 59.14754098] ; [11.14754098 22.85245902],0
v2,1,0.024127,5.085507,[28 56] ; [18 14],[33.31034483 50.68965517] ; [12.68965517 19.31034483],0
p4,1,0.027104,4.884151,[17 72] ; [13 21],[21.70731707 67.29268293] ; [ 8.29268293 25.70731707],0
a2,1,0.033607,4.514581,[20 70] ; [ 2 32],[15.96774194 74.03225806] ; [ 6.03225806 27.96774194],0
r3,1,0.046994,3.945606,[64 26] ; [30  4],[68.22580645 21.77419355] ; [25.77419355  8.22580645],0
r4,1,0.054743,3.689888,[55 35] ; [27  7],[59.51612903 30.48387097] ; [22.48387097 11.51612903],0
u1,1,0.070974,3.260355,[13 77] ; [ 1 33],[10.16129032 79.83870968] ; [ 3.83870968 30.16129032],0
a4,1,0.077713,3.112091,[39 50] ; [ 9 25],[34.73170732 54.26829268] ; [13.26829268 20.73170732],0
b5,1,0.092215,2.83527,[43 47] ; [22 12],[47.17741935 42.82258065] ; [17.82258065 16.17741935],0
d3,1,0.112105,2.524291,[50 40] ; [13 20],[46.09756098 43.90243902] ; [16.90243902 16.09756098],0
s2,1,0.147165,2.101398,[20 69] ; [12 22],[23.15447154 65.84552846] ; [ 8.84552846 25.15447154],0
b4,1,0.158221,1.991145,[55 35] ; [16 18],[51.53225806 38.46774194] ; [19.46774194 14.53225806],0
s1,1,0.166267,1.916283,[ 6 83] ; [ 5 29],[ 7.95934959 81.04065041] ; [ 3.04065041 30.95934959],0
b2,1,0.17802,1.814079,[21 33] ; [ 5 17],[18.47368421 35.52631579] ; [ 7.52631579 14.47368421],0
b3,1,0.17802,1.814079,[21 33] ; [ 5 17],[18.47368421 35.52631579] ; [ 7.52631579 14.47368421],0
p5,1,0.189043,1.725058,[ 3 87] ; [ 3 30],[ 4.3902439 85.6097561] ; [ 1.6097561 31.3902439],0
n2,1,0.241461,1.372043,[25 19] ; [7 2],[26.56603774 17.43396226] ; [5.43396226 3.56603774],0
p10,1,0.273911,1.197055,[39 48] ; [19 15],[41.70247934 45.29752066] ; [16.29752066 17.70247934],0
p11,1,0.284628,1.144856,[38 52] ; [18 16],[40.64516129 49.35483871] ; [15.35483871 18.64516129],0
b1,1,0.288271,1.12768,[46 44] ; [21 13],[48.62903226 41.37096774] ; [18.37096774 15.62903226],0
d2,1,0.297912,1.083516,[44 44] ; [13 20],[41.45454545 46.54545455] ; [15.54545455 17.45454545],0
d4,1,0.324219,0.971852,[68 22] ; [22 11],[65.85365854 24.14634146] ; [24.14634146  8.85365854],0
s6,1,0.347284,0.883355,[34 56] ; [16 18],[36.29032258 53.70967742] ; [13.70967742 20.29032258],0
v4,1,0.350793,0.870587,[64 26] ; [27  7],[66.0483871 23.9516129] ; [24.9516129  9.0483871],0
n6,1,0.351356,0.868553,[60 30] ; [19 14],[57.80487805 32.19512195] ; [21.19512195 11.80487805],0
a6,1,0.421505,0.646114,[50 40] ; [21 12],[51.95121951 38.04878049] ; [19.04878049 13.95121951],0
d5,1,0.451877,0.565939,[59 31] ; [24  9],[60.73170732 29.26829268] ; [22.26829268 10.73170732],0
p1,1,0.47188,0.517571,[ 9 81] ; [ 2 32],[ 7.98387097 82.01612903] ; [ 3.01612903 30.98387097],0
p9,1,0.486216,0.48489,[39 46] ; [18 16],[40.71428571 44.28571429] ; [16.28571429 17.71428571],0
s7,1,0.496579,0.462239,[21 63] ; [10 22],[22.44827586 61.55172414] ; [ 8.55172414 23.44827586],0
n3,1,0.522817,0.408333,[22 18] ; [6 3],[22.85714286 17.14285714] ; [5.14285714 3.85714286],0
n4,1,0.563242,0.334122,[58 32] ; [20 14],[56.61290323 33.38709677] ; [21.38709677 12.61290323],0
s4,1,0.586485,0.295868,[17 73] ; [ 5 29],[15.96774194 74.03225806] ; [ 6.03225806 27.96774194],0
a3,1,0.68067,0.169373,[54 35] ; [22 12],[54.99186992 34.00813008] ; [21.00813008 12.99186992],0
r2,1,0.713386,0.134918,[73 16] ; [28  5],[73.68032787 15.31967213] ; [27.31967213  5.68032787],0
