Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.1e-05,18.109536,[ 63 114] ; [94 66],[82.45994065 94.54005935] ; [74.54005935 85.45994065],1
s8,1,0.000211,13.728537,[ 44 142] ; [70 96],[ 60.23863636 125.76136364] ; [ 53.76136364 112.23863636],1
v3,1,0.000254,13.381818,[ 44 136] ; [71 94],[ 60. 120.] ; [ 55. 110.],1
s6,1,0.000333,12.874656,[86 99] ; [107  56],[102.60057471  82.39942529] ; [90.39942529 72.60057471],1
p9,1,0.000442,12.345916,[120  60] ; [138  28],[134.21965318  45.78034682] ; [123.78034682  42.21965318],1
s7,1,0.0011,10.650938,[ 51 124] ; [73 84],[ 65.36144578 109.63855422] ; [58.63855422 98.36144578],0
r1,1,0.003456,8.549715,[117  70] ; [127  38],[129.625  57.375] ; [114.375  50.625],0
r2,1,0.003658,8.446252,[152  33] ; [151  12],[161.07758621  23.92241379] ; [141.92241379  21.07758621],0
a2,1,0.004681,7.998618,[  6 181] ; [ 18 149],[ 12.6779661 174.3220339] ; [ 11.3220339 155.6779661],0
p2,1,0.005698,7.643477,[129  56] ; [136  29],[140.07142857  44.92857143] ; [124.92857143  40.07142857],0
p10,1,0.006123,7.513834,[116  64] ; [127  36],[127.52186589  52.47813411] ; [115.47813411  47.52186589],0
b5,1,0.006275,7.469459,[94 93] ; [108  59],[106.70621469  80.29378531] ; [95.29378531 71.70621469],0
u3,1,0.010226,6.595058,[34 56] ; [36 25],[41.7218543 48.2781457] ; [28.2781457 32.7218543],0
a3,1,0.013722,6.073545,[94 91] ; [106  60],[105.41310541  79.58689459] ; [94.58689459 71.41310541],0
p6,1,0.013838,6.058708,[ 45 139] ; [ 59 102],[ 55.46666667 128.53333333] ; [ 48.53333333 112.46666667],0
s2,1,0.016283,5.772102,[ 58 129] ; [72 94],[ 68.86685552 118.13314448] ; [ 61.13314448 104.86685552],0
n5,1,0.023055,5.164347,[116  68] ; [122  42],[125.83908046  58.16091954] ; [112.16091954  51.83908046],0
n4,1,0.033491,4.520514,[121  66] ; [124  41],[130.15625  56.84375] ; [114.84375  50.15625],0
b2,1,0.041424,4.158568,[29 66] ; [48 60],[36.03448276 58.96551724] ; [40.96551724 67.03448276],0
b3,1,0.041424,4.158568,[29 66] ; [48 60],[36.03448276 58.96551724] ; [40.96551724 67.03448276],0
p11,1,0.041475,4.156521,[125  62] ; [128  39],[133.64689266  53.35310734] ; [119.35310734  47.64689266],0
r4,1,0.046297,3.970772,[142  45] ; [141  26],[149.49435028  37.50564972] ; [133.50564972  33.49435028],0
u1,1,0.04948,3.858982,[  3 184] ; [  9 158],[  6.33898305 180.66101695] ; [  5.66101695 161.33898305],0
v4,1,0.050985,3.808756,[158  27] ; [151  13],[163.7965616  21.2034384] ; [145.2034384  18.7965616],0
p4,1,0.058104,3.590697,[ 80 104] ; [89 77],[88.84571429 95.15428571] ; [80.15428571 85.84571429],0
a5,1,0.09129,2.851486,[97 89] ; [102  65],[104.85552408  81.14447592] ; [94.14447592 72.85552408],0
p7,1,0.101307,2.684844,[97 84] ; [101  61],[104.48396501  76.51603499] ; [93.51603499 68.48396501],0
a4,1,0.102197,2.670921,[ 39 147] ; [ 47 118],[ 45.57264957 140.42735043] ; [ 40.42735043 124.57264957],0
p1,1,0.108909,2.569984,[ 12 171] ; [ 19 147],[ 16.25501433 166.74498567] ; [ 14.74498567 151.25501433],0
r3,1,0.118047,2.443042,[159  27] ; [150  15],[163.74358974  22.25641026] ; [145.25641026  19.74358974],0
p3,1,0.123585,2.371292,[ 69 117] ; [75 91],[ 76.09090909 109.90909091] ; [67.90909091 98.09090909],0
p12,1,0.146502,2.108297,[  7 178] ; [ 12 152],[ 10.07163324 174.92836676] ; [  8.92836676 155.07163324],0
b1,1,0.149171,2.08071,[ 87 100] ; [ 65 102],[ 80.29378531 106.70621469] ; [71.70621469 95.29378531],0
u2,1,0.169766,1.885011,[42 49] ; [34 25],[46.10666667 44.89333333] ; [29.89333333 29.10666667],0
n6,1,0.187505,1.737114,[135  51] ; [129  35],[140.29714286  45.70285714] ; [123.70285714  40.29714286],0
n3,1,0.18945,1.721892,[40 20] ; [27  7],[42.76595745 17.23404255] ; [24.23404255  9.76595745],0
s3,1,0.190755,1.711774,[ 78 106] ; [81 83],[84.06896552 99.93103448] ; [74.93103448 89.06896552],0
s5,1,0.194871,1.680401,[ 38 145] ; [ 43 118],[ 43.09011628 139.90988372] ; [ 37.90988372 123.09011628],0
d4,1,0.198453,1.653721,[101  85] ; [102  65],[106.9631728  79.0368272] ; [96.0368272 70.9631728],0
n1,1,0.207425,1.589308,[22 38] ; [17 17],[24.89361702 35.10638298] ; [14.10638298 19.89361702],0
p5,1,0.232454,1.42578,[ 17 166] ; [ 22 143],[ 20.50862069 162.49137931] ; [ 18.49137931 146.50862069],0
d3,1,0.239009,1.386428,[ 63 122] ; [ 67 100],[ 68.32386364 116.67613636] ; [ 61.67613636 105.32386364],0
d2,1,0.358994,0.84141,[ 31 155] ; [ 22 145],[ 27.92634561 158.07365439] ; [ 25.07365439 141.92634561],0
n2,1,0.367261,0.81291,[44 18] ; [27  7],[45.85416667 16.14583333] ; [25.14583333  8.85416667],0
p8,1,0.382422,0.762902,[ 79 104] ; [78 85],[83.03757225 99.96242775] ; [73.96242775 89.03757225],0
a7,1,0.3881,0.744888,[110  76] ; [105  60],[113.93162393  72.06837607] ; [101.06837607  63.93162393],0
b4,1,0.39089,0.73617,[99 88] ; [96 71],[103.00847458  83.99152542] ; [91.99152542 75.00847458],0
s1,1,0.432707,0.615547,[  8 179] ; [ 10 153],[  9.61714286 177.38285714] ; [  8.38285714 154.61714286],0
a8,1,0.452625,0.56407,[ 25 151] ; [ 27 130],[ 27.48348348 148.51651652] ; [ 24.51651652 132.48348348],0
d5,1,0.464368,0.535346,[98 89] ; [94 73],[101.42372881  85.57627119] ; [90.57627119 76.42372881],0
a1,1,0.624299,0.239872,[  9 178] ; [ 10 157],[ 10.03672316 176.96327684] ; [  8.96327684 158.03672316],0
a6,1,0.756965,0.095771,[105  81] ; [97 70],[106.43626062  79.56373938] ; [95.56373938 71.43626062],0
