Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,44.275502,[81  1] ; [26 24],[66.46969697 15.53030303] ; [40.53030303  9.46969697],1
d2,1,0.0,38.903506,[59 23] ; [ 8 42],[41.62121212 40.37878788] ; [25.37878788 24.62121212],1
d5,1,0.0,36.065691,[80  2] ; [28 22],[67.09090909 14.90909091] ; [40.90909091  9.09090909],1
d3,1,0.0,33.488293,[74  8] ; [22 28],[59.63636364 22.36363636] ; [36.36363636 13.63636364],1
a5,1,0.0,27.0602,[71 11] ; [22 28],[57.77272727 24.22727273] ; [35.22727273 14.77272727],1
a3,1,2.6e-05,17.665856,[69 13] ; [25 25],[58.39393939 23.60606061] ; [35.60606061 14.39393939],1
p6,1,4.9e-05,16.480747,[46 35] ; [10 39],[34.89230769 46.10769231] ; [21.10769231 27.89230769],1
u1,1,6.5e-05,15.936632,[25 57] ; [ 1 49],[16.15151515 65.84848485] ; [ 9.84848485 40.15151515],1
a2,1,9.9e-05,15.160874,[27 55] ; [ 2 48],[18.01515152 63.98484848] ; [10.98484848 39.01515152],1
p4,1,0.000106,15.031916,[62 20] ; [21 29],[51.56060606 30.43939394] ; [31.43939394 18.56060606],1
a4,1,0.000456,12.286732,[47 35] ; [13 37],[37.27272727 44.72727273] ; [22.72727273 27.27272727],1
p10,1,0.001045,10.74588,[74  8] ; [33 16],[66.97709924 15.02290076] ; [40.02290076  8.97709924],0
s8,1,0.00137,10.245616,[53 29] ; [18 32],[44.10606061 37.89393939] ; [26.89393939 23.10606061],0
r4,1,0.002641,9.04039,[78  4] ; [39 11],[72.68181818  9.31818182] ; [44.31818182  5.68181818],0
r2,1,0.002834,8.911298,[81  1] ; [43  7],[77.03030303  4.96969697] ; [46.96969697  3.03030303],0
p3,1,0.006895,7.300014,[51 31] ; [19 31],[43.48484848 38.51515152] ; [26.51515152 23.48484848],0
a6,1,0.016778,5.719443,[58 24] ; [25 25],[51.56060606 30.43939394] ; [31.43939394 18.56060606],0
p2,1,0.029752,4.723575,[69 13] ; [34 16],[63.98484848 18.01515152] ; [39.01515152 10.98484848],0
b2,1,0.029774,4.722285,[15 31] ; [ 2 21],[11.33333333 34.66666667] ; [ 5.66666667 17.33333333],0
b3,1,0.029774,4.722285,[15 31] ; [ 2 21],[11.33333333 34.66666667] ; [ 5.66666667 17.33333333],0
p5,1,0.039801,4.226341,[10 72] ; [ 1 49],[ 6.83333333 75.16666667] ; [ 4.16666667 45.83333333],0
p9,1,0.068594,3.316357,[73  9] ; [37 11],[69.38461538 12.61538462] ; [40.61538462  7.38461538],0
s7,1,0.069067,3.305054,[56 23] ; [27 22],[51.2265625 27.7734375] ; [31.7734375 17.2265625],0
r1,1,0.081856,3.027656,[68 14] ; [35 15],[63.98484848 18.01515152] ; [39.01515152 10.98484848],0
v3,1,0.089443,2.884366,[28 52] ; [10 38],[23.75 56.25] ; [14.25 33.75],0
p8,1,0.090566,2.864284,[46 33] ; [21 28],[41.3515625 37.6484375] ; [25.6484375 23.3515625],0
n4,1,0.115788,2.473391,[57 25] ; [28 22],[52.8030303 29.1969697] ; [32.1969697 17.8030303],0
s2,1,0.129618,2.297076,[66 16] ; [33 15],[62.44615385 19.55384615] ; [36.55384615 11.44615385],0
v1,1,0.13978,2.180375,[41 41] ; [18 31],[36.93129771 45.06870229] ; [22.06870229 26.93129771],0
v2,1,0.177677,1.816951,[41 38] ; [19 29],[37.32283465 41.67716535] ; [22.67716535 25.32283465],0
s5,1,0.203737,1.615385,[48 30] ; [24 24],[44.57142857 33.42857143] ; [27.42857143 20.57142857],0
p7,1,0.206322,1.597047,[57 23] ; [29 19],[53.75 26.25] ; [32.25 15.75],0
b5,1,0.257593,1.281649,[54 28] ; [28 22],[50.93939394 31.06060606] ; [31.06060606 18.93939394],0
r3,1,0.274966,1.191806,[78  3] ; [45  4],[76.63846154  4.36153846] ; [46.36153846  2.63846154],0
n5,1,0.275519,1.189063,[55 27] ; [38 12],[57.77272727 24.22727273] ; [35.22727273 14.77272727],0
u3,1,0.296852,1.088284,[10  3] ; [15 10],[8.55263158 4.44736842] ; [16.44736842  8.55263158],0
n2,1,0.301323,1.068329,[17  6] ; [14  2],[18.28205128  4.71794872] ; [12.71794872  3.28205128],0
a7,1,0.420539,0.648808,[58 24] ; [32 18],[55.90909091 26.09090909] ; [34.09090909 15.90909091],0
n6,1,0.445691,0.581587,[71 11] ; [40  9],[69.48091603 12.51908397] ; [41.51908397  7.48091603],0
p1,1,0.447668,0.57655,[10 72] ; [ 4 46],[ 8.6969697 73.3030303] ; [ 5.3030303 44.6969697],0
n3,1,0.503445,0.447667,[18  5] ; [11  5],[17.1025641  5.8974359] ; [11.8974359  4.1025641],0
v4,1,0.531002,0.392474,[79  3] ; [47  3],[78.27272727  3.72727273] ; [47.72727273  2.27272727],0
u2,1,0.564143,0.332581,[7 6] ; [11 14],[6.15789474 6.84210526] ; [11.84210526 13.15789474],0
a1,1,0.589733,0.290762,[ 3 79] ; [ 1 49],[ 2.48484848 79.51515152] ; [ 1.51515152 48.48484848],0
a8,1,0.630898,0.230846,[ 3 74] ; [ 1 43],[ 2.54545455 74.45454545] ; [ 1.45454545 42.54545455],0
