Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000235,13.531344,[2 1] ; [ 3 52],[0.25862069 2.74137931] ; [ 4.74137931 50.25862069],1
p8,1,0.030446,4.683922,[2 1] ; [ 9 46],[0.56896552 2.43103448] ; [10.43103448 44.56896552],0
s7,1,0.053075,3.741552,[2 1] ; [10 42],[0.65454545 2.34545455] ; [11.34545455 40.65454545],0
p11,1,0.11989,2.418759,[2 1] ; [14 41],[0.82758621 2.17241379] ; [15.17241379 39.82758621],0
s3,1,0.126383,2.336382,[2 1] ; [14 40],[0.84210526 2.15789474] ; [15.15789474 38.84210526],0
r1,1,0.126383,2.336382,[2 1] ; [14 40],[0.84210526 2.15789474] ; [15.15789474 38.84210526],0
p9,1,0.176949,1.823062,[2 1] ; [15 36],[0.94444444 2.05555556] ; [16.05555556 34.94444444],0
p10,1,0.208281,1.583333,[2 1] ; [17 37],[1. 2.] ; [18. 36.],0
p7,1,0.234646,1.412474,[1 1] ; [ 9 44],[0.36363636 1.63636364] ; [ 9.63636364 43.36363636],0
a4,1,0.30486,1.052814,[2 1] ; [20 34],[1.15789474 1.84210526] ; [20.84210526 33.15789474],0
n1,1,0.310611,1.028077,[2 1] ; [11 19],[1.18181818 1.81818182] ; [11.81818182 18.18181818],0
s1,1,0.322825,0.977466,[1 2] ; [ 7 47],[0.42105263 2.57894737] ; [ 7.57894737 46.42105263],0
v4,1,0.339816,0.911125,[2 1] ; [21 33],[1.21052632 1.78947368] ; [21.78947368 32.21052632],0
a2,1,0.381457,0.766,[1 2] ; [ 8 47],[0.46551724 2.53448276] ; [ 8.53448276 46.46551724],0
p3,1,0.391905,0.733025,[1 2] ; [ 8 46],[0.47368421 2.52631579] ; [ 8.52631579 45.47368421],0
p4,1,0.391905,0.733025,[1 2] ; [ 8 46],[0.47368421 2.52631579] ; [ 8.52631579 45.47368421],0
b5,1,0.473213,0.514464,[2 1] ; [25 30],[1.39655172 1.60344828] ; [25.60344828 29.39655172],0
b1,1,0.512719,0.428514,[1 2] ; [29 26],[1.55172414 1.44827586] ; [28.44827586 26.55172414],0
s6,1,0.514479,0.424946,[1 2] ; [10 45],[0.56896552 2.43103448] ; [10.43103448 44.56896552],0
n2,1,0.658332,0.195556,[2 1] ; [16 14],[1.63636364 1.36363636] ; [16.36363636 13.63636364],0
v1,1,0.776725,0.080423,[1 2] ; [14 40],[0.78947368 2.21052632] ; [14.21052632 39.78947368],0
n6,1,0.835331,0.04321,[1 1] ; [23 31],[0.85714286 1.14285714] ; [23.14285714 30.85714286],0
n3,1,0.875566,0.024521,[1 2] ; [11 18],[1.125 1.875] ; [10.875 18.125],0
a3,1,0.947843,0.004279,[2 1] ; [35 19],[1.94736842 1.05263158] ; [35.05263158 18.94736842],0
