Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.001742,9.802844,[ 5 12] ; [46 19],[10.57317073  6.42682927] ; [40.42682927 24.57317073],0
r1,1,0.010286,6.584619,[8 9] ; [51 14],[12.23170732  4.76829268] ; [46.76829268 18.23170732],0
a4,1,0.012766,6.20122,[12  5] ; [24 41],[7.46341463 9.53658537] ; [28.53658537 36.46341463],0
p11,1,0.048121,3.905754,[10  7] ; [53 12],[13.06097561  3.93902439] ; [49.93902439 15.06097561],0
p10,1,0.050035,3.840285,[9 8] ; [50 15],[12.23170732  4.76829268] ; [46.76829268 18.23170732],0
s4,1,0.062905,3.459094,[ 4 13] ; [ 5 60],[ 1.86585366 15.13414634] ; [ 7.13414634 57.86585366],0
d4,1,0.074824,3.173891,[15  2] ; [43 22],[12.02439024  4.97560976] ; [45.97560976 19.02439024],0
d1,1,0.115894,2.471948,[12  5] ; [32 33],[9.12195122 7.87804878] ; [34.87804878 30.12195122],0
p4,1,0.126569,2.334091,[9 8] ; [47 18],[11.6097561  5.3902439] ; [44.3902439 20.6097561],0
p3,1,0.130734,2.283761,[ 7 10] ; [40 25],[9.74390244 7.25609756] ; [37.25609756 27.74390244],0
p2,1,0.13873,2.191994,[15  2] ; [63  2],[16.17073171  0.82926829] ; [61.82926829  3.17073171],0
n3,1,0.150164,2.070588,[3 2] ; [15  2],[4.09090909 0.90909091] ; [13.90909091  3.09090909],0
s2,1,0.239648,1.382665,[ 6 11] ; [14 51],[ 4.14634146 12.85365854] ; [15.85365854 49.14634146],0
v1,1,0.246376,1.343736,[ 7 10] ; [37 28],[9.12195122 7.87804878] ; [34.87804878 30.12195122],0
s8,1,0.282268,1.156137,[ 7 10] ; [18 47],[ 5.18292683 11.81707317] ; [19.81707317 45.18292683],0
b1,1,0.306339,1.046395,[ 5 12] ; [28 37],[ 6.84146341 10.15853659] ; [26.15853659 38.84146341],0
d3,1,0.315254,1.008534,[13  4] ; [40 23],[11.2625  5.7375] ; [41.7375 21.2625],0
