Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00013,14.642092,[19  8] ; [45 98],[10.16470588 16.83529412] ; [53.83529412 89.16470588],1
s2,1,0.002867,8.890274,[12 15] ; [ 26 116],[ 6.07100592 20.92899408] ; [ 31.92899408 110.07100592],0
s4,1,0.008539,6.916831,[ 8 19] ; [ 15 126],[ 3.69642857 23.30357143] ; [ 19.30357143 121.69642857],0
s7,1,0.024836,5.035274,[ 9 17] ; [ 21 112],[ 4.90566038 21.09433962] ; [ 25.09433962 107.90566038],0
s3,1,0.048925,3.877933,[14 12] ; [47 93],[ 9.55421687 16.44578313] ; [51.44578313 88.55421687],0
d4,1,0.059046,3.563978,[22  4] ; [93 48],[17.90419162  8.09580838] ; [97.09580838 43.90419162],0
p1,1,0.075915,3.150263,[ 4 22] ; [  8 134],[ 1.85714286 24.14285714] ; [ 10.14285714 131.85714286],0
p4,1,0.128861,2.306177,[12 15] ; [ 42 100],[ 8.62721893 18.37278107] ; [45.37278107 96.62721893],0
d2,1,0.153858,2.033578,[15 11] ; [60 81],[11.67664671 14.32335329] ; [63.32335329 77.67664671],0
b4,1,0.163298,1.943417,[19  8] ; [80 63],[15.72352941 11.27647059] ; [83.27647059 59.72352941],0
p11,1,0.191861,1.703267,[15 12] ; [60 83],[11.91176471 15.08823529] ; [63.08823529 79.91176471],0
b3,1,0.192654,1.697202,[ 4 17] ; [28 55],[ 6.46153846 14.53846154] ; [25.53846154 57.46153846],0
b2,1,0.192654,1.697202,[ 4 17] ; [28 55],[ 6.46153846 14.53846154] ; [25.53846154 57.46153846],0
n2,1,0.198784,1.651282,[8 2] ; [37 26],[6.16438356 3.83561644] ; [38.83561644 24.16438356],0
a6,1,0.202223,1.626244,[12 15] ; [82 60],[15.01775148 11.98224852] ; [78.98224852 63.01775148],0
r2,1,0.217677,1.519621,[24  3] ; [110  30],[21.66467066  5.33532934] ; [112.33532934  27.66467066],0
d5,1,0.28529,1.141715,[20  7] ; [90 52],[17.5739645  9.4260355] ; [92.4260355 49.5739645],0
p3,1,0.304499,1.054388,[ 9 18] ; [ 34 108],[ 6.86982249 20.13017751] ; [ 36.13017751 105.86982249],0
n6,1,0.337699,0.919149,[18  9] ; [80 61],[15.75 11.25] ; [82.25 58.75],0
p6,1,0.341638,0.904275,[ 3 24] ; [ 26 113],[ 4.71686747 22.28313253] ; [ 24.28313253 114.71686747],0
