Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,56.761064,[81 16] ; [ 3 28],[63.65625 33.34375] ; [20.34375 10.65625],1
r2,1,1e-06,23.997306,[88  9] ; [14 14],[79.152 17.848] ; [22.848  5.152],1
r3,1,2e-06,22.478395,[84 13] ; [14 17],[74.265625 22.734375] ; [23.734375  7.265625],1
p9,1,5.6e-05,16.23115,[59 34] ; [ 6 23],[49.54918033 43.45081967] ; [15.45081967 13.54918033],1
p10,1,8.8e-05,15.378964,[58 37] ; [ 6 24],[48.64 46.36] ; [15.36 14.64],1
s6,1,0.000127,14.686035,[49 45] ; [ 4 27],[39.856 54.144] ; [13.144 17.856],1
r1,1,0.000627,11.69424,[65 32] ; [10 21],[56.8359375 40.1640625] ; [18.1640625 12.8359375],1
s2,1,0.000779,11.291381,[41 55] ; [ 3 28],[33.25984252 62.74015748] ; [10.74015748 20.25984252],1
s8,1,0.00089,11.044474,[32 64] ; [ 1 30],[24.94488189 71.05511811] ; [ 8.05511811 22.94488189],1
n6,1,0.001286,10.36182,[70 27] ; [12 18],[62.62992126 34.37007874] ; [19.37007874 10.62992126],0
u3,1,0.00202,9.531388,[24 16] ; [ 2 13],[18.90909091 21.09090909] ; [7.09090909 7.90909091],0
v1,1,0.003374,8.593365,[37 59] ; [ 3 27],[30.47619048 65.52380952] ; [ 9.52380952 20.47619048],0
n3,1,0.004482,8.077383,[28  9] ; [ 7 12],[23.125 13.875] ; [11.875  7.125],0
n2,1,0.008837,6.855444,[30  8] ; [ 9 11],[25.55172414 12.44827586] ; [13.44827586  6.55172414],0
p11,1,0.013489,6.103774,[56 41] ; [10 21],[50.015625 46.984375] ; [15.984375 15.015625],0
p6,1,0.018586,5.540039,[21 74] ; [ 1 29],[16.72 78.28] ; [ 5.28 24.72],0
p3,1,0.022166,5.232729,[33 63] ; [ 4 27],[27.96850394 68.03149606] ; [ 9.03149606 21.96850394],0
p4,1,0.022166,5.232729,[33 63] ; [ 4 27],[27.96850394 68.03149606] ; [ 9.03149606 21.96850394],0
v2,1,0.047046,3.943754,[41 53] ; [ 7 23],[36.38709677 57.61290323] ; [11.61290323 18.38709677],0
s1,1,0.04967,3.85258,[ 5 91] ; [ 5 26],[ 7.55905512 88.44094488] ; [ 2.44094488 28.55905512],0
b5,1,0.050118,3.83751,[63 34] ; [14 17],[58.3515625 38.6484375] ; [18.6484375 12.3515625],0
p7,1,0.052824,3.749482,[36 58] ; [ 6 25],[31.584 62.416] ; [10.416 20.584],0
u2,1,0.05439,3.700699,[19 20] ; [ 3 12],[15.88888889 23.11111111] ; [6.11111111 8.88888889],0
p8,1,0.055333,3.672014,[26 71] ; [ 3 27],[22.1496063 74.8503937] ; [ 6.8503937 23.1496063],0
d3,1,0.06333,3.447955,[53 44] ; [11 20],[48.5 48.5] ; [15.5 15.5],0
d2,1,0.078654,3.092495,[40 56] ; [18 12],[44.19047619 51.80952381] ; [13.80952381 16.19047619],0
s3,1,0.103042,2.657812,[45 51] ; [ 9 21],[41.14285714 54.85714286] ; [12.85714286 17.14285714],0
a2,1,0.106117,2.611112,[18 79] ; [ 2 29],[15.15625 81.84375] ; [ 4.84375 26.15625],0
d5,1,0.117251,2.453661,[68 29] ; [17 14],[64.4140625 32.5859375] ; [20.5859375 10.4140625],0
n4,1,0.131123,2.279162,[54 43] ; [22  9],[57.59375 39.40625] ; [18.40625 12.59375],0
s7,1,0.140427,2.173272,[28 64] ; [ 5 25],[24.8852459 67.1147541] ; [ 8.1147541 21.8852459],0
a6,1,0.151533,2.056754,[55 42] ; [13 18],[51.53125 45.46875] ; [16.46875 14.53125],0
a7,1,0.152817,2.043908,[58 39] ; [14 17],[54.5625 42.4375] ; [17.4375 13.5625],0
s5,1,0.169054,1.891314,[22 67] ; [ 4 27],[19.28333333 69.71666667] ; [ 6.71666667 24.28333333],0
a5,1,0.185061,1.756505,[60 37] ; [15 16],[56.8359375 40.1640625] ; [18.1640625 12.8359375],0
s4,1,0.190882,1.710798,[23 73] ; [ 4 27],[20.40944882 75.59055118] ; [ 6.59055118 24.40944882],0
a4,1,0.191757,1.704065,[45 51] ; [10 20],[41.9047619 54.0952381] ; [13.0952381 16.9047619],0
p1,1,0.225036,1.471964,[ 6 91] ; [ 4 27],[ 7.578125 89.421875] ; [ 2.421875 28.578125],0
a1,1,0.225036,1.471964,[ 6 91] ; [ 4 27],[ 7.578125 89.421875] ; [ 2.421875 28.578125],0
a8,1,0.228208,1.451995,[ 8 86] ; [ 5 26],[ 9.776 84.224] ; [ 3.224 27.776],0
d4,1,0.242782,1.364365,[73 24] ; [20 11],[70.4765625 26.5234375] ; [22.5234375  8.4765625],0
b1,1,0.357691,0.845983,[53 44] ; [14 17],[50.7734375 46.2265625] ; [16.2265625 14.7734375],0
u1,1,0.357956,0.845052,[12 85] ; [ 2 29],[10.609375 86.390625] ; [ 3.390625 27.609375],0
a3,1,0.558472,0.342356,[57 39] ; [16 14],[55.61904762 40.38095238] ; [17.38095238 12.61904762],0
n5,1,0.683522,0.166188,[58 38] ; [20 11],[58.96062992 37.03937008] ; [19.03937008 11.96062992],0
u4,1,0.709224,0.139053,[ 2 95] ; [ 1 30],[ 2.2734375 94.7265625] ; [ 0.7265625 30.2734375],0
b2,1,0.716716,0.131661,[20 40] ; [ 9 15],[20.71428571 39.28571429] ; [ 8.28571429 15.71428571],0
b3,1,0.716716,0.131661,[20 40] ; [ 9 15],[20.71428571 39.28571429] ; [ 8.28571429 15.71428571],0
b4,1,0.738343,0.111588,[53 44] ; [18 13],[53.8046875 43.1953125] ; [17.1953125 13.8046875],0
d1,1,0.749347,0.10208,[47 50] ; [14 17],[46.2265625 50.7734375] ; [14.7734375 16.2265625],0
n1,1,0.769866,0.085586,[17 20] ; [10 10],[17.52631579 19.47368421] ; [ 9.47368421 10.52631579],0
p5,1,0.962037,0.002265,[ 3 92] ; [ 1 29],[ 3.04 91.96] ; [ 0.96 29.04],0
p12,1,0.97771,0.000781,[ 3 93] ; [ 1 30],[ 3.02362205 92.97637795] ; [ 0.97637795 30.02362205],0
