Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.1e-05,19.382829,[22  7] ; [ 3 19],[14.21568627 14.78431373] ; [10.78431373 11.21568627],1
d3,1,0.005128,7.833856,[24  5] ; [10 12],[19.33333333  9.66666667] ; [14.66666667  7.33333333],0
p8,1,0.007253,7.209195,[17 12] ; [ 4 16],[12.42857143 16.57142857] ; [ 8.57142857 11.42857143],0
p6,1,0.007382,7.177496,[18 11] ; [ 5 16],[13.34 15.66] ; [ 9.66 11.34],0
u3,1,0.016553,5.743182,[9 2] ; [3 7],[6.28571429 4.71428571] ; [5.71428571 4.28571429],0
p5,1,0.02189,5.254516,[ 9 20] ; [ 1 20],[ 5.8 23.2] ; [ 4.2 16.8],0
d2,1,0.050817,3.814299,[ 8 21] ; [12 10],[11.37254902 17.62745098] ; [ 8.62745098 13.37254902],0
s4,1,0.055607,3.663793,[ 7 22] ; [11 11],[10.23529412 18.76470588] ; [ 7.76470588 14.23529412],0
v1,1,0.062465,3.470693,[18 11] ; [ 7 13],[14.79591837 14.20408163] ; [10.20408163  9.79591837],0
p7,1,0.077558,3.115337,[19 10] ; [ 8 12],[15.97959184 13.02040816] ; [11.02040816  8.97959184],0
a1,1,0.097046,2.753425,[ 6 23] ; [ 1 21],[ 3.98039216 25.01960784] ; [ 3.01960784 18.98039216],0
v2,1,0.108644,2.573833,[16 13] ; [ 6 13],[13.29166667 15.70833333] ; [ 8.70833333 10.29166667],0
u2,1,0.130134,2.290909,[8 3] ; [4 6],[6.28571429 4.71428571] ; [5.71428571 4.28571429],0
b1,1,0.155151,2.02086,[15 14] ; [ 7 15],[12.50980392 16.49019608] ; [ 9.49019608 12.50980392],0
b4,1,0.1627,1.948948,[22  7] ; [20  2],[23.88235294  5.11764706] ; [18.11764706  3.88235294],0
a5,1,0.186011,1.748931,[21  8] ; [12 10],[18.76470588 10.23529412] ; [14.23529412  7.76470588],0
p2,1,0.188516,1.729179,[24  5] ; [14  7],[22.04  6.96] ; [15.96  5.04],0
a6,1,0.210158,1.570338,[17 12] ; [ 9 13],[14.78431373 14.21568627] ; [11.21568627 10.78431373],0
d1,1,0.210158,1.570338,[17 12] ; [ 9 13],[14.78431373 14.21568627] ; [11.21568627 10.78431373],0
r4,1,0.214143,1.543191,[23  6] ; [14  8],[21.03921569  7.96078431] ; [15.96078431  6.03921569],0
d5,1,0.224197,1.477303,[24  5] ; [15  7],[22.17647059  6.82352941] ; [16.82352941  5.17647059],0
d4,1,0.228487,1.450258,[26  3] ; [17  5],[24.45098039  4.54901961] ; [18.54901961  3.45098039],0
n6,1,0.229817,1.441991,[25  4] ; [16  6],[23.31372549  5.68627451] ; [17.68627451  4.31372549],0
r2,1,0.287802,1.129877,[23  6] ; [19  2],[24.36  4.64] ; [17.64  3.36],0
b3,1,0.292953,1.106,[8 9] ; [ 4 10],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
b2,1,0.292953,1.106,[8 9] ; [ 4 10],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
p10,1,0.339807,0.911158,[24  5] ; [15  6],[22.62  6.38] ; [16.38  4.62],0
b5,1,0.350837,0.870428,[12 17] ; [12 10],[13.64705882 15.35294118] ; [10.35294118 11.64705882],0
n4,1,0.388744,0.742866,[18 11] ; [11 11],[16.49019608 12.50980392] ; [12.50980392  9.49019608],0
s7,1,0.422018,0.644689,[16 10] ; [11 11],[14.625 11.375] ; [12.375  9.625],0
a7,1,0.42671,0.631763,[19 10] ; [12 10],[17.62745098 11.37254902] ; [13.37254902  8.62745098],0
s1,1,0.445492,0.582097,[ 3 26] ; [ 1 21],[ 2.2745098 26.7254902] ; [ 1.7254902 20.2745098],0
s3,1,0.484275,0.489222,[17 12] ; [15  7],[18.19607843 10.80392157] ; [13.80392157  8.19607843],0
p11,1,0.503454,0.447649,[21  8] ; [14  8],[19.90196078  9.09803922] ; [15.09803922  6.90196078],0
v3,1,0.561824,0.336556,[ 8 20] ; [ 4 15],[ 7.14893617 20.85106383] ; [ 4.85106383 14.14893617],0
n2,1,0.580543,0.305357,[9 3] ; [6 1],[9.47368421 2.52631579] ; [5.52631579 1.47368421],0
n5,1,0.588724,0.292342,[18 11] ; [12 10],[17.05882353 11.94117647] ; [12.94117647  9.05882353],0
p1,1,0.616924,0.250215,[ 4 25] ; [ 4 17],[ 4.64 24.36] ; [ 3.36 17.64],0
p9,1,0.616924,0.250215,[25  4] ; [17  4],[24.36  4.64] ; [17.64  3.36],0
a4,1,0.638271,0.221011,[10 19] ; [ 9 13],[10.80392157 18.19607843] ; [ 8.19607843 13.80392157],0
s6,1,0.669123,0.18263,[23  5] ; [17  5],[22.4  5.6] ; [17.6  4.4],0
r3,1,0.669504,0.182183,[25  4] ; [18  4],[24.45098039  4.54901961] ; [18.54901961  3.45098039],0
s2,1,0.693329,0.155506,[21  8] ; [17  5],[21.60784314  7.39215686] ; [16.39215686  5.60784314],0
s8,1,0.716341,0.132025,[12 17] ; [ 8 14],[11.37254902 17.62745098] ; [ 8.62745098 13.37254902],0
p12,1,0.723777,0.124902,[ 2 27] ; [ 1 21],[ 1.70588235 27.29411765] ; [ 1.29411765 20.70588235],0
a3,1,0.72564,0.123153,[18 11] ; [12  9],[17.4 11.6] ; [12.6  8.4],0
v4,1,0.73538,0.114229,[27  2] ; [19  2],[26.68  2.32] ; [19.32  1.68],0
n3,1,0.763573,0.090476,[6 6] ; [3 4],[5.68421053 6.31578947] ; [3.31578947 3.68421053],0
u1,1,0.772823,0.083339,[ 2 27] ; [ 2 20],[ 2.2745098 26.7254902] ; [ 1.7254902 20.2745098],0
a2,1,0.772823,0.083339,[ 2 27] ; [ 2 20],[ 2.2745098 26.7254902] ; [ 1.7254902 20.2745098],0
a8,1,0.785493,0.074075,[ 2 27] ; [ 1 19],[ 1.7755102 27.2244898] ; [ 1.2244898 18.7755102],0
n1,1,0.959566,0.00257,[5 7] ; [3 4],[5.05263158 6.94736842] ; [2.94736842 4.05263158],0
