Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,51.477546,[227  61] ; [44 63],[197.58987342  90.41012658] ; [73.41012658 33.58987342],1
d3,1,0.0,43.576316,[217  70] ; [43 64],[189.39086294  97.60913706] ; [70.60913706 36.39086294],1
a2,1,7.3e-05,15.740099,[ 74 214] ; [ 8 99],[ 59.78734177 228.21265823] ; [22.21265823 84.78734177],1
u1,1,0.000486,12.167704,[ 54 234] ; [  5 102],[ 43.01772152 244.98227848] ; [15.98227848 91.01772152],1
s1,1,0.000583,11.82889,[  2 283] ; [  7 100],[  6.54336735 278.45663265] ; [  2.45663265 104.54336735],1
b5,1,0.001606,9.952868,[195  93] ; [54 53],[181.54936709 106.45063291] ; [67.45063291 39.54936709],0
b1,1,0.001781,9.76295,[ 91 197] ; [52 55],[104.26329114 183.73670886] ; [38.73670886 68.26329114],0
d5,1,0.00375,8.400882,[242  46] ; [76 31],[231.85822785  56.14177215] ; [86.14177215 20.85822785],0
r4,1,0.010498,6.548306,[265  23] ; [89 18],[258.10632911  29.89367089] ; [95.89367089 11.10632911],0
r1,1,0.011826,6.336723,[228  59] ; [72 35],[218.52791878  68.47208122] ; [81.47208122 25.52791878],0
p2,1,0.014375,5.991525,[235  52] ; [74 31],[226.23214286  60.76785714] ; [82.76785714 22.23214286],0
p10,1,0.022404,5.214108,[223  60] ; [71 34],[214.43814433  68.56185567] ; [79.56185567 25.43814433],0
d4,1,0.025189,5.010815,[239  49] ; [78 29],[231.12911392  56.87088608] ; [85.87088608 21.12911392],0
r2,1,0.048611,3.888733,[266  20] ; [91 14],[261.13043478  24.86956522] ; [95.86956522  9.13043478],0
d1,1,0.055683,3.66152,[163 125] ; [49 58],[154.5721519 133.4278481] ; [57.4278481 49.5721519],0
p8,1,0.08622,2.943569,[148 133] ; [45 60],[140.5 140.5] ; [52.5 52.5],0
p4,1,0.132072,2.267977,[162 124] ; [51 55],[155.40306122 130.59693878] ; [57.59693878 48.40306122],0
a3,1,0.139831,2.17982,[197  90] ; [65 42],[190.84771574  96.15228426] ; [71.15228426 35.84771574],0
a8,1,0.21537,1.534956,[ 35 218] ; [ 9 91],[ 31.53541076 221.46458924] ; [12.46458924 87.53541076],0
s5,1,0.218455,1.514493,[ 58 224] ; [27 75],[ 62.421875 219.578125] ; [22.578125 79.421875],0
v4,1,0.236323,1.402394,[273  15] ; [98  9],[270.50126582  17.49873418] ; [100.49873418   6.50126582],0
v1,1,0.24996,1.323525,[149 136] ; [48 57],[143.96153846 141.03846154] ; [53.03846154 51.96153846],0
p7,1,0.277169,1.180921,[168 115] ; [57 50],[163.26923077 119.73076923] ; [61.73076923 45.26923077],0
v2,1,0.297947,1.083361,[160 119] ; [54 51],[155.484375 123.515625] ; [58.515625 46.484375],0
n5,1,0.316207,1.004572,[190  95] ; [77 30],[194.11989796  90.88010204] ; [72.88010204 34.11989796],0
