Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,57.029406,[ 2 44] ; [112  55],[24.61971831 21.38028169] ; [89.38028169 77.61971831],1
d4,1,0.0,38.627054,[19 26] ; [144  23],[34.5990566 10.4009434] ; [128.4009434  38.5990566],1
a4,1,0.0,26.576146,[ 5 40] ; [90 76],[20.26066351 24.73933649] ; [74.73933649 91.26066351],1
a3,1,1e-06,23.90284,[16 28] ; [125  41],[29.54285714 14.45714286] ; [111.45714286  54.54285714],1
a5,1,3.8e-05,16.982882,[19 27] ; [123  44],[30.66666667 15.33333333] ; [111.33333333  55.66666667],1
d3,1,4.3e-05,16.755455,[19 27] ; [122  44],[30.59433962 15.40566038] ; [110.40566038  55.59433962],1
r1,1,5.9e-05,16.126158,[24 22] ; [134  31],[34.44549763 11.55450237] ; [123.55450237  41.44549763],1
a2,1,9.3e-05,15.268692,[ 1 45] ; [ 50 117],[11.01408451 34.98591549] ; [ 39.98591549 127.01408451],1
d2,1,0.000443,12.341445,[14 32] ; [99 67],[24.51886792 21.48113208] ; [88.48113208 77.51886792],1
a7,1,0.00115,10.569333,[24 22] ; [128  39],[32.82629108 13.17370892] ; [119.17370892  47.82629108],0
u1,1,0.003207,8.685805,[ 1 45] ; [ 34 133],[ 7.55868545 38.44131455] ; [ 27.44131455 139.55868545],0
s6,1,0.004905,7.914129,[21 25] ; [110  51],[29.11111111 16.88888889] ; [101.88888889  59.11111111],0
r3,1,0.009145,6.794317,[34 12] ; [147  18],[39.45971564  6.54028436] ; [141.54028436  23.45971564],0
s8,1,0.010451,6.55638,[ 9 37] ; [66 99],[16.3507109 29.6492891] ; [ 58.6492891 106.3507109],0
v2,1,0.013715,6.074468,[14 31] ; [83 77],[21.29268293 23.70731707] ; [75.70731707 84.29268293],0
b4,1,0.015008,5.915482,[18 28] ; [99 68],[25.26760563 20.73239437] ; [91.73239437 75.26760563],0
r4,1,0.016333,5.76666,[32 14] ; [142  25],[37.57746479  8.42253521] ; [136.42253521  30.57746479],0
s4,1,0.022662,5.194247,[ 4 42] ; [ 40 126],[ 9.54716981 36.45283019] ; [ 34.45283019 131.54716981],0
v4,1,0.026153,4.945904,[36  9] ; [153  14],[40.11792453  4.88207547] ; [148.88207547  18.11792453],0
s5,1,0.029295,4.7502,[ 9 36] ; [58 97],[15.075 29.925] ; [ 51.925 103.075],0
a6,1,0.03133,4.634787,[22 24] ; [109  58],[28.29107981 17.70892019] ; [102.70892019  64.29107981],0
p10,1,0.058349,3.583698,[19 26] ; [93 67],[24.58536585 20.41463415] ; [87.41463415 72.58536585],0
p9,1,0.06749,3.343024,[23 22] ; [105  54],[28.23529412 16.76470588] ; [99.76470588 59.23529412],0
s2,1,0.074543,3.180038,[17 29] ; [86 80],[22.3490566 23.6509434] ; [80.6509434 85.3490566],0
b5,1,0.08865,2.898711,[24 22] ; [110  57],[28.93896714 17.06103286] ; [105.06103286  61.93896714],0
