Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5e-06,20.885702,[57 26] ; [18 42],[43.53146853 39.46853147] ; [31.46853147 28.53146853],1
p6,1,5e-06,20.874554,[39 43] ; [ 7 54],[26.37762238 55.62237762] ; [19.62237762 41.37762238],1
p4,1,9.1e-05,15.308318,[51 33] ; [17 44],[39.39310345 44.60689655] ; [28.60689655 32.39310345],1
p3,1,0.000123,14.742255,[46 38] ; [14 47],[34.75862069 49.24137931] ; [25.24137931 35.75862069],1
p2,1,0.000128,14.673197,[72 12] ; [35 26],[61.9862069 22.0137931] ; [45.0137931 15.9862069],1
s7,1,0.000296,13.094465,[42 36] ; [14 46],[31.65217391 46.34782609] ; [24.34782609 35.65217391],1
s8,1,0.007331,7.190013,[37 46] ; [14 47],[29.39583333 53.60416667] ; [21.60416667 39.39583333],0
p5,1,0.018351,5.562371,[15 68] ; [ 3 58],[10.375 72.625] ; [ 7.625 53.375],0
s3,1,0.0185,5.548182,[49 34] ; [23 36],[42.08450704 40.91549296] ; [29.91549296 29.08450704],0
b4,1,0.054789,3.68851,[46 38] ; [43 18],[51.55862069 32.44137931] ; [37.44137931 23.55862069],0
a3,1,0.055761,3.659176,[52 32] ; [28 33],[46.34482759 37.65517241] ; [33.65517241 27.34482759],0
s2,1,0.077346,3.11981,[40 44] ; [19 39],[34.90140845 49.09859155] ; [24.09859155 33.90140845],0
n2,1,0.126752,2.331838,[11  6] ; [14  2],[12.87878788  4.12121212] ; [12.12121212  3.87878788],0
v2,1,0.147264,2.100363,[42 39] ; [22 34],[37.83941606 43.16058394] ; [26.16058394 29.83941606],0
a7,1,0.166131,1.917514,[55 29] ; [33 28],[50.97931034 33.02068966] ; [37.02068966 23.97931034],0
b1,1,0.190765,1.711701,[38 46] ; [21 40],[34.17931034 49.82068966] ; [24.82068966 36.17931034],0
a2,1,0.211079,1.564008,[ 9 75] ; [ 3 58],[ 6.95172414 77.04827586] ; [ 5.04827586 55.95172414],0
n4,1,0.253686,1.30289,[53 31] ; [44 17],[56.19310345 27.80689655] ; [40.80689655 20.19310345],0
p10,1,0.302369,1.063717,[66 17] ; [44 17],[63.40277778 19.59722222] ; [46.59722222 14.40277778],0
s5,1,0.360036,0.837768,[26 56] ; [14 43],[23.5971223 58.4028777] ; [16.4028777 40.5971223],0
d2,1,0.360409,0.836469,[22 62] ; [12 49],[19.69655172 64.30344828] ; [14.30344828 46.69655172],0
s6,1,0.362463,0.829342,[50 32] ; [32 28],[47.35211268 34.64788732] ; [34.64788732 25.35211268],0
v1,1,0.375116,0.786646,[40 43] ; [24 35],[37.4084507 45.5915493] ; [26.5915493 32.4084507],0
p1,1,0.380551,0.76892,[14 70] ; [ 7 54],[12.16551724 71.83448276] ; [ 8.83448276 52.16551724],0
u3,1,0.384105,0.757522,[14 18] ; [18 15],[15.75384615 16.24615385] ; [16.24615385 16.75384615],0
r1,1,0.413559,0.668545,[63 21] ; [42 19],[60.82758621 23.17241379] ; [44.17241379 16.82758621],0
d1,1,0.423006,0.64195,[ 7 77] ; [ 3 58],[ 5.79310345 78.20689655] ; [ 4.20689655 56.79310345],0
s4,1,0.449054,0.573039,[15 69] ; [14 47],[16.8 67.2] ; [12.2 48.8],0
p12,1,0.489146,0.478405,[10 74] ; [ 5 55],[ 8.75 75.25] ; [ 6.25 53.75],0
b5,1,0.514495,0.424915,[45 39] ; [36 25],[46.92413793 37.07586207] ; [34.07586207 26.92413793],0
u2,1,0.540194,0.37518,[16 16] ; [19 14],[17.23076923 14.76923077] ; [17.76923077 15.23076923],0
r4,1,0.542041,0.371769,[72 12] ; [50 11],[70.67586207 13.32413793] ; [51.32413793  9.67586207],0
n3,1,0.575942,0.312841,[15  2] ; [13  3],[14.42424242  2.57575758] ; [13.57575758  2.42424242],0
a6,1,0.590221,0.29,[50 34] ; [39 22],[51.55862069 32.44137931] ; [37.44137931 23.55862069],0
a8,1,0.632363,0.22887,[10 68] ; [ 6 53],[ 9.10948905 68.89051095] ; [ 6.89051095 52.10948905],0
v3,1,0.636951,0.222752,[27 56] ; [17 42],[25.71830986 57.28169014] ; [18.28169014 40.71830986],0
u1,1,0.657982,0.195984,[ 4 80] ; [ 2 59],[ 3.47586207 80.52413793] ; [ 2.52413793 58.47586207],0
a1,1,0.657982,0.195984,[ 4 80] ; [ 2 59],[ 3.47586207 80.52413793] ; [ 2.52413793 58.47586207],0
p9,1,0.665485,0.186929,[69 14] ; [49 12],[68.01388889 14.98611111] ; [49.98611111 11.01388889],0
s1,1,0.667773,0.184218,[ 3 80] ; [ 3 56],[ 3.50704225 79.49295775] ; [ 2.49295775 56.50704225],0
n5,1,0.697504,0.151081,[59 25] ; [41 20],[57.93103448 26.06896552] ; [42.06896552 18.93103448],0
b3,1,0.715743,0.132608,[22 34] ; [13 17],[22.79069767 33.20930233] ; [12.20930233 17.79069767],0
b2,1,0.715743,0.132608,[22 34] ; [13 17],[22.79069767 33.20930233] ; [12.20930233 17.79069767],0
d3,1,0.735907,0.113757,[34 50] ; [23 38],[33.02068966 50.97931034] ; [23.97931034 37.02068966],0
r3,1,0.790892,0.070306,[78  6] ; [55  5],[77.58333333  6.41666667] ; [55.41666667  4.58333333],0
d4,1,0.811109,0.057119,[43 41] ; [30 31],[42.28965517 41.71034483] ; [30.71034483 30.28965517],0
n6,1,0.817823,0.053059,[69 15] ; [51 10],[69.51724138 14.48275862] ; [50.48275862 10.51724138],0
u4,1,0.819037,0.052342,[ 1 83] ; [ 1 60],[ 1.15862069 82.84137931] ; [ 0.84137931 60.15862069],0
a4,1,0.821697,0.050789,[19 64] ; [13 48],[18.44444444 64.55555556] ; [13.55555556 47.44444444],0
n1,1,0.895261,0.017332,[ 6 11] ; [ 6 10],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
v4,1,0.896066,0.017065,[78  5] ; [57  4],[77.8125  5.1875] ; [57.1875  3.8125],0
a5,1,0.949903,0.003947,[45 39] ; [33 28],[45.1862069 38.8137931] ; [32.8137931 28.1862069],0
r2,1,0.980674,0.000587,[72 11] ; [53  8],[72.04861111 10.95138889] ; [52.95138889  8.04861111],0
