Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.744895,[70  1] ; [8 5],[65.92857143  5.07142857] ; [12.07142857  0.92857143],1
r1,1,1.3e-05,19.052744,[54 16] ; [ 2 11],[47.22891566 22.77108434] ; [8.77108434 4.22891566],1
r2,1,1.9e-05,18.275978,[69  2] ; [8 5],[65.08333333  5.91666667] ; [11.91666667  1.08333333],1
v4,1,0.001455,10.134935,[68  3] ; [9 4],[65.08333333  5.91666667] ; [11.91666667  1.08333333],0
n3,1,0.011213,6.43125,[13  3] ; [1 4],[10.66666667  5.33333333] ; [3.33333333 1.66666667],0
b4,1,0.058328,3.584299,[47 24] ; [5 8],[43.95238095 27.04761905] ; [8.04761905 4.95238095],0
d2,1,0.080292,3.058974,[29 42] ; [ 2 11],[26.20238095 44.79761905] ; [4.79761905 8.20238095],0
b1,1,0.113932,2.498808,[27 44] ; [8 5],[29.58333333 41.41666667] ; [5.41666667 7.58333333],0
s6,1,0.126919,2.329794,[53 18] ; [7 6],[50.71428571 20.28571429] ; [9.28571429 3.71428571],0
v2,1,0.128735,2.307692,[35 30] ; [4 9],[32.5 32.5] ; [6.5 6.5],0
p10,1,0.135491,2.228432,[52 18] ; [7 6],[49.75903614 20.24096386] ; [9.24096386 3.75903614],0
a4,1,0.159354,1.980346,[25 46] ; [ 2 11],[22.82142857 48.17857143] ; [4.17857143 8.82142857],0
a5,1,0.159714,1.976932,[52 19] ; [7 6],[49.86904762 21.13095238] ; [9.13095238 3.86904762],0
a3,1,0.168554,1.895761,[47 24] ; [6 7],[44.79761905 26.20238095] ; [8.20238095 4.79761905],0
p7,1,0.18725,1.73912,[55 15] ; [8 5],[53.13253012 16.86746988] ; [9.86746988 3.13253012],0
u2,1,0.199165,1.648489,[16  7] ; [3 4],[14.56666667  8.43333333] ; [4.43333333 2.56666667],0
b2,1,0.20985,1.572464,[13 24] ; [1 7],[11.51111111 25.48888889] ; [2.48888889 5.51111111],0
b3,1,0.20985,1.572464,[13 24] ; [1 7],[11.51111111 25.48888889] ; [2.48888889 5.51111111],0
d4,1,0.220723,1.499668,[55 16] ; [12  1],[56.63095238 14.36904762] ; [10.36904762  2.63095238],0
a7,1,0.273713,1.198044,[54 17] ; [8 5],[52.4047619 18.5952381] ; [9.5952381 3.4047619],0
s2,1,0.274387,1.194681,[32 39] ; [8 5],[33.80952381 37.19047619] ; [6.19047619 6.80952381],0
p4,1,0.291393,1.113173,[50 21] ; [11  2],[51.55952381 19.44047619] ; [9.44047619 3.55952381],0
s3,1,0.294355,1.099596,[38 32] ; [5 8],[36.26506024 33.73493976] ; [6.73493976 6.26506024],0
n5,1,0.302425,1.063471,[22 48] ; [6 7],[23.61445783 46.38554217] ; [4.38554217 8.61445783],0
v3,1,0.304212,1.055639,[19 46] ; [ 2 11],[17.5 47.5] ; [3.5 9.5],0
p9,1,0.316926,1.00159,[57 13] ; [9 4],[55.6626506 14.3373494] ; [10.3373494  2.6626506],0
s8,1,0.33809,0.91766,[32 39] ; [4 9],[30.42857143 40.57142857] ; [5.57142857 7.42857143],0
u3,1,0.359756,0.838745,[18  6] ; [4 3],[17.03225806  6.96774194] ; [4.96774194 2.03225806],0
v1,1,0.363247,0.826636,[32 35] ; [8 5],[33.5 33.5] ; [6.5 6.5],0
n6,1,0.376143,0.78327,[45 25] ; [10  3],[46.38554217 23.61445783] ; [8.61445783 4.38554217],0
b5,1,0.383831,0.758397,[42 29] ; [6 7],[40.57142857 30.42857143] ; [7.42857143 5.57142857],0
a8,1,0.387269,0.747499,[ 2 63] ; [ 1 11],[ 2.53246753 62.46753247] ; [ 0.46753247 11.53246753],0
a2,1,0.398654,0.712383,[12 59] ; [ 1 12],[10.98809524 60.01190476] ; [ 2.01190476 10.98809524],0
p5,1,0.433622,0.613104,[ 6 65] ; [ 2 11],[ 6.76190476 64.23809524] ; [ 1.23809524 11.76190476],0
n1,1,0.516937,0.42,[ 4 12] ; [2 3],[ 4.57142857 11.42857143] ; [1.42857143 3.57142857],0
d5,1,0.521629,0.410672,[55 16] ; [9 4],[54.0952381 16.9047619] ; [9.9047619 3.0952381],0
u1,1,0.553727,0.350683,[ 7 64] ; [ 2 11],[ 7.60714286 63.39285714] ; [ 1.39285714 11.60714286],0
p8,1,0.58128,0.30417,[44 27] ; [7 6],[43.10714286 27.89285714] ; [7.89285714 5.10714286],0
s5,1,0.661809,0.191333,[28 42] ; [4 8],[27.31707317 42.68292683] ; [4.68292683 7.31707317],0
d1,1,0.692723,0.156153,[37 34] ; [6 7],[36.3452381 34.6547619] ; [6.6547619 6.3452381],0
s7,1,0.758476,0.094545,[28 37] ; [5 8],[27.5 37.5] ; [5.5 7.5],0
p2,1,0.783907,0.075203,[57 13] ; [11  2],[57.34939759 12.65060241] ; [10.65060241  2.34939759],0
n2,1,0.818769,0.0525,[12  4] ; [4 1],[12.19047619  3.80952381] ; [3.80952381 1.19047619],0
p6,1,0.827227,0.047637,[24 44] ; [5 8],[24.34567901 43.65432099] ; [4.65432099 8.34567901],0
d3,1,0.83108,0.045504,[47 24] ; [9 4],[47.33333333 23.66666667] ; [8.66666667 4.33333333],0
s4,1,0.86173,0.030336,[18 53] ; [ 3 10],[17.75 53.25] ; [3.25 9.75],0
p12,1,0.933319,0.007001,[ 5 66] ; [ 1 12],[ 5.07142857 65.92857143] ; [ 0.92857143 12.07142857],0
a6,1,0.976401,0.000875,[44 27] ; [8 5],[43.95238095 27.04761905] ; [8.04761905 4.95238095],0
p11,1,0.987604,0.000241,[49 22] ; [9 4],[49.02380952 21.97619048] ; [8.97619048 4.02380952],0
