Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,27.793063,[64  8] ; [90 79],[46.00829876 25.99170124] ; [107.99170124  61.00829876],1
s7,1,0.000476,12.208496,[46 24] ; [66 96],[33.79310345 36.20689655] ; [78.20689655 83.79310345],1
p5,1,0.000817,11.202996,[15 60] ; [ 10 159],[ 7.68442623 67.31557377] ; [ 17.31557377 151.68442623],1
n6,1,0.00456,8.046113,[67  7] ; [126  43],[58.77366255 15.22633745] ; [134.22633745  34.77366255],0
s4,1,0.004785,7.959081,[22 52] ; [ 24 144],[14.0661157 59.9338843] ; [ 31.9338843 136.0661157],0
p9,1,0.005498,7.707807,[66  7] ; [127  43],[57.97942387 15.02057613] ; [135.02057613  34.97942387],0
p12,1,0.011869,6.330299,[ 8 66] ; [  5 165],[ 3.94262295 70.05737705] ; [  9.05737705 160.94262295],0
r4,1,0.015205,5.892552,[72  3] ; [145  25],[66.42857143  8.57142857] ; [150.57142857  19.42857143],0
b5,1,0.018421,5.55565,[31 44] ; [98 72],[39.48979592 35.51020408] ; [89.51020408 80.48979592],0
p3,1,0.019403,5.464853,[47 28] ; [79 91],[38.57142857 36.42857143] ; [87.42857143 82.57142857],0
s2,1,0.021908,5.253088,[45 30] ; [75 95],[36.73469388 38.26530612] ; [83.26530612 86.73469388],0
p10,1,0.034364,4.476487,[64 11] ; [124  46],[57.55102041 17.44897959] ; [130.44897959  39.55102041],0
a5,1,0.036337,4.381214,[59 16] ; [111  59],[52.04081633 22.95918367] ; [117.95918367  52.04081633],0
r1,1,0.040117,4.212909,[63 12] ; [122  48],[56.63265306 18.36734694] ; [128.36734694  41.63265306],0
v3,1,0.045131,4.013725,[27 47] ; [ 40 127],[20.57261411 53.42738589] ; [ 46.42738589 120.57261411],0
p1,1,0.045414,4.003194,[ 8 66] ; [  7 163],[ 4.54918033 69.45081967] ; [ 10.45081967 159.54918033],0
p6,1,0.049081,3.87257,[37 38] ; [ 60 107],[30.06198347 44.93801653] ; [ 66.93801653 100.06198347],0
u1,1,0.060023,3.536755,[14 61] ; [ 17 153],[ 9.48979592 65.51020408] ; [ 21.51020408 148.48979592],0
s8,1,0.06524,3.3989,[34 40] ; [ 57 113],[27.59836066 46.40163934] ; [ 63.40163934 106.59836066],0
r2,1,0.070462,3.272217,[71  3] ; [149  19],[67.27272727  6.72727273] ; [152.72727273  15.27272727],0
a4,1,0.076001,3.148406,[35 40] ; [ 59 111],[28.7755102 46.2244898] ; [ 65.2244898 104.7755102],0
s3,1,0.086942,2.93011,[49 26] ; [90 78],[42.90123457 32.09876543] ; [96.09876543 71.90123457],0
p2,1,0.092758,2.825841,[69  6] ; [142  27],[64.85655738 10.14344262] ; [146.14344262  22.85655738],0
v2,1,0.109029,2.568235,[37 37] ; [63 99],[31.3559322 42.6440678] ; [68.6440678 93.3559322],0
p4,1,0.138904,2.190056,[51 24] ; [98 71],[45.79918033 29.20081967] ; [103.20081967  65.79918033],0
d2,1,0.157946,1.99378,[37 38] ; [ 67 102],[31.96721311 43.03278689] ; [72.03278689 96.96721311],0
b3,1,0.159021,1.983511,[16 27] ; [25 73],[12.5035461 30.4964539] ; [28.4964539 69.5035461],0
b2,1,0.159021,1.983511,[16 27] ; [25 73],[12.5035461 30.4964539] ; [28.4964539 69.5035461],0
p8,1,0.163825,1.938558,[50 24] ; [97 70],[45.13692946 28.86307054] ; [101.86307054  65.13692946],0
n1,1,0.205024,1.606219,[ 7 12] ; [ 9 33],[ 4.98360656 14.01639344] ; [11.01639344 30.98360656],0
n5,1,0.269363,1.219986,[52 22] ; [107  63],[48.22131148 25.77868852] ; [110.77868852  59.22131148],0
a1,1,0.274434,1.194448,[ 5 70] ; [  6 164],[ 3.36734694 71.63265306] ; [  7.63265306 162.36734694],0
b1,1,0.334548,0.931212,[29 46] ; [77 93],[32.44897959 42.55102041] ; [73.55102041 96.44897959],0
b4,1,0.34164,0.904268,[42 33] ; [84 86],[38.57142857 36.42857143] ; [87.42857143 82.57142857],0
v4,1,0.363801,0.82473,[71  3] ; [157  12],[69.43209877  4.56790123] ; [158.56790123  10.43209877],0
u2,1,0.374315,0.78929,[13 12] ; [35 21],[14.81481481 10.18518519] ; [33.18518519 22.81481481],0
r3,1,0.38116,0.766956,[70  3] ; [158  12],[68.49382716  4.50617284] ; [159.50617284  10.49382716],0
a6,1,0.411649,0.674034,[47 28] ; [115  54],[49.79508197 25.20491803] ; [112.20491803  56.79508197],0
p11,1,0.42171,0.645544,[60 15] ; [128  42],[57.55102041 17.44897959] ; [130.44897959  39.55102041],0
a7,1,0.437665,0.602397,[50 25] ; [121  48],[52.56147541 22.43852459] ; [118.43852459  50.56147541],0
u3,1,0.480835,0.49697,[15 12] ; [26 29],[13.5 13.5] ; [27.5 27.5],0
n4,1,0.513041,0.427859,[56 19] ; [120  50],[53.87755102 21.12244898] ; [122.12244898  47.87755102],0
s1,1,0.567363,0.327115,[ 2 73] ; [  7 161],[ 2.77777778 72.22222222] ; [  6.22222222 161.77777778],0
a8,1,0.574144,0.315797,[ 9 61] ; [ 25 134],[10.3930131 59.6069869] ; [ 23.6069869 135.3930131],0
d4,1,0.624814,0.239159,[58 17] ; [125  43],[56.48148148 18.51851852] ; [126.51851852  41.48148148],0
d3,1,0.641218,0.217153,[48 27] ; [112  55],[49.58677686 25.41322314] ; [110.41322314  56.58677686],0
n2,1,0.662301,0.190741,[14  5] ; [30 14],[13.26984127  5.73015873] ; [30.73015873 13.26984127],0
d1,1,0.691942,0.156991,[40 35] ; [86 84],[38.57142857 36.42857143] ; [87.42857143 82.57142857],0
