Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.1e-05,19.417611,[ 48 103] ; [40 22],[62.38497653 88.61502347] ; [25.61502347 36.38497653],1
v1,1,0.000584,11.825452,[ 55 102] ; [37 24],[66.25688073 90.74311927] ; [25.74311927 35.25688073],1
r2,1,0.000905,11.012776,[129  30] ; [61  1],[136.69683258  22.30316742] ; [53.30316742  8.69683258],1
a5,1,0.006492,7.408323,[69 93] ; [39 23],[78.10714286 83.89285714] ; [29.89285714 32.10714286],0
s7,1,0.019999,5.412019,[ 42 116] ; [25 33],[ 49.00925926 108.99074074] ; [17.99074074 40.00925926],0
r4,1,0.020151,5.398754,[114  48] ; [53  9],[120.77678571  41.22321429] ; [46.22321429 15.77678571],0
p3,1,0.020497,5.369053,[ 27 135] ; [19 43],[ 33.26785714 128.73214286] ; [12.73214286 49.26785714],0
a3,1,0.022182,5.23148,[78 81] ; [41 21],[85.61538462 73.38461538] ; [33.38461538 28.61538462],0
s2,1,0.025588,4.983626,[ 52 109] ; [30 32],[ 59.20179372 101.79820628] ; [22.79820628 39.20179372],0
s8,1,0.037301,4.336607,[ 35 125] ; [22 40],[ 41.08108108 118.91891892] ; [15.91891892 46.08108108],0
p10,1,0.084064,2.984527,[95 63] ; [45 17],[100.54545455  57.45454545] ; [39.45454545 22.54545455],0
u3,1,0.095881,2.772752,[35 49] ; [13  8],[38.4 45.6] ; [ 9.6 11.4],0
n5,1,0.102343,2.668642,[98 63] ; [45 17],[103.24215247  57.75784753] ; [39.75784753 22.24215247],0
b4,1,0.104298,2.638559,[85 77] ; [40 22],[90.40178571 71.59821429] ; [34.59821429 27.40178571],0
n2,1,0.117464,2.45081,[41 15] ; [13  1],[43.2 12.8] ; [10.8  3.2],0
s1,1,0.120021,2.417047,[  7 154] ; [ 6 55],[  9.42792793 151.57207207] ; [ 3.57207207 57.42792793],0
p1,1,0.131146,2.278889,[  7 153] ; [ 6 56],[  9.36936937 150.63063063] ; [ 3.63063063 58.36936937],0
u2,1,0.150665,2.065507,[35 48] ; [12  8],[37.87378641 45.12621359] ; [ 9.12621359 10.87378641],0
r1,1,0.160078,1.97349,[98 63] ; [44 18],[102.52017937  58.47982063] ; [39.47982063 22.52017937],0
n4,1,0.169531,1.887081,[99 63] ; [44 18],[103.41964286  58.58035714] ; [39.58035714 22.41964286],0
a1,1,0.189856,1.718731,[  8 154] ; [ 6 56],[ 10.125 151.875] ; [ 3.875 58.125],0
s6,1,0.205306,1.604224,[78 82] ; [35 25],[82.18181818 77.81818182] ; [30.81818182 29.18181818],0
p2,1,0.226649,1.461771,[113  49] ; [38 24],[109.20535714  52.79464286] ; [41.79464286 20.20535714],0
v4,1,0.244927,1.352012,[134  25] ; [56  6],[136.69683258  22.30316742] ; [53.30316742  8.69683258],0
r3,1,0.247636,1.336591,[131  28] ; [55  7],[133.81900452  25.18099548] ; [52.18099548  9.81900452],0
p5,1,0.251181,1.316721,[  5 157] ; [ 4 58],[  6.50892857 155.49107143] ; [ 2.49107143 59.50892857],0
d3,1,0.290144,1.118952,[ 50 110] ; [24 38],[ 53.33333333 106.66666667] ; [20.66666667 41.33333333],0
p12,1,0.321858,0.981383,[  7 153] ; [ 1 61],[  5.76576577 154.23423423] ; [ 2.23423423 59.76576577],0
n6,1,0.342558,0.900836,[111  49] ; [47 15],[113.87387387  46.12612613] ; [44.12612613 17.87387387],0
a2,1,0.372935,0.793863,[  6 156] ; [ 4 58],[  7.23214286 154.76785714] ; [ 2.76785714 59.23214286],0
d4,1,0.437759,0.602151,[90 72] ; [38 24],[92.57142857 69.42857143] ; [35.42857143 26.57142857],0
s4,1,0.470837,0.520012,[ 33 129] ; [10 52],[ 31.09821429 130.90178571] ; [11.90178571 50.09821429],0
b2,1,0.473845,0.512996,[27 59] ; [13 21],[28.66666667 57.33333333] ; [11.33333333 22.66666667],0
b3,1,0.473845,0.512996,[27 59] ; [13 21],[28.66666667 57.33333333] ; [11.33333333 22.66666667],0
a4,1,0.478761,0.501685,[ 32 129] ; [15 47],[ 33.93273543 127.06726457] ; [13.06726457 48.93273543],0
b1,1,0.493589,0.468693,[65 97] ; [28 34],[67.25892857 94.74107143] ; [25.74107143 36.25892857],0
d5,1,0.577995,0.309487,[82 79] ; [29 33],[80.13901345 80.86098655] ; [30.86098655 31.13901345],0
p6,1,0.586531,0.295795,[ 28 129] ; [ 9 52],[ 26.64678899 130.35321101] ; [10.35321101 50.64678899],0
s3,1,0.603818,0.269276,[72 87] ; [30 31],[73.71818182 85.28181818] ; [28.28181818 32.71818182],0
b5,1,0.606329,0.265555,[95 67] ; [34 28],[93.29464286 68.70535714] ; [35.70535714 26.29464286],0
