Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7.9e-05,15.579515,[1 6] ; [44  9],[5.25 1.75] ; [39.75 13.25],1
v4,1,0.000438,12.364617,[4 3] ; [51  2],[6.41666667 0.58333333] ; [48.58333333  4.41666667],1
n6,1,0.000892,11.038529,[3 4] ; [48  5],[5.95 1.05] ; [45.05  7.95],1
r1,1,0.002541,9.110512,[2 5] ; [43 10],[5.25 1.75] ; [39.75 13.25],0
r3,1,0.013435,6.110897,[5 2] ; [51  2],[6.53333333 0.46666667] ; [49.46666667  3.53333333],0
r2,1,0.013435,6.110897,[5 2] ; [51  2],[6.53333333 0.46666667] ; [49.46666667  3.53333333],0
p9,1,0.036651,4.366577,[3 4] ; [42 11],[5.25 1.75] ; [39.75 13.25],0
s6,1,0.077704,3.112281,[2 5] ; [33 19],[4.15254237 2.84745763] ; [30.84745763 21.15254237],0
u3,1,0.096759,2.758172,[1 4] ; [14  9],[2.67857143 2.32142857] ; [12.32142857 10.67857143],0
s4,1,0.107703,2.587601,[3 4] ; [ 9 44],[1.4 5.6] ; [10.6 42.4],0
p3,1,0.110479,2.547353,[2 5] ; [32 21],[3.96666667 3.03333333] ; [30.03333333 22.96666667],0
v1,1,0.117948,2.444359,[1 6] ; [24 29],[2.91666667 4.08333333] ; [22.08333333 30.91666667],0
a5,1,0.134796,2.23638,[2 5] ; [31 22],[3.85 3.15] ; [29.15 23.85],0
b4,1,0.134796,2.23638,[2 5] ; [31 22],[3.85 3.15] ; [29.15 23.85],0
a3,1,0.162344,1.952253,[2 5] ; [30 23],[3.73333333 3.26666667] ; [28.26666667 24.73333333],0
v2,1,0.176103,1.830212,[2 5] ; [29 23],[3.6779661 3.3220339] ; [27.3220339 24.6779661],0
a6,1,0.19126,1.707888,[3 4] ; [36 17],[4.55 2.45] ; [34.45 18.55],0
b1,1,0.193255,1.692626,[5 2] ; [24 29],[3.38333333 3.61666667] ; [25.61666667 27.38333333],0
n5,1,0.19379,1.68857,[4 3] ; [42 11],[5.36666667 1.63333333] ; [40.63333333 12.36666667],0
s1,1,0.237868,1.393184,[1 6] ; [ 2 50],[0.3559322 6.6440678] ; [ 2.6440678 49.3559322],0
p10,1,0.318431,0.99538,[4 3] ; [39 13],[5.10169492 1.89830508] ; [37.89830508 14.10169492],0
p8,1,0.380177,0.77013,[6 1] ; [37 16],[5.01666667 1.98333333] ; [37.98333333 15.01666667],0
d3,1,0.45462,0.559107,[2 5] ; [23 30],[2.91666667 4.08333333] ; [22.08333333 30.91666667],0
n1,1,0.490153,0.47619,[1 2] ; [4 3],[1.5 1.5] ; [3.5 3.5],0
b5,1,0.571933,0.319459,[5 2] ; [32 21],[4.31666667 2.68333333] ; [32.68333333 20.31666667],0
d2,1,0.614017,0.254366,[1 6] ; [12 41],[1.51666667 5.48333333] ; [11.48333333 41.51666667],0
p11,1,0.637063,0.222604,[5 2] ; [42 11],[5.48333333 1.51666667] ; [41.51666667 11.48333333],0
p4,1,0.642845,0.215041,[4 3] ; [35 18],[4.55 2.45] ; [34.45 18.55],0
s7,1,0.67882,0.171457,[3 3] ; [30 21],[3.47368421 2.52631579] ; [29.52631579 21.47368421],0
p2,1,0.687573,0.161725,[6 1] ; [42 11],[5.6 1.4] ; [42.4 10.6],0
s3,1,0.822865,0.050114,[4 3] ; [32 20],[4.27118644 2.72881356] ; [31.72881356 20.27118644],0
s2,1,0.869447,0.027015,[4 3] ; [28 24],[3.79661017 3.20338983] ; [28.20338983 23.79661017],0
n3,1,0.880303,0.022676,[2 1] ; [5 2],[2.1 0.9] ; [4.9 2.1],0
n2,1,0.880303,0.022676,[2 1] ; [5 2],[2.1 0.9] ; [4.9 2.1],0
u2,1,0.886731,0.02029,[3 2] ; [13 10],[2.85714286 2.14285714] ; [13.14285714  9.85714286],0
d4,1,0.903491,0.014702,[3 4] ; [24 29],[3.15 3.85] ; [23.85 29.15],0
a7,1,0.903491,0.014702,[5 2] ; [39 14],[5.13333333 1.86666667] ; [38.86666667 14.13333333],0
a8,1,0.907259,0.013571,[1 6] ; [ 8 42],[1.10526316 5.89473684] ; [ 7.89473684 42.10526316],0
s8,1,0.945805,0.004621,[3 4] ; [22 31],[2.91666667 4.08333333] ; [22.08333333 30.91666667],0
