Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.000138,14.533011,[ 10 128] ; [5 7],[ 13.8 124.2] ; [ 1.2 10.8],1
p3,1,0.001142,10.58249,[49 89] ; [10  2],[54.28 83.72] ; [4.72 7.28],0
p4,1,0.005217,7.802482,[56 79] ; [10  2],[60.6122449 74.3877551] ; [5.3877551 6.6122449],0
s6,1,0.009979,6.638554,[65 71] ; [9 1],[68.93150685 67.06849315] ; [5.06849315 4.93150685],0
p9,1,0.0453,4.007438,[85 50] ; [11  1],[88.16326531 46.83673469] ; [7.83673469 4.16326531],0
p8,1,0.051832,3.781179,[52 85] ; [8 4],[55.16778523 81.83221477] ; [4.83221477 7.16778523],0
p6,1,0.055214,3.67562,[37 99] ; [6 5],[39.78231293 96.21768707] ; [3.21768707 7.78231293],0
p12,1,0.070192,3.278522,[  6 131] ; [ 2 10],[  7.3557047 129.6442953] ; [ 0.6442953 11.3557047],0
a6,1,0.07108,3.257895,[55 83] ; [8 4],[57.96 80.04] ; [5.04 6.96],0
p10,1,0.074537,3.180178,[78 59] ; [10  2],[80.91275168 56.08724832] ; [7.08724832 4.91275168],0
n5,1,0.077971,3.106701,[92 45] ; [11  1],[94.70469799 42.29530201] ; [8.29530201 3.70469799],0
n4,1,0.087716,2.915804,[94 44] ; [11  1],[96.6 41.4] ; [8.4 3.6],0
v2,1,0.103588,2.649417,[40 91] ; [ 1 11],[37.55944056 93.44055944] ; [3.44055944 8.55944056],0
n6,1,0.171177,1.872602,[102  36] ; [11  1],[103.96  34.04] ; [9.04 2.96],0
p11,1,0.186334,1.746364,[89 49] ; [10  2],[91.08 46.92] ; [7.92 4.08],0
p2,1,0.226776,1.460967,[88 50] ; [9 2],[89.83892617 48.16107383] ; [7.16107383 3.83892617],0
a5,1,0.230951,1.434998,[79 59] ; [9 3],[80.96 57.04] ; [7.04 4.96],0
p7,1,0.268163,1.226121,[68 68] ; [8 4],[69.83783784 66.16216216] ; [6.16216216 5.83783784],0
r3,1,0.271308,1.210119,[108  30] ; [11  1],[109.48  28.52] ; [9.52 2.48],0
r4,1,0.293344,1.10421,[95 43] ; [10  2],[96.6 41.4] ; [8.4 3.6],0
u2,1,0.317009,1.001246,[31 30] ; [1 3],[30.03076923 30.96923077] ; [1.96923077 2.03076923],0
d5,1,0.333404,0.935632,[84 54] ; [9 3],[85.56 52.44] ; [7.44 4.56],0
b4,1,0.410325,0.677857,[75 63] ; [8 4],[76.36 61.64] ; [6.64 5.36],0
a3,1,0.437703,0.602296,[76 62] ; [8 4],[77.28 60.72] ; [6.72 5.28],0
s5,1,0.444211,0.58538,[34 98] ; [4 7],[35.07692308 96.92307692] ; [2.92307692 8.07692308],0
s7,1,0.446568,0.579348,[50 79] ; [6 6],[51.23404255 77.76595745] ; [4.76595745 7.23404255],0
d1,1,0.460995,0.543478,[54 84] ; [6 6],[55.2 82.8] ; [4.8 7.2],0
r1,1,0.495536,0.464484,[78 60] ; [8 4],[79.12 58.88] ; [6.88 5.12],0
b1,1,0.515601,0.422684,[67 71] ; [7 5],[68.08 69.92] ; [5.92 6.08],0
r2,1,0.527234,0.399719,[112  24] ; [9 3],[111.18918919  24.81081081] ; [9.81081081 2.18918919],0
a1,1,0.530115,0.394171,[  6 132] ; [ 1 11],[  6.44 131.56] ; [ 0.56 11.44],0
s2,1,0.566136,0.329191,[45 91] ; [3 9],[44.10810811 91.89189189] ; [3.89189189 8.10810811],0
n1,1,0.597,0.279545,[18 38] ; [1 1],[18.34482759 37.65517241] ; [0.65517241 1.34482759],0
s1,1,0.634732,0.225698,[  7 130] ; [ 1 11],[  7.3557047 129.6442953] ; [ 0.6442953 11.3557047],0
u3,1,0.669742,0.181904,[22 40] ; [1 3],[21.60606061 40.39393939] ; [1.39393939 2.60606061],0
s4,1,0.712618,0.135676,[ 29 108] ; [ 2 10],[ 28.5033557 108.4966443] ; [2.4966443 9.5033557],0
a2,1,0.722709,0.125912,[  8 130] ; [ 1 11],[  8.28 129.72] ; [ 0.72 11.28],0
b3,1,0.73789,0.11199,[26 56] ; [3 5],[26.42222222 55.57777778] ; [2.57777778 5.42222222],0
b2,1,0.73789,0.11199,[26 56] ; [3 5],[26.42222222 55.57777778] ; [2.57777778 5.42222222],0
d4,1,0.760724,0.092738,[86 51] ; [7 5],[85.51006711 51.48993289] ; [7.48993289 4.51006711],0
s3,1,0.765547,0.088926,[61 73] ; [6 6],[61.49315068 72.50684932] ; [5.50684932 6.49315068],0
a4,1,0.788727,0.071805,[51 86] ; [4 8],[50.5704698 86.4295302] ; [4.4295302 7.5704698],0
v3,1,0.808976,0.058442,[ 29 103] ; [3 9],[ 29.33333333 102.66666667] ; [2.66666667 9.33333333],0
d2,1,0.831436,0.04531,[61 75] ; [5 7],[60.64864865 75.35135135] ; [5.35135135 6.64864865],0
s8,1,0.834555,0.043624,[42 96] ; [4 8],[42.32 95.68] ; [3.68 8.32],0
n3,1,0.835331,0.04321,[31 23] ; [1 1],[30.85714286 23.14285714] ; [1.14285714 0.85714286],0
v4,1,0.844186,0.038629,[111  26] ; [10  2],[111.25503356  25.74496644] ; [9.74496644 2.25503356],0
d3,1,0.902211,0.015097,[55 83] ; [5 7],[55.2 82.8] ; [4.8 7.2],0
b5,1,0.98054,0.000595,[58 80] ; [5 7],[57.96 80.04] ; [5.04 6.96],0
a8,1,0.98164,0.00053,[ 11 118] ; [ 1 11],[ 10.9787234 118.0212766] ; [ 1.0212766 10.9787234],0
