Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,37.874132,[90 11] ; [10 19],[77.69230769 23.30769231] ; [22.30769231  6.69230769],1
d1,1,0.0,31.962637,[67 34] ; [ 2 27],[53.60769231 47.39230769] ; [15.39230769 13.60769231],1
d3,1,0.00091,11.002436,[75 26] ; [12 17],[67.59230769 33.40769231] ; [19.40769231  9.59230769],1
p2,1,0.021486,5.286897,[88 13] ; [20  9],[83.90769231 17.09230769] ; [24.09230769  4.90769231],0
v1,1,0.023747,5.11298,[61 38] ; [11 18],[55.6875 43.3125] ; [16.3125 12.6875],0
p1,1,0.045027,4.017619,[10 91] ; [ 7 22],[13.20769231 87.79230769] ; [ 3.79230769 25.20769231],0
p11,1,0.047721,3.919797,[86 15] ; [20  9],[82.35384615 18.64615385] ; [23.64615385  5.35384615],0
u1,1,0.053443,3.730024,[18 83] ; [ 1 28],[14.76153846 86.23846154] ; [ 4.23846154 24.76153846],0
p12,1,0.095252,2.783291,[ 3 98] ; [ 3 26],[ 4.66153846 96.33846154] ; [ 1.33846154 27.66153846],0
a3,1,0.109268,2.564771,[71 29] ; [16 13],[67.44186047 32.55813953] ; [19.55813953  9.44186047],0
d2,1,0.112613,2.517164,[44 56] ; [ 8 21],[40.31007752 59.68992248] ; [11.68992248 17.31007752],0
p10,1,0.122093,2.390259,[83 18] ; [20  9],[80.02307692 20.97692308] ; [22.97692308  6.02307692],0
p6,1,0.142078,2.155304,[33 66] ; [14 15],[36.3515625 62.6484375] ; [10.6484375 18.3515625],0
s2,1,0.158159,1.991736,[19 82] ; [ 9 20],[21.75384615 79.24615385] ; [ 6.24615385 22.75384615],0
s3,1,0.160905,1.965705,[26 75] ; [11 17],[28.96899225 72.03100775] ; [ 8.03100775 19.96899225],0
a2,1,0.168357,1.897511,[22 79] ; [ 3 26],[19.42307692 81.57692308] ; [ 5.57692308 23.42307692],0
b1,1,0.194452,1.683564,[42 59] ; [16 13],[45.06153846 55.93846154] ; [12.93846154 16.06153846],0
a7,1,0.201527,1.631273,[78 23] ; [19 10],[75.36153846 25.63846154] ; [21.63846154  7.36153846],0
a5,1,0.201527,1.631273,[78 23] ; [19 10],[75.36153846 25.63846154] ; [21.63846154  7.36153846],0
r1,1,0.201527,1.631273,[78 23] ; [19 10],[75.36153846 25.63846154] ; [21.63846154  7.36153846],0
s4,1,0.241836,1.369861,[ 7 94] ; [ 4 25],[ 8.54615385 92.45384615] ; [ 2.45384615 26.54615385],0
p9,1,0.246574,1.342608,[83 18] ; [21  8],[80.8 20.2] ; [23.2  5.8],0
