Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,157.893513,[287   7] ; [20 33],[260.10951009  33.89048991] ; [46.89048991  6.10951009],1
p11,1,0.0,41.451363,[254  41] ; [26 28],[236.67621777  58.32378223] ; [43.32378223 10.67621777],1
n5,1,1e-06,25.059992,[249  44] ; [30 24],[235.58213256  57.41786744] ; [43.41786744 10.58213256],1
n6,1,4e-06,21.344619,[266  26] ; [37 17],[255.71098266  36.28901734] ; [47.28901734  6.71098266],1
p4,1,8e-06,20.058613,[215  78] ; [23 31],[200.96253602  92.03746398] ; [37.03746398 16.96253602],1
p7,1,1.4e-05,18.910858,[206  80] ; [22 31],[192.3539823  93.6460177] ; [35.6460177 17.3539823],1
s5,1,0.000154,14.326448,[116 167] ; [ 7 45],[103.90746269 179.09253731] ; [19.09253731 32.90746269],1
p8,1,0.000234,13.533997,[185 105] ; [20 34],[172.81976744 117.18023256] ; [32.18023256 21.81976744],1
p3,1,0.000586,11.821288,[180 114] ; [19 34],[168.60518732 125.39481268] ; [30.39481268 22.60518732],1
p6,1,0.000593,11.796711,[142 149] ; [12 40],[130.65306122 160.34693878] ; [23.34693878 28.65306122],1
r4,1,0.000654,11.615655,[282  13] ; [45  9],[276.40401146  18.59598854] ; [50.59598854  3.40401146],1
p2,1,0.001341,10.285007,[265  30] ; [40 14],[257.80802292  37.19197708] ; [47.19197708  6.80802292],0
s2,1,0.005104,7.842043,[162 129] ; [18 34],[152.71137026 138.28862974] ; [27.28862974 24.71137026],0
v4,1,0.005446,7.725159,[287   6] ; [49  5],[283.71181556   9.28818444] ; [52.28818444  1.71181556],0
s8,1,0.00598,7.556215,[148 144] ; [16 37],[138.8057971 153.1942029] ; [25.1942029 27.8057971],0
d1,1,0.017831,5.612687,[202  93] ; [28 26],[194.41260745 100.58739255] ; [35.58739255 18.41260745],0
s6,1,0.018639,5.535072,[214  74] ; [31 22],[206.92082111  81.07917889] ; [38.07917889 14.92082111],0
p12,1,0.019482,5.457705,[ 38 257] ; [ 1 52],[ 33.06034483 261.93965517] ; [ 5.93965517 47.06034483],0
s7,1,0.026682,4.911262,[151 128] ; [19 32],[143.72727273 135.27272727] ; [26.27272727 24.72727273],0
u4,1,0.029548,4.735409,[  6 289] ; [ 4 50],[  8.45272206 286.54727794] ; [ 1.54727794 52.45272206],0
r3,1,0.033132,4.538934,[285   9] ; [49  5],[282.17241379  11.82758621] ; [51.82758621  2.17241379],0
r2,1,0.082789,3.009286,[286   8] ; [50  4],[283.86206897  10.13793103] ; [52.13793103  1.86206897],0
b1,1,0.100699,2.694441,[ 97 198] ; [24 30],[102.27793696 192.72206304] ; [18.72206304 35.27793696],0
u2,1,0.153472,2.037397,[50 29] ; [5 7],[47.74725275 31.25274725] ; [7.25274725 4.74725275],0
n4,1,0.193629,1.689786,[241  54] ; [40 14],[237.52148997  57.47851003] ; [43.47851003 10.52148997],0
u3,1,0.218074,1.517002,[53 26] ; [7 7],[50.96774194 28.03225806] ; [9.03225806 4.96774194],0
s3,1,0.228055,1.452954,[159 129] ; [24 28],[155.01176471 132.98823529] ; [27.98823529 24.01176471],0
a5,1,0.241434,1.372201,[239  56] ; [40 14],[235.83094556  59.16905444] ; [43.16905444 10.83094556],0
d5,1,0.25271,1.308261,[252  42] ; [43 11],[249.22413793  44.77586207] ; [45.77586207  8.22413793],0
p1,1,0.33557,0.927281,[ 35 259] ; [ 4 50],[ 32.94827586 261.05172414] ; [ 6.05172414 47.94827586],0
v3,1,0.403714,0.697236,[144 141] ; [23 29],[141.23145401 143.76854599] ; [25.76854599 26.23145401],0
d2,1,0.538277,0.378742,[144 149] ; [29 25],[146.0778098 146.9221902] ; [26.9221902 27.0778098],0
s1,1,0.54273,0.370503,[ 10 281] ; [ 1 53],[  9.27826087 281.72173913] ; [ 1.72173913 52.27826087],0
n2,1,0.561888,0.336445,[34  9] ; [13  5],[33.13114754  9.86885246] ; [13.86885246  4.13114754],0
