Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.6e-05,17.092554,[75 32] ; [29 45],[61.48066298 45.51933702] ; [42.51933702 31.48066298],1
p2,1,0.005594,7.676756,[92 14] ; [54 23],[84.56830601 21.43169399] ; [61.43169399 15.56830601],0
p3,1,0.00624,7.479661,[63 43] ; [30 47],[53.86885246 52.13114754] ; [39.13114754 37.86885246],0
d5,1,0.009171,6.789173,[95 12] ; [57 20],[88.39130435 18.60869565] ; [63.60869565 13.39130435],0
b5,1,0.013408,6.114457,[76 31] ; [41 36],[68.03804348 38.96195652] ; [48.96195652 28.03804348],0
d4,1,0.015558,5.852185,[93 14] ; [56 21],[86.64673913 20.35326087] ; [62.35326087 14.64673913],0
p9,1,0.015566,5.851296,[95 11] ; [58 18],[89.10989011 16.89010989] ; [63.89010989 12.10989011],0
b3,1,0.016139,5.787687,[29 38] ; [ 9 34],[23.14545455 43.85454545] ; [14.85454545 28.14545455],0
b2,1,0.016139,5.787687,[29 38] ; [ 9 34],[23.14545455 43.85454545] ; [14.85454545 28.14545455],0
a7,1,0.016278,5.77264,[84 23] ; [48 29],[76.76086957 30.23913043] ; [55.23913043 21.76086957],0
p4,1,0.019578,5.449119,[77 30] ; [42 34],[69.57923497 37.42076503] ; [49.42076503 26.57923497],0
s5,1,0.024759,5.040682,[30 75] ; [34 42],[37.12707182 67.87292818] ; [26.87292818 49.12707182],0
p6,1,0.040495,4.197023,[48 58] ; [23 53],[41.35164835 64.64835165] ; [29.64835165 46.35164835],0
p10,1,0.054927,3.68431,[92 14] ; [56 18],[87.15555556 18.84444444] ; [60.84444444 13.15555556],0
n5,1,0.064974,3.405634,[84 22] ; [51 25],[78.62637363 27.37362637] ; [56.37362637 19.62637363],0
d1,1,0.079351,3.078141,[64 43] ; [36 41],[58.15217391 48.84782609] ; [41.84782609 35.15217391],0
v3,1,0.099156,2.719064,[43 61] ; [22 53],[37.76536313 66.23463687] ; [27.23463687 47.76536313],0
n4,1,0.101146,2.687381,[85 22] ; [53 24],[80.25 26.75] ; [57.75 19.25],0
r1,1,0.108048,2.582543,[86 21] ; [54 23],[81.41304348 25.58695652] ; [58.58695652 18.41304348],0
s4,1,0.123171,2.376534,[13 91] ; [16 60],[16.75555556 87.24444444] ; [12.24444444 63.75555556],0
a1,1,0.13547,2.22867,[  5 102] ; [ 8 69],[ 7.55978261 99.44021739] ; [ 5.44021739 71.55978261],0
a2,1,0.149712,2.07518,[26 81] ; [12 65],[22.09782609 84.90217391] ; [15.90217391 61.09782609],0
