Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.389841,[38 19] ; [ 4 26],[27.51724138 29.48275862] ; [14.48275862 15.51724138],1
s3,1,0.000227,13.593811,[37 20] ; [ 7 23],[28.82758621 28.17241379] ; [15.17241379 14.82758621],1
p6,1,0.000422,12.432525,[22 34] ; [ 1 28],[15.15294118 40.84705882] ; [ 7.84705882 21.15294118],1
s8,1,0.000474,12.214182,[29 27] ; [ 4 26],[21.48837209 34.51162791] ; [11.51162791 18.48837209],1
s7,1,0.001232,10.44226,[31 24] ; [ 6 24],[23.94117647 31.05882353] ; [13.05882353 16.94117647],0
s5,1,0.002269,9.317706,[24 32] ; [ 3 26],[17.78823529 38.21176471] ; [ 9.21176471 19.78823529],0
r4,1,0.002935,8.847434,[50  7] ; [18 12],[44.55172414 12.44827586] ; [23.44827586  6.55172414],0
v1,1,0.018269,5.570197,[31 26] ; [ 8 21],[25.84883721 31.15116279] ; [13.15116279 15.84883721],0
b5,1,0.052979,3.744589,[37 20] ; [13 17],[32.75862069 24.24137931] ; [17.24137931 12.75862069],0
p9,1,0.063073,3.454691,[41 16] ; [15 14],[37.11627907 19.88372093] ; [18.88372093 10.11627907],0
r1,1,0.076472,3.13834,[46 11] ; [19 11],[42.5862069 14.4137931] ; [22.4137931  7.5862069],0
s1,1,0.084708,2.972169,[ 1 55] ; [ 3 27],[ 2.60465116 53.39534884] ; [ 1.39534884 28.60465116],0
u1,1,0.116223,2.467491,[11 46] ; [ 2 28],[ 8.51724138 48.48275862] ; [ 4.48275862 25.51724138],0
b4,1,0.177582,1.817741,[37 20] ; [15 15],[34.06896552 22.93103448] ; [17.93103448 12.06896552],0
u2,1,0.19043,1.714286,[12  9] ; [2 5],[10.5 10.5] ; [3.5 3.5],0
d3,1,0.198706,1.651861,[36 20] ; [15 15],[33.20930233 22.79069767] ; [17.79069767 12.20930233],0
p7,1,0.199762,1.64411,[27 28] ; [10 19],[24.22619048 30.77380952] ; [12.77380952 16.22619048],0
p1,1,0.216274,1.528922,[ 2 55] ; [ 3 27],[ 3.27586207 53.72413793] ; [ 1.72413793 28.27586207],0
p4,1,0.220738,1.499566,[23 33] ; [ 8 21],[20.42352941 35.57647059] ; [10.57647059 18.42352941],0
v3,1,0.270904,1.212164,[27 28] ; [11 19],[24.58823529 30.41176471] ; [13.41176471 16.58823529],0
r2,1,0.280766,1.163379,[53  4] ; [24  4],[51.63529412  5.36470588] ; [25.36470588  2.63529412],0
s4,1,0.289755,1.120761,[15 41] ; [ 5 25],[13.02325581 42.97674419] ; [ 6.97674419 23.02325581],0
a3,1,0.338583,0.915789,[36 21] ; [22  8],[38. 19.] ; [20. 10.],0
n6,1,0.377862,0.777645,[44 12] ; [21  9],[42.3255814 13.6744186] ; [22.6744186  7.3255814],0
r3,1,0.407241,0.686842,[54  3] ; [27  3],[53.06896552  3.93103448] ; [27.93103448  2.06896552],0
v4,1,0.412718,0.670958,[51  6] ; [25  5],[49.79310345  7.20689655] ; [26.20689655  3.79310345],0
a8,1,0.4218,0.645293,[ 7 45] ; [ 2 25],[ 5.92405063 46.07594937] ; [ 3.07594937 23.92405063],0
b2,1,0.496972,0.461396,[11 26] ; [ 7 11],[12.10909091 24.89090909] ; [ 5.89090909 12.10909091],0
b3,1,0.496972,0.461396,[11 26] ; [ 7 11],[12.10909091 24.89090909] ; [ 5.89090909 12.10909091],0
p10,1,0.516147,0.421585,[40 17] ; [19 11],[38.65517241 18.34482759] ; [20.34482759  9.65517241],0
n4,1,0.516147,0.421585,[40 17] ; [19 11],[38.65517241 18.34482759] ; [20.34482759  9.65517241],0
a1,1,0.553736,0.350666,[ 6 51] ; [ 2 28],[ 5.24137931 51.75862069] ; [ 2.75862069 27.24137931],0
d5,1,0.583683,0.300317,[44 12] ; [22  8],[42.97674419 13.02325581] ; [23.02325581  6.97674419],0
a2,1,0.611449,0.25807,[10 47] ; [ 4 26],[ 9.17241379 47.82758621] ; [ 4.82758621 25.17241379],0
d4,1,0.647257,0.209376,[47  9] ; [24  6],[46.23255814  9.76744186] ; [24.76744186  5.23255814],0
p3,1,0.66479,0.187757,[22 34] ; [10 19],[21.08235294 34.91764706] ; [10.91764706 18.08235294],0
b1,1,0.683476,0.166239,[24 33] ; [14 16],[24.89655172 32.10344828] ; [13.10344828 16.89655172],0
a6,1,0.715743,0.132608,[34 22] ; [17 13],[33.20930233 22.79069767] ; [17.79069767 12.20930233],0
a7,1,0.736686,0.11306,[40 17] ; [20 10],[39.31034483 17.68965517] ; [20.68965517  9.31034483],0
d2,1,0.768196,0.086869,[28 28] ; [14 16],[27.34883721 28.65116279] ; [14.65116279 15.34883721],0
n5,1,0.772936,0.083254,[36 21] ; [18 12],[35.37931034 21.62068966] ; [18.62068966 11.37931034],0
a4,1,0.788338,0.072076,[23 34] ; [13 17],[23.5862069 33.4137931] ; [12.4137931 17.5862069],0
u3,1,0.793475,0.06854,[12  9] ; [5 3],[12.31034483  8.68965517] ; [4.68965517 3.31034483],0
n1,1,0.837829,0.04189,[ 4 10] ; [3 9],[ 3.76923077 10.23076923] ; [3.23076923 8.76923077],0
a5,1,0.850042,0.035745,[41 16] ; [21  9],[40.62068966 16.37931034] ; [21.37931034  8.62068966],0
p8,1,0.879731,0.022895,[18 39] ; [ 9 21],[17.68965517 39.31034483] ; [ 9.31034483 20.68965517],0
