Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.396599,[106  12] ; [5 9],[99.22727273 18.77272727] ; [11.77272727  2.22727273],1
p2,1,2.3e-05,17.91179,[95 20] ; [4 9],[88.9453125 26.0546875] ; [10.0546875  2.9453125],1
r3,1,2.8e-05,17.530184,[112   5] ; [9 5],[108.06870229   8.93129771] ; [12.93129771  1.06870229],1
s8,1,0.000306,13.034356,[68 49] ; [ 1 13],[61.6259542 55.3740458] ; [7.3740458 6.6259542],1
p8,1,0.000372,12.666018,[65 48] ; [ 1 13],[58.72440945 54.27559055] ; [7.27559055 6.72440945],1
p7,1,0.000474,12.216431,[78 35] ; [ 3 11],[72.07086614 40.92913386] ; [8.92913386 5.07086614],1
p9,1,0.000564,11.890584,[99 15] ; [7 7],[94.40625 19.59375] ; [11.59375  2.40625],1
v1,1,0.001625,9.930993,[67 47] ; [ 2 12],[61.453125 52.546875] ; [7.546875 6.453125],0
s6,1,0.003173,8.70495,[82 33] ; [4 9],[77.265625 37.734375] ; [8.734375 4.265625],0
r1,1,0.003308,8.62954,[93 25] ; [6 8],[88.5 29.5] ; [10.5  3.5],0
n6,1,0.00615,7.505764,[100  16] ; [8 6],[96.36923077 19.63076923] ; [11.63076923  2.36923077],0
r2,1,0.008187,6.992196,[110   5] ; [10  3],[107.8125   7.1875] ; [12.1875  0.8125],0
n5,1,0.008418,6.94223,[94 22] ; [7 7],[90.12307692 25.87692308] ; [10.87692308  3.12307692],0
v3,1,0.009413,6.742781,[51 62] ; [ 1 12],[46.63492063 66.36507937] ; [5.36507937 7.63492063],0
p10,1,0.009603,6.70712,[92 22] ; [7 7],[88.171875 25.828125] ; [10.828125  3.171875],0
s7,1,0.011185,6.435674,[66 44] ; [ 3 10],[61.70731707 48.29268293] ; [7.29268293 5.70731707],0
p4,1,0.012894,6.183556,[72 42] ; [ 4 10],[67.6875 46.3125] ; [8.3125 5.6875],0
s2,1,0.013231,6.137986,[66 51] ; [ 3 11],[61.6259542 55.3740458] ; [7.3740458 6.6259542],0
a5,1,0.023234,5.150899,[103  15] ; [9 5],[100.12121212  17.87878788] ; [11.87878788  2.12121212],0
p6,1,0.042774,4.104324,[50 62] ; [ 2 11],[46.592 65.408] ; [5.408 7.592],0
p1,1,0.062839,3.460822,[  8 109] ; [ 3 11],[  9.82442748 107.17557252] ; [ 1.17557252 12.82442748],0
d5,1,0.069762,3.288608,[116   1] ; [13  1],[115.21374046   1.78625954] ; [13.78625954  0.21374046],0
n2,1,0.154441,2.027827,[20 11] ; [2 4],[18.43243243 12.56756757] ; [3.56756757 2.43243243],0
p3,1,0.168177,1.899121,[64 52] ; [5 9],[61.56923077 54.43076923] ; [7.43076923 6.56923077],0
b1,1,0.199302,1.647485,[63 55] ; [10  4],[65.25757576 52.74242424] ; [7.74242424 6.25757576],0
a3,1,0.206178,1.598063,[100  18] ; [10  4],[98.33333333 19.66666667] ; [11.66666667  2.33333333],0
a6,1,0.241308,1.372934,[44 74] ; [ 3 11],[42.01515152 75.98484848] ; [4.98484848 9.01515152],0
p11,1,0.253582,1.30346,[92 26] ; [9 5],[90.28787879 27.71212121] ; [10.71212121  3.28787879],0
n1,1,0.265854,1.238014,[13 18] ; [4 2],[14.24324324 16.75675676] ; [2.75675676 3.24324324],0
u3,1,0.268925,1.222222,[10  8] ; [1 3],[9. 9.] ; [2. 2.],0
s5,1,0.282505,1.154998,[52 60] ; [4 9],[50.176 61.824] ; [5.824 7.176],0
a4,1,0.310635,1.027973,[74 44] ; [10  3],[75.66412214 42.33587786] ; [8.33587786 4.66412214],0
s1,1,0.351027,0.869742,[  3 113] ; [ 1 13],[  3.56923077 112.43076923] ; [ 0.43076923 13.56923077],0
v2,1,0.364223,0.823281,[64 51] ; [6 8],[62.40310078 52.59689922] ; [7.59689922 6.40310078],0
b4,1,0.438855,0.599274,[63 55] ; [9 5],[64.36363636 53.63636364] ; [7.63636364 6.36363636],0
b2,1,0.471766,0.517837,[34 45] ; [6 5],[35.11111111 43.88888889] ; [4.88888889 6.11111111],0
b3,1,0.471766,0.517837,[34 45] ; [6 5],[35.11111111 43.88888889] ; [4.88888889 6.11111111],0
a2,1,0.497985,0.459229,[ 16 102] ; [ 1 13],[ 15.1969697 102.8030303] ; [ 1.8030303 12.1969697],0
n4,1,0.570231,0.322295,[98 18] ; [11  3],[97.26153846 18.73846154] ; [11.73846154  2.26153846],0
u4,1,0.621679,0.243514,[  5 113] ; [ 1 13],[  5.36363636 112.63636364] ; [ 0.63636364 13.36363636],0
s3,1,0.623253,0.241321,[66 50] ; [7 7],[65.13846154 50.86153846] ; [7.86153846 6.13846154],0
d3,1,0.690641,0.158393,[82 36] ; [9 5],[81.34848485 36.65151515] ; [9.65151515 4.34848485],0
n3,1,0.845318,0.038062,[20 11] ; [3 2],[19.80555556 11.19444444] ; [3.19444444 1.80555556],0
p5,1,0.960494,0.002454,[17 98] ; [ 2 12],[16.9379845 98.0620155] ; [ 2.0620155 11.9379845],0
b5,1,0.972348,0.001202,[50 68] ; [6 8],[50.06060606 67.93939394] ; [5.93939394 8.06060606],0
s4,1,0.991552,0.000112,[25 91] ; [ 3 11],[24.98461538 91.01538462] ; [ 3.01538462 10.98461538],0
