Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.1801,[57 10] ; [ 8 16],[47.85714286 19.14285714] ; [17.14285714  6.85714286],1
r1,1,2e-06,22.687773,[53 14] ; [ 6 18],[43.43956044 23.56043956] ; [15.56043956  8.43956044],1
a1,1,3.5e-05,17.138597,[ 1 67] ; [ 7 17],[ 5.91304348 62.08695652] ; [ 2.08695652 21.91304348],1
p11,1,0.000211,13.729306,[35 33] ; [ 2 22],[27.34782609 40.65217391] ; [ 9.65217391 14.34782609],1
d4,1,0.000269,13.277946,[57 11] ; [11 13],[50.26086957 17.73913043] ; [17.73913043  6.26086957],1
p2,1,0.000563,11.893515,[42 26] ; [ 5 19],[34.73913043 33.26086957] ; [12.26086957 11.73913043],1
v2,1,0.000627,11.692744,[31 32] ; [ 2 21],[24.1744186 38.8255814] ; [ 8.8255814 14.1744186],1
s6,1,0.001935,9.609815,[29 38] ; [ 2 22],[22.82417582 44.17582418] ; [ 8.17582418 15.82417582],0
s2,1,0.002231,9.348721,[29 39] ; [ 2 22],[22.91304348 45.08695652] ; [ 8.08695652 15.91304348],0
r2,1,0.004682,7.99854,[63  5] ; [16  7],[59.03296703  8.96703297] ; [19.96703297  3.03296703],0
b5,1,0.005927,7.572275,[42 26] ; [ 7 17],[36.2173913 31.7826087] ; [12.7826087 11.2173913],0
p9,1,0.007369,7.180798,[42 25] ; [ 7 16],[36.47777778 30.52222222] ; [12.52222222 10.47777778],0
n5,1,0.00761,7.123035,[19 49] ; [14 10],[24.39130435 43.60869565] ; [ 8.60869565 15.39130435],0
n3,1,0.008831,6.8566,[20  7] ; [4 9],[16.2 10.8] ; [7.8 5.2],0
p4,1,0.011298,6.417775,[20 48] ; [ 1 23],[15.52173913 52.47826087] ; [ 5.47826087 18.52173913],0
u3,1,0.015627,5.844381,[17  7] ; [3 8],[13.71428571 10.28571429] ; [6.28571429 4.71428571],0
b1,1,0.020411,5.376419,[24 44] ; [15  9],[28.82608696 39.17391304] ; [10.17391304 13.82608696],0
s3,1,0.024316,5.07193,[33 35] ; [ 5 18],[28.3956044 39.6043956] ; [ 9.6043956 13.3956044],0
s8,1,0.026975,4.892392,[17 51] ; [ 1 23],[13.30434783 54.69565217] ; [ 4.69565217 19.30434783],0
b2,1,0.033137,4.538705,[13 24] ; [9 4],[16.28 20.72] ; [5.72 7.28],0
b3,1,0.033137,4.538705,[13 24] ; [9 4],[16.28 20.72] ; [5.72 7.28],0
u2,1,0.038104,4.300395,[15  8] ; [3 8],[12.17647059 10.82352941] ; [5.82352941 5.17647059],0
d5,1,0.039114,4.255919,[52 16] ; [13 11],[48.04347826 19.95652174] ; [16.95652174  7.04347826],0
p10,1,0.053051,3.742325,[33 34] ; [ 6 17],[29.03333333 37.96666667] ; [ 9.96666667 13.03333333],0
p8,1,0.058053,3.592155,[14 53] ; [ 1 23],[11.04395604 55.95604396] ; [ 3.95604396 20.04395604],0
a7,1,0.058438,3.581169,[46 22] ; [11 13],[42.13043478 25.86956522] ; [14.86956522  9.13043478],0
a5,1,0.079156,3.082147,[45 23] ; [11 13],[41.39130435 26.60869565] ; [14.60869565  9.39130435],0
n2,1,0.101423,2.683024,[19 10] ; [5 8],[16.57142857 12.42857143] ; [7.42857143 5.57142857],0
s7,1,0.165096,1.92692,[17 45] ; [ 3 20],[14.58823529 47.41176471] ; [ 5.41176471 17.58823529],0
b4,1,0.174526,1.843631,[42 26] ; [11 13],[39.17391304 28.82608696] ; [13.82608696 10.17391304],0
p3,1,0.191286,1.707685,[17 50] ; [ 3 21],[14.72527473 52.27472527] ; [ 5.27472527 18.72527473],0
n4,1,0.193257,1.692616,[32 36] ; [15  9],[34.73913043 33.26086957] ; [12.26086957 11.73913043],0
d3,1,0.271001,1.211673,[40 28] ; [11 13],[37.69565217 30.30434783] ; [13.30434783 10.69565217],0
d1,1,0.296271,1.090906,[31 37] ; [ 8 16],[28.82608696 39.17391304] ; [10.17391304 13.82608696],0
v1,1,0.329381,0.951331,[30 37] ; [ 8 16],[27.97802198 39.02197802] ; [10.02197802 13.97802198],0
a8,1,0.421303,0.646678,[ 6 58] ; [ 1 23],[ 5.09090909 58.90909091] ; [ 1.90909091 22.09090909],0
p1,1,0.422594,0.643091,[ 7 60] ; [ 4 20],[ 8.0989011 58.9010989] ; [ 2.9010989 21.0989011],0
s1,1,0.476916,0.505907,[ 3 64] ; [ 2 22],[ 3.68131868 63.31868132] ; [ 1.31868132 22.68131868],0
a3,1,0.483084,0.491893,[44 24] ; [13 10],[42.59340659 25.40659341] ; [14.40659341  8.59340659],0
a6,1,0.513989,0.425938,[42 26] ; [13 11],[40.65217391 27.34782609] ; [14.34782609  9.65217391],0
a4,1,0.513989,0.425938,[26 42] ; [11 13],[27.34782609 40.65217391] ; [ 9.65217391 14.34782609],0
d2,1,0.513989,0.425938,[26 42] ; [11 13],[27.34782609 40.65217391] ; [ 9.65217391 14.34782609],0
s5,1,0.535879,0.383232,[11 50] ; [ 3 21],[10.04705882 50.95294118] ; [ 3.95294118 20.04705882],0
a2,1,0.53985,0.375817,[ 8 60] ; [ 4 20],[ 8.86956522 59.13043478] ; [ 3.13043478 20.86956522],0
s4,1,0.789687,0.071138,[10 58] ; [ 3 21],[ 9.60869565 58.39130435] ; [ 3.39130435 20.60869565],0
v3,1,0.904758,0.014317,[17 44] ; [ 7 17],[17.22352941 43.77647059] ; [ 6.77647059 17.22352941],0
n1,1,0.986903,0.000269,[13 15] ; [6 7],[12.97560976 15.02439024] ; [6.02439024 6.97560976],0
