Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,28.715861,[22 13] ; [ 2 38],[11.2 23.8] ; [12.8 27.2],1
a3,1,0.0,27.000014,[29  7] ; [ 8 31],[17.76 18.24] ; [19.24 19.76],1
d1,1,8e-06,20.052078,[21 15] ; [ 4 36],[11.84210526 24.15789474] ; [13.15789474 26.84210526],1
d2,1,2.2e-05,18.002492,[24 11] ; [ 8 32],[14.93333333 20.06666667] ; [17.06666667 22.93333333],1
d5,1,9.4e-05,15.261977,[29  7] ; [14 25],[20.64 15.36] ; [22.36 16.64],1
a6,1,0.005837,7.6,[24 12] ; [14 26],[18. 18.] ; [20. 20.],0
p2,1,0.011084,6.451836,[12 24] ; [25 15],[17.52631579 18.47368421] ; [19.47368421 20.52631579],0
d4,1,0.053028,3.743024,[25 11] ; [19 21],[20.84210526 15.15789474] ; [23.15789474 16.84210526],0
d3,1,0.102061,2.673045,[22 14] ; [16 22],[18.48648649 17.51351351] ; [19.51351351 18.48648649],0
s5,1,0.129233,2.301698,[10 23] ; [ 6 33],[ 7.33333333 25.66666667] ; [ 8.66666667 30.33333333],0
u1,1,0.13055,2.285947,[ 4 32] ; [ 1 39],[ 2.36842105 33.63157895] ; [ 2.63157895 37.36842105],0
a8,1,0.155037,2.021975,[ 4 32] ; [ 1 36],[ 2.46575342 33.53424658] ; [ 2.53424658 34.46575342],0
r2,1,0.165261,1.925419,[27  6] ; [27 13],[24.4109589  8.5890411] ; [29.5890411 10.4109589],0
p1,1,0.180891,1.790292,[ 5 31] ; [ 2 38],[ 3.31578947 32.68421053] ; [ 3.68421053 36.31578947],0
s6,1,0.186263,1.74693,[13 22] ; [ 9 30],[10.40540541 24.59459459] ; [11.59459459 27.40540541],0
u2,1,0.218601,1.513534,[1 6] ; [12 19],[2.39473684 4.60526316] ; [10.60526316 20.39473684],0
b2,1,0.224823,1.473319,[10  8] ; [ 8 14],[8.1 9.9] ; [ 9.9 12.1],0
b3,1,0.224823,1.473319,[10  8] ; [ 8 14],[8.1 9.9] ; [ 9.9 12.1],0
s1,1,0.255486,1.293056,[ 3 33] ; [ 1 39],[ 1.89473684 34.10526316] ; [ 2.10526316 37.89473684],0
v3,1,0.28516,1.142332,[ 6 29] ; [11 29],[ 7.93333333 27.06666667] ; [ 9.06666667 30.93333333],0
a7,1,0.30042,1.072327,[20 16] ; [17 22],[17.76 18.24] ; [19.24 19.76],0
b1,1,0.31534,1.008176,[23 13] ; [21 19],[20.84210526 15.15789474] ; [23.15789474 16.84210526],0
v2,1,0.32299,0.976801,[12 24] ; [ 9 30],[10.08 25.92] ; [10.92 28.08],0
p4,1,0.363962,0.824176,[14 21] ; [12 28],[12.13333333 22.86666667] ; [13.86666667 26.13333333],0
p3,1,0.371793,0.797663,[13 22] ; [11 29],[11.2 23.8] ; [12.8 27.2],0
s3,1,0.399003,0.711328,[15 20] ; [13 26],[13.24324324 21.75675676] ; [14.75675676 24.24324324],0
s2,1,0.420024,0.650249,[13 23] ; [11 29],[11.36842105 24.63157895] ; [12.63157895 27.36842105],0
b4,1,0.466768,0.529617,[15 21] ; [20 20],[16.57894737 19.42105263] ; [18.42105263 21.57894737],0
s7,1,0.468936,0.524481,[ 8 24] ; [ 7 32],[ 6.76056338 25.23943662] ; [ 8.23943662 30.76056338],0
n1,1,0.517613,0.418647,[6 9] ; [ 4 10],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
p9,1,0.542178,0.371518,[19 15] ; [18 19],[17.71830986 16.28169014] ; [19.28169014 17.71830986],0
u3,1,0.555126,0.348214,[3 4] ; [10 22],[2.33333333 4.66666667] ; [10.66666667 21.33333333],0
s4,1,0.561701,0.336767,[ 7 29] ; [10 30],[ 8.05263158 27.94736842] ; [ 8.94736842 31.05263158],0
p10,1,0.583397,0.300776,[12 24] ; [15 23],[13.13513514 22.86486486] ; [13.86486486 24.13513514],0
n6,1,0.590043,0.290278,[22 14] ; [22 18],[20.84210526 15.15789474] ; [23.15789474 16.84210526],0
v1,1,0.602168,0.271739,[10 26] ; [13 26],[11.04 24.96] ; [11.96 27.04],0
p8,1,0.6048,0.267817,[ 6 28] ; [ 9 31],[ 6.89189189 27.10810811] ; [ 8.10810811 31.89189189],0
p5,1,0.636602,0.223214,[ 1 34] ; [ 2 38],[ 1.4 33.6] ; [ 1.6 38.4],0
b5,1,0.710597,0.137681,[21 15] ; [25 15],[21.78947368 14.21052632] ; [24.21052632 15.78947368],0
r4,1,0.710597,0.137681,[15 21] ; [15 25],[14.21052632 21.78947368] ; [15.78947368 24.21052632],0
v4,1,0.754929,0.097436,[24 12] ; [28 12],[24.63157895 11.36842105] ; [27.36842105 12.63157895],0
n4,1,0.789592,0.071204,[20 16] ; [21 19],[19.42105263 16.57894737] ; [21.57894737 18.42105263],0
n2,1,0.836687,0.042491,[8 7] ; [8 6],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
n3,1,0.857541,0.032222,[7 8] ; [7 7],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
s8,1,0.858057,0.031987,[ 5 31] ; [ 5 35],[ 4.73684211 31.26315789] ; [ 5.26315789 34.73684211],0
a1,1,0.874775,0.024837,[ 4 32] ; [ 4 36],[ 3.78947368 32.21052632] ; [ 4.21052632 35.78947368],0
p7,1,0.882641,0.021792,[15 21] ; [16 24],[14.68421053 21.31578947] ; [16.31578947 23.68421053],0
r3,1,0.900956,0.015489,[22 14] ; [25 15],[22.26315789 13.73684211] ; [24.73684211 15.26315789],0
n5,1,0.96121,0.002365,[20 16] ; [22 18],[19.89473684 16.10526316] ; [22.10526316 17.89473684],0
p6,1,0.973192,0.001129,[ 6 28] ; [ 7 32],[ 6.05479452 27.94520548] ; [ 6.94520548 32.05479452],0
