Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000546,11.952663,[50  7] ; [48 31],[41.07352941 15.92647059] ; [56.92647059 22.07352941],1
s4,1,0.002452,9.176051,[18 41] ; [ 8 71],[11.11594203 47.88405797] ; [14.88405797 64.11594203],0
b5,1,0.002768,8.954368,[15 44] ; [40 39],[23.51449275 35.48550725] ; [31.48550725 47.51449275],0
r4,1,0.002858,8.896095,[54  5] ; [56 23],[47.02898551 11.97101449] ; [62.97101449 16.02898551],0
r1,1,0.002926,8.852871,[49 10] ; [47 32],[41.04347826 17.95652174] ; [54.95652174 24.04347826],0
d1,1,0.004646,8.012161,[39 20] ; [33 46],[30.7826087 28.2173913] ; [41.2173913 37.7826087],0
d5,1,0.005083,7.849569,[52  6] ; [55 24],[45.29927007 12.70072993] ; [61.70072993 17.29927007],0
d4,1,0.007455,7.159968,[51  7] ; [54 25],[44.45255474 13.54744526] ; [60.54744526 18.45255474],0
b4,1,0.009407,6.743948,[40 19] ; [36 43],[32.49275362 26.50724638] ; [43.50724638 35.49275362],0
p3,1,0.012463,6.243831,[45 14] ; [44 35],[38.05072464 20.94927536] ; [50.94927536 28.05072464],0
a4,1,0.015468,5.862334,[35 24] ; [30 48],[27.99270073 31.00729927] ; [37.00729927 40.99270073],0
p6,1,0.017946,5.601416,[33 26] ; [27 49],[26.22222222 32.77777778] ; [33.77777778 42.22222222],0
a1,1,0.018368,5.560666,[ 6 53] ; [ 1 78],[ 2.99275362 56.00724638] ; [ 4.00724638 74.99275362],0
d3,1,0.019254,5.478264,[38 21] ; [35 44],[31.21014493 27.78985507] ; [41.78985507 37.21014493],0
p7,1,0.021587,5.278744,[50  9] ; [52 25],[44.25 14.75] ; [57.75 19.25],0
p8,1,0.047373,3.932087,[43 16] ; [44 34],[37.46715328 21.53284672] ; [49.53284672 28.46715328],0
p5,1,0.057904,3.596426,[16 43] ; [11 67],[11.62773723 47.37226277] ; [15.37226277 62.62773723],0
s2,1,0.06428,3.423353,[37 22] ; [37 42],[31.63768116 27.36231884] ; [42.36231884 36.63768116],0
a5,1,0.075642,3.156135,[45 14] ; [49 30],[40.1884058 18.8115942] ; [53.8115942 25.1884058],0
s7,1,0.079848,3.067992,[39 18] ; [40 35],[34.11363636 22.88636364] ; [44.88636364 30.11363636],0
v4,1,0.084435,2.977399,[56  3] ; [67 11],[52.97080292  6.02919708] ; [70.02919708  7.97080292],0
r2,1,0.09927,2.717229,[54  5] ; [62 14],[50.6962963  8.3037037] ; [65.3037037 10.6962963],0
p2,1,0.12151,2.397744,[52  7] ; [60 17],[48.58823529 10.41176471] ; [63.41176471 13.58823529],0
v3,1,0.151713,2.054942,[29 29] ; [29 48],[24.91851852 33.08148148] ; [33.08148148 43.91851852],0
p1,1,0.157409,1.998944,[ 8 51] ; [ 5 73],[ 5.59854015 53.40145985] ; [ 7.40145985 70.59854015],0
n6,1,0.17034,1.879947,[51  8] ; [61 18],[47.88405797 11.11594203] ; [64.11594203 14.88405797],0
r3,1,0.193264,1.692555,[56  3] ; [70  9],[53.86956522  5.13043478] ; [72.13043478  6.86956522],0
n4,1,0.203663,1.615909,[50  9] ; [60 19],[47.02898551 11.97101449] ; [62.97101449 16.02898551],0
v1,1,0.204472,1.610139,[35 23] ; [38 39],[31.36296296 26.63703704] ; [41.63703704 35.36296296],0
p9,1,0.258126,1.278779,[52  7] ; [64 15],[49.5942029  9.4057971] ; [66.4057971 12.5942029],0
n2,1,0.330995,0.945,[12  3] ; [13  7],[10.71428571  4.28571429] ; [14.28571429  5.71428571],0
n5,1,0.351812,0.866911,[50  9] ; [62 17],[47.88405797 11.11594203] ; [64.11594203 14.88405797],0
b1,1,0.415014,0.664391,[34 25] ; [40 39],[31.63768116 27.36231884] ; [42.36231884 36.63768116],0
u4,1,0.427179,0.630481,[ 3 56] ; [ 2 77],[ 2.13768116 56.86231884] ; [ 2.86231884 76.13768116],0
s3,1,0.457523,0.551946,[37 22] ; [44 34],[34.88321168 24.11678832] ; [46.11678832 31.88321168],0
a8,1,0.457729,0.551443,[ 8 51] ; [ 7 67],[ 6.65413534 52.34586466] ; [ 8.34586466 65.65413534],0
u1,1,0.466396,0.530502,[ 1 58] ; [ 3 76],[ 1.71014493 57.28985507] ; [ 2.28985507 76.71014493],0
d2,1,0.47567,0.508774,[32 27] ; [38 41],[29.92753623 29.07246377] ; [40.07246377 38.92753623],0
a6,1,0.483362,0.491268,[19 40] ; [30 49],[20.94927536 38.05072464] ; [28.05072464 50.94927536],0
n1,1,0.514863,0.424172,[7 8] ; [11  8],[7.94117647 7.05882353] ; [10.05882353  8.94117647],0
v2,1,0.547807,0.36126,[31 28] ; [35 39],[29.27819549 29.72180451] ; [36.72180451 37.27819549],0
u3,1,0.553545,0.351005,[9 8] ; [10 13],[8.075 8.925] ; [10.925 12.075],0
b2,1,0.571473,0.320224,[17 20] ; [22 33],[15.68478261 21.31521739] ; [23.31521739 31.68478261],0
b3,1,0.571473,0.320224,[17 20] ; [22 33],[15.68478261 21.31521739] ; [23.31521739 31.68478261],0
p10,1,0.65065,0.205081,[48 11] ; [61 17],[46.94160584 12.05839416] ; [62.05839416 15.94160584],0
n3,1,0.725944,0.122868,[9 5] ; [14  6],[9.47058824 4.52941176] ; [13.52941176  6.47058824],0
p12,1,0.743195,0.107338,[ 3 56] ; [ 5 73],[ 3.44525547 55.55474453] ; [ 4.55474453 73.44525547],0
u2,1,0.801689,0.063082,[9 7] ; [12 11],[8.61538462 7.38461538] ; [12.38461538 10.61538462],0
a2,1,0.854987,0.033401,[ 4 55] ; [ 6 73],[ 4.27536232 54.72463768] ; [ 5.72463768 73.27536232],0
s1,1,0.876434,0.024177,[ 2 57] ; [ 3 74],[ 2.16911765 56.83088235] ; [ 2.83088235 74.16911765],0
p11,1,0.896571,0.016899,[45 14] ; [61 18],[45.31884058 13.68115942] ; [60.68115942 18.31884058],0
a3,1,0.969309,0.00148,[42 17] ; [56 23],[41.89855072 17.10144928] ; [56.10144928 22.89855072],0
s8,1,0.982026,0.000508,[32 27] ; [43 36],[32.06521739 26.93478261] ; [42.93478261 36.06521739],0
