Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,66.218957,[157  75] ; [ 41 118],[117.48337596 114.51662404] ; [80.51662404 78.48337596],1
p6,1,0.0,53.708648,[118 115] ; [ 23 136],[ 83.80867347 149.19132653] ; [ 57.19132653 101.80867347],1
p4,1,0.0,27.328544,[160  74] ; [67 93],[134.81725888  99.18274112] ; [92.18274112 67.81725888],1
p2,1,3e-06,22.039077,[206  27] ; [111  49],[187.94147583  45.05852417] ; [129.05852417  30.94147583],1
s6,1,1e-05,19.443051,[168  61] ; [82 77],[147.55154639  81.44845361] ; [102.44845361  56.55154639],1
p3,1,2.1e-05,18.12686,[126 108] ; [ 51 108],[105.38931298 128.61068702] ; [71.61068702 87.38931298],1
r4,1,3e-05,17.430353,[210  24] ; [118  42],[194.80203046  39.19796954] ; [133.19796954  26.80203046],1
r3,1,6.9e-05,15.832933,[220  13] ; [130  29],[208.03571429  24.96428571] ; [141.96428571  17.03571429],1
s8,1,7.8e-05,15.596328,[107 126] ; [ 42 118],[ 88.33842239 144.66157761] ; [60.66157761 99.33842239],1
p10,1,0.000187,13.952657,[196  36] ; [109  50],[180.97186701  51.02813299] ; [124.02813299  34.97186701],1
r1,1,0.000325,12.921585,[185  46] ; [102  58],[169.55754476  61.44245524] ; [117.44245524  42.55754476],1
s5,1,0.000625,11.700598,[ 86 144] ; [ 32 121],[ 70.8616188 159.1383812] ; [ 47.1383812 105.8616188],1
v4,1,0.001763,9.781399,[219  13] ; [136  24],[210.10204082  21.89795918] ; [144.89795918  15.10204082],0
p11,1,0.00187,9.673172,[190  44] ; [108  52],[176.98477157  57.01522843] ; [121.01522843  38.98477157],0
s2,1,0.003449,8.553428,[121 113] ; [ 58 100],[106.85204082 127.14795918] ; [72.14795918 85.85204082],0
v1,1,0.010577,6.535045,[118 112] ; [59 96],[105.74025974 124.25974026] ; [71.25974026 83.74025974],0
s3,1,0.012339,6.261424,[136  98] ; [72 87],[123.84732824 110.15267176] ; [84.15267176 74.84732824],0
p9,1,0.01314,6.150117,[198  33] ; [119  38],[188.72938144  42.27061856] ; [128.27061856  28.72938144],0
d5,1,0.01343,6.111559,[189  45] ; [112  48],[178.76649746  55.23350254] ; [122.23350254  37.76649746],0
v2,1,0.019411,5.464107,[ 97 131] ; [ 48 108],[ 86.09375 141.90625] ; [58.90625 97.09375],0
r2,1,0.024388,5.066825,[216  15] ; [138  21],[209.67692308  21.32307692] ; [144.32307692  14.67692308],0
s7,1,0.034416,4.473925,[107 114] ; [58 97],[ 96.98138298 124.01861702] ; [68.01861702 86.98138298],0
n3,1,0.057542,3.60686,[36 11] ; [33 23],[31.48543689 15.51456311] ; [37.51456311 18.48543689],0
a7,1,0.064382,3.420752,[167  67] ; [100  60],[158.57360406  75.42639594] ; [108.42639594  51.57360406],0
s1,1,0.07018,3.278812,[  5 226] ; [  9 151],[  8.27109974 222.72890026] ; [  5.72890026 154.27109974],0
a8,1,0.083506,2.995311,[ 40 176] ; [ 18 134],[ 34.04347826 181.95652174] ; [ 23.95652174 128.04347826],0
p5,1,0.095011,2.78735,[ 28 204] ; [ 11 148],[ 23.14066496 208.85933504] ; [ 15.85933504 143.14066496],0
p1,1,0.09958,2.712262,[ 13 220] ; [ 16 144],[ 17.19338422 215.80661578] ; [ 11.80661578 148.19338422],0
u2,1,0.120845,2.406332,[39 32] ; [23 33],[34.66141732 36.33858268] ; [27.33858268 28.66141732],0
d3,1,0.168467,1.896533,[150  83] ; [92 68],[143.47582697  89.52417303] ; [98.52417303 61.47582697],0
p12,1,0.191352,1.707174,[ 16 217] ; [  6 153],[ 13.07653061 219.92346939] ; [  8.92346939 150.07653061],0
n2,1,0.21483,1.538577,[38 10] ; [39 18],[35.2 12.8] ; [41.8 15.2],0
n4,1,0.237578,1.39491,[201  32] ; [131  29],[196.8346056  36.1653944] ; [135.1653944  24.8346056],0
a6,1,0.240896,1.375345,[161  73] ; [101  59],[155.60406091  78.39593909] ; [106.39593909  53.60406091],0
a4,1,0.287167,1.132857,[ 95 138] ; [73 85],[100.11253197 132.88746803] ; [67.88746803 90.11253197],0
d4,1,0.299844,1.074889,[181  52] ; [117  43],[176.67684478  56.32315522] ; [121.32315522  38.67684478],0
a1,1,0.306244,1.046805,[  7 227] ; [  8 152],[  8.90862944 225.09137056] ; [  6.09137056 153.90862944],0
b4,1,0.316004,1.005416,[127 107] ; [95 65],[131.84771574 102.15228426] ; [90.15228426 69.84771574],0
s4,1,0.321561,0.982587,[ 50 179] ; [ 28 130],[ 46.15503876 182.84496124] ; [ 31.84496124 126.15503876],0
d1,1,0.339062,0.913974,[127 107] ; [79 81],[122.34517766 111.65482234] ; [83.65482234 76.34517766],0
u4,1,0.374243,0.789528,[  2 232] ; [  3 157],[  2.96954315 231.03045685] ; [  2.03045685 157.96954315],0
b5,1,0.431236,0.619492,[137  97] ; [100  60],[140.75634518  93.24365482] ; [96.24365482 63.75634518],0
n6,1,0.451551,0.566755,[204  29] ; [135  24],[201.49744898  31.50255102] ; [137.50255102  21.49744898],0
u1,1,0.469572,0.522983,[ 40 194] ; [ 23 137],[ 37.41624365 196.58375635] ; [ 25.58375635 134.41624365],0
a3,1,0.478522,0.502229,[162  72] ; [104  54],[158.78571429  75.21428571] ; [107.21428571  50.78571429],0
b1,1,0.532073,0.390431,[101 133] ; [64 96],[ 97.99492386 136.00507614] ; [67.00507614 92.99492386],0
a2,1,0.561197,0.337636,[ 51 183] ; [ 31 129],[ 48.70050761 185.29949239] ; [ 33.29949239 126.70050761],0
u3,1,0.608432,0.262465,[38 34] ; [27 29],[36.5625 35.4375] ; [28.4375 27.5625],0
d2,1,0.704714,0.143614,[108 126] ; [76 82],[109.83673469 124.16326531] ; [74.16326531 83.83673469],0
b2,1,0.707303,0.140986,[53 93] ; [36 57],[54.36820084 91.63179916] ; [34.63179916 58.36820084],0
