Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,66.508838,[49 98] ; [123  31],[84. 63.] ; [88. 66.],1
p4,1,0.0,27.267368,[58 88] ; [108  47],[80.51827243 65.48172757] ; [85.48172757 69.51827243],1
p10,1,2e-06,22.824647,[93 52] ; [135  19],[110.56856187  34.43143813] ; [117.43143813  36.56856187],1
p3,1,2e-06,22.771177,[ 47 100] ; [92 63],[67.6589404 79.3410596] ; [71.3410596 83.6589404],1
p11,1,2e-06,22.499381,[91 56] ; [133  22],[109.03311258  37.96688742] ; [114.96688742  40.03311258],1
p9,1,4e-06,21.370682,[97 48] ; [137  17],[113.47826087  31.52173913] ; [120.52173913  33.47826087],1
p2,1,1.7e-05,18.515905,[100  47] ; [137  18],[115.36092715  31.63907285] ; [121.63907285  33.36092715],1
p6,1,1.8e-05,18.415061,[ 30 116] ; [67 86],[47.36454849 98.63545151] ; [ 49.63545151 103.36454849],1
v1,1,0.003266,8.652663,[62 84] ; [91 62],[74.7090301 71.2909699] ; [78.2909699 74.7090301],0
p5,1,0.005426,7.731613,[  7 140] ; [ 22 133],[ 14.11589404 132.88410596] ; [ 14.88410596 140.11589404],0
r4,1,0.011934,6.32072,[119  28] ; [141  14],[126.55629139  20.44370861] ; [133.44370861  21.55629139],0
a5,1,0.013304,6.128189,[97 50] ; [122  33],[106.59933775  40.40066225] ; [112.40066225  42.59933775],0
v4,1,0.019076,5.494533,[131  16] ; [149   6],[136.29139073  10.70860927] ; [143.70860927  11.29139073],0
n5,1,0.020129,5.400657,[85 60] ; [110  44],[94.56521739 50.43478261] ; [100.43478261  53.56521739],0
r2,1,0.032871,4.552509,[127  19] ; [145   9],[132.37333333  13.62666667] ; [139.62666667  14.37333333],0
n6,1,0.038639,4.276681,[110  37] ; [130  24],[117.20930233  29.79069767] ; [122.79069767  31.20930233],0
b1,1,0.042378,4.12003,[59 88] ; [ 45 110],[50.62251656 96.37748344] ; [ 53.37748344 101.62251656],0
n2,1,0.062977,3.457208,[27 20] ; [22  6],[30.70666667 16.29333333] ; [18.29333333  9.70666667],0
r1,1,0.064588,3.415476,[105  42] ; [124  30],[111.8372093  35.1627907] ; [117.1627907  36.8372093],0
p12,1,0.120299,2.413427,[  4 143] ; [ 10 144],[  6.8372093 140.1627907] ; [  7.1627907 146.8372093],0
p1,1,0.121078,2.403322,[  8 138] ; [ 16 139],[ 11.64119601 134.35880399] ; [ 12.35880399 142.64119601],0
r3,1,0.126601,2.333695,[133  13] ; [148   7],[136.29900332   9.70099668] ; [144.70099668  10.29900332],0
d4,1,0.146462,2.108723,[126  21] ; [123  32],[121.20198675  25.79801325] ; [127.79801325  27.20198675],0
s2,1,0.176336,1.828236,[ 16 130] ; [ 25 128],[ 20.02006689 125.97993311] ; [ 20.97993311 132.02006689],0
n4,1,0.19062,1.712816,[99 48] ; [115  40],[104.16556291  42.83443709] ; [109.83443709  45.16556291],0
s7,1,0.195769,1.673661,[ 34 107] ; [44 98],[ 38.86219081 102.13780919] ; [ 39.13780919 102.86219081],0
s6,1,0.209606,1.574148,[58 89] ; [70 80],[63.35353535 83.64646465] ; [64.64646465 85.35353535],0
d2,1,0.225419,1.469534,[68 79] ; [61 94],[62.79139073 84.20860927] ; [66.20860927 88.79139073],0
s5,1,0.244177,1.356318,[ 25 121] ; [ 34 117],[ 29.003367 116.996633] ; [ 29.996633 121.003367],0
b2,1,0.24817,1.333574,[35 53] ; [28 61],[31.3220339 56.6779661] ; [31.6779661 57.3220339],0
b3,1,0.24817,1.333574,[35 53] ; [28 61],[31.3220339 56.6779661] ; [31.6779661 57.3220339],0
b4,1,0.261173,1.262531,[90 57] ; [85 70],[85.18211921 61.81788079] ; [89.81788079 65.18211921],0
a3,1,0.293163,1.105039,[104  42] ; [101  53],[99.76666667 46.23333333] ; [105.23333333  48.76666667],0
a4,1,0.293601,1.103033,[68 79] ; [62 92],[63.48837209 83.51162791] ; [66.51162791 87.48837209],0
u1,1,0.335517,0.927486,[ 30 117] ; [ 25 130],[ 26.77152318 120.22847682] ; [ 28.22847682 126.77152318],0
s1,1,0.340397,0.908935,[  1 145] ; [  3 151],[  1.94666667 144.05333333] ; [  2.05333333 151.94666667],0
a2,1,0.35249,0.864473,[ 41 106] ; [ 36 119],[ 37.48013245 109.51986755] ; [ 39.51986755 115.48013245],0
a1,1,0.368046,0.810251,[  9 138] ; [  6 149],[  7.3013245 139.6986755] ; [  7.6986755 147.3013245],0
s4,1,0.490898,0.474556,[ 17 128] ; [ 14 137],[ 15.18581081 129.81418919] ; [ 15.81418919 135.18581081],0
s8,1,0.537522,0.380152,[ 33 114] ; [ 39 114],[ 35.28 111.72] ; [ 36.72 116.28],0
v2,1,0.54461,0.367061,[76 68] ; [85 66],[78.58983051 65.41016949] ; [82.41016949 68.58983051],0
d1,1,0.599943,0.275081,[80 67] ; [89 66],[82.2615894 64.7384106] ; [86.7384106 68.2615894],0
d5,1,0.678612,0.171692,[124  23] ; [128  27],[122.66225166  24.33774834] ; [129.33774834  25.66225166],0
b5,1,0.742254,0.108155,[96 51] ; [104  51],[97.35099338 49.64900662] ; [102.64900662  52.35099338],0
u3,1,0.760179,0.093175,[23 20] ; [30 23],[23.73958333 19.26041667] ; [29.26041667 23.73958333],0
v3,1,0.890942,0.0188,[52 93] ; [53 98],[51.43581081 93.56418919] ; [53.56418919 97.43581081],0
u2,1,0.917782,0.010656,[23 19] ; [29 25],[22.75 19.25] ; [29.25 24.75],0
d3,1,0.919562,0.010198,[110  36] ; [116  39],[109.62126246  36.37873754] ; [116.37873754  38.62126246],0
u4,1,0.970006,0.001414,[  1 146] ; [  1 154],[  0.97350993 146.02649007] ; [  1.02649007 153.97350993],0
