Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.002354,9.250859,[15  2] ; [5 9],[10.96774194  6.03225806] ; [9.03225806 4.96774194],0
p11,1,0.007655,7.112421,[13  4] ; [ 4 10],[9.32258065 7.67741935] ; [7.67741935 6.32258065],0
b1,1,0.019826,5.427171,[ 5 12] ; [10  4],[8.22580645 8.77419355] ; [6.77419355 7.22580645],0
n5,1,0.022183,5.231398,[14  3] ; [6 8],[10.96774194  6.03225806] ; [9.03225806 4.96774194],0
s6,1,0.025185,5.011154,[9 8] ; [ 2 12],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
s8,1,0.031154,4.644478,[ 7 10] ; [ 1 13],[ 4.38709677 12.61290323] ; [ 3.61290323 10.38709677],0
p10,1,0.033754,4.507119,[10  6] ; [ 3 10],[7.17241379 8.82758621] ; [5.82758621 7.17241379],0
s2,1,0.04985,3.846495,[ 6 10] ; [ 1 13],[ 3.73333333 12.26666667] ; [ 3.26666667 10.73333333],0
p4,1,0.073035,3.213456,[9 8] ; [ 3 11],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
d2,1,0.073035,3.213456,[9 8] ; [ 3 11],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
p9,1,0.089019,2.892033,[10  6] ; [4 9],[7.72413793 8.27586207] ; [6.27586207 6.72413793],0
v1,1,0.100695,2.694508,[ 7 10] ; [ 2 12],[ 4.93548387 12.06451613] ; [4.06451613 9.93548387],0
v3,1,0.118337,2.439188,[ 5 12] ; [ 1 13],[ 3.29032258 13.70967742] ; [ 2.70967742 11.29032258],0
v2,1,0.126613,2.333549,[ 7 10] ; [ 2 11],[ 5.1 11.9] ; [3.9 9.1],0
r3,1,0.143235,2.142857,[10  6] ; [5 9],[8. 8.] ; [7. 7.],0
a2,1,0.198814,1.651066,[ 1 16] ; [ 3 11],[ 2.19354839 14.80645161] ; [ 1.80645161 12.19354839],0
p8,1,0.221719,1.493213,[ 6 11] ; [ 2 11],[ 4.53333333 12.46666667] ; [3.46666667 9.53333333],0
a7,1,0.2238,1.479839,[ 6 11] ; [8 6],[7.67741935 9.32258065] ; [6.32258065 7.67741935],0
d3,1,0.24179,1.370128,[ 7 10] ; [ 3 11],[ 5.48387097 11.51612903] ; [4.51612903 9.48387097],0
s7,1,0.254478,1.298551,[ 4 12] ; [ 1 11],[ 2.85714286 13.14285714] ; [2.14285714 9.85714286],0
n3,1,0.303052,1.060714,[4 1] ; [3 3],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
p3,1,0.316151,1.004802,[ 5 12] ; [ 2 12],[ 3.83870968 13.16129032] ; [ 3.16129032 10.83870968],0
d1,1,0.316151,1.004802,[ 5 12] ; [ 2 12],[ 3.83870968 13.16129032] ; [ 3.16129032 10.83870968],0
p2,1,0.337482,0.919974,[9 8] ; [5 9],[7.67741935 9.32258065] ; [6.32258065 7.67741935],0
d5,1,0.337482,0.919974,[9 8] ; [5 9],[7.67741935 9.32258065] ; [6.32258065 7.67741935],0
a4,1,0.436198,0.606264,[ 5 12] ; [6 8],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
b4,1,0.456996,0.553243,[13  4] ; [9 5],[12.06451613  4.93548387] ; [9.93548387 4.06451613],0
s4,1,0.664901,0.187625,[ 2 15] ; [ 1 13],[ 1.64516129 15.35483871] ; [ 1.35483871 12.64516129],0
s1,1,0.664901,0.187625,[ 2 15] ; [ 1 13],[ 1.64516129 15.35483871] ; [ 1.35483871 12.64516129],0
d4,1,0.667031,0.185095,[11  6] ; [8 6],[10.41935484  6.58064516] ; [8.58064516 5.41935484],0
p7,1,0.667031,0.185095,[ 6 11] ; [6 8],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
r1,1,0.690279,0.158784,[ 6 11] ; [ 4 10],[ 5.48387097 11.51612903] ; [4.51612903 9.48387097],0
n1,1,0.740144,0.11,[2 3] ; [3 3],[2.27272727 2.72727273] ; [2.72727273 3.27272727],0
n2,1,0.740144,0.11,[3 2] ; [3 3],[2.72727273 2.27272727] ; [3.27272727 2.72727273],0
p6,1,0.743421,0.107143,[ 3 13] ; [ 2 12],[ 2.66666667 13.33333333] ; [ 2.33333333 11.66666667],0
a6,1,0.756014,0.096547,[ 7 10] ; [5 9],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
a8,1,0.774826,0.081835,[ 3 13] ; [ 3 10],[ 3.31034483 12.68965517] ; [ 2.68965517 10.31034483],0
a3,1,0.785144,0.074323,[10  7] ; [7 6],[9.63333333 7.36666667] ; [7.36666667 5.63333333],0
b5,1,0.924813,0.008906,[10  7] ; [8 6],[9.87096774 7.12903226] ; [8.12903226 5.87096774],0
a5,1,0.924813,0.008906,[10  7] ; [8 6],[9.87096774 7.12903226] ; [8.12903226 5.87096774],0
b3,1,0.962486,0.002212,[ 3 10] ; [2 7],[ 2.95454545 10.04545455] ; [2.04545455 6.95454545],0
b2,1,0.962486,0.002212,[ 3 10] ; [2 7],[ 2.95454545 10.04545455] ; [2.04545455 6.95454545],0
s3,1,0.977797,0.000775,[ 5 11] ; [4 9],[ 4.96551724 11.03448276] ; [4.03448276 8.96551724],0
u2,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
