Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.324675,0.970021,[17 11] ; [22 23],[14.95890411 13.04109589] ; [24.04109589 20.95890411],0
s3,1,0.327187,0.96,[13 14] ; [27 18],[15. 12.] ; [25. 20.],0
d5,1,0.347568,0.882318,[19  9] ; [35 10],[20.71232877  7.28767123] ; [33.28767123 11.71232877],0
v1,1,0.383995,0.757872,[12 16] ; [24 21],[13.80821918 14.19178082] ; [22.19178082 22.80821918],0
p1,1,0.392715,0.730519,[ 2 26] ; [ 6 38],[ 3.11111111 24.88888889] ; [ 4.88888889 39.11111111],0
s5,1,0.456057,0.555556,[ 7 21] ; [14 28],[ 8.4 19.6] ; [12.6 29.4],0
d1,1,0.465097,0.5336,[15 13] ; [28 17],[16.49315068 11.50684932] ; [26.50684932 18.49315068],0
d2,1,0.492455,0.471159,[12 16] ; [23 22],[13.42465753 14.57534247] ; [21.57534247 23.42465753],0
a2,1,0.523627,0.406744,[ 6 22] ; [ 7 38],[ 4.98630137 23.01369863] ; [ 8.01369863 36.98630137],0
r2,1,0.57204,0.319281,[27  1] ; [42  3],[26.46575342  1.53424658] ; [42.53424658  2.46575342],0
n6,1,0.576646,0.311688,[20  8] ; [34 10],[21.  7.] ; [33. 11.],0
b4,1,0.588972,0.291952,[15 13] ; [27 18],[16.10958904 11.89041096] ; [25.89041096 19.10958904],0
n1,1,0.664558,0.188034,[6 5] ; [7 4],[6.5 4.5] ; [6.5 4.5],0
u1,1,0.695467,0.153231,[ 4 24] ; [ 8 37],[ 4.60273973 23.39726027] ; [ 7.39726027 37.60273973],0
a3,1,0.712261,0.136029,[16 11] ; [28 16],[16.73239437 10.26760563] ; [27.26760563 16.73239437],0
p9,1,0.749291,0.102128,[17 10] ; [30 15],[17.625  9.375] ; [29.375 15.625],0
n3,1,0.794625,0.067761,[7 5] ; [7 4],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
n4,1,0.834876,0.043452,[18 10] ; [30 15],[18.4109589  9.5890411] ; [29.5890411 15.4109589],0
b2,1,0.886436,0.020396,[3 8] ; [ 6 18],[2.82857143 8.17142857] ; [ 6.17142857 17.82857143],0
b3,1,0.886436,0.020396,[3 8] ; [ 6 18],[2.82857143 8.17142857] ; [ 6.17142857 17.82857143],0
a8,1,0.888535,0.019644,[ 2 21] ; [ 3 36],[ 1.85483871 21.14516129] ; [ 3.14516129 35.85483871],0
r3,1,0.931887,0.007305,[25  3] ; [39  5],[24.88888889  3.11111111] ; [39.11111111  4.88888889],0
v4,1,0.937571,0.006134,[26  2] ; [42  3],[26.08219178  1.91780822] ; [41.91780822  3.08219178],0
a4,1,0.950529,0.003849,[11 16] ; [18 27],[10.875 16.125] ; [18.125 26.875],0
p10,1,0.951642,0.003678,[17 11] ; [27 18],[16.87671233 11.12328767] ; [27.12328767 17.87671233],0
