Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.00186,9.683286,[32  8] ; [ 9 13],[26.4516129 13.5483871] ; [14.5483871  7.4516129],0
s3,1,0.004939,7.901748,[18 22] ; [18  4],[23.22580645 16.77419355] ; [12.77419355  9.22580645],0
d5,1,0.008739,6.875445,[34  6] ; [12 10],[29.67741935 10.32258065] ; [16.32258065  5.67741935],0
d3,1,0.014548,5.970405,[29 11] ; [ 9 13],[24.51612903 15.48387097] ; [13.48387097  8.51612903],0
s5,1,0.021012,5.325789,[ 7 30] ; [10 11],[10.84482759 26.15517241] ; [ 6.15517241 14.84482759],0
s4,1,0.022651,5.195048,[ 6 34] ; [ 9 13],[ 9.67741935 30.32258065] ; [ 5.32258065 16.67741935],0
n1,1,0.030754,4.666667,[1 6] ; [5 2],[3. 4.] ; [3. 4.],0
p9,1,0.034626,4.463545,[32  8] ; [12 10],[28.38709677 11.61290323] ; [15.61290323  6.38709677],0
v4,1,0.034831,4.453459,[38  2] ; [17  5],[35.48387097  4.51612903] ; [19.51612903  2.48387097],0
a5,1,0.043852,4.062241,[33  7] ; [13  9],[29.67741935 10.32258065] ; [16.32258065  5.67741935],0
r1,1,0.061341,3.500755,[33  6] ; [14  8],[30.04918033  8.95081967] ; [16.95081967  5.04918033],0
p2,1,0.065451,3.393561,[35  5] ; [15  7],[32.25806452  7.74193548] ; [17.74193548  4.25806452],0
u2,1,0.088676,2.898254,[5 4] ; [9 1],[6.63157895 2.36842105] ; [7.36842105 2.63157895],0
b5,1,0.090434,2.866624,[27 13] ; [10 12],[23.87096774 16.12903226] ; [13.12903226  8.87096774],0
r2,1,0.093007,2.821537,[38  2] ; [18  4],[36.12903226  3.87096774] ; [19.87096774  2.12903226],0
a3,1,0.099251,2.717532,[30 10] ; [12 10],[27.09677419 12.90322581] ; [14.90322581  7.09677419],0
u3,1,0.121335,2.4,[9 1] ; [6 4],[7.5 2.5] ; [7.5 2.5],0
a2,1,0.129248,2.301515,[10 30] ; [ 2 20],[ 7.74193548 32.25806452] ; [ 4.25806452 17.74193548],0
s7,1,0.149821,2.074074,[11 25] ; [10 10],[13.5 22.5] ; [ 7.5 12.5],0
v2,1,0.171916,1.866152,[21 16] ; [ 8 13],[18.5 18.5] ; [10.5 10.5],0
p1,1,0.173459,1.852792,[ 4 36] ; [ 5 17],[ 5.80645161 34.19354839] ; [ 3.19354839 18.80645161],0
r4,1,0.173459,1.852792,[36  4] ; [17  5],[34.19354839  5.80645161] ; [18.80645161  3.19354839],0
d1,1,0.211024,1.564384,[23 17] ; [ 9 13],[20.64516129 19.35483871] ; [11.35483871 10.64516129],0
b4,1,0.223075,1.484478,[19 21] ; [14  8],[21.29032258 18.70967742] ; [11.70967742 10.29032258],0
p10,1,0.223645,1.480826,[28 12] ; [12 10],[25.80645161 14.19354839] ; [14.19354839  7.80645161],0
p6,1,0.250829,1.318681,[12 28] ; [ 9 11],[14. 26.] ; [ 7. 13.],0
p7,1,0.310134,1.030105,[28 11] ; [13  9],[26.21311475 12.78688525] ; [14.78688525  7.21311475],0
b3,1,0.313812,1.014566,[ 6 17] ; [ 7 10],[ 7.475 15.525] ; [ 5.525 11.475],0
b2,1,0.313812,1.014566,[ 6 17] ; [ 7 10],[ 7.475 15.525] ; [ 5.525 11.475],0
a4,1,0.408691,0.682606,[17 23] ; [ 7 15],[15.48387097 24.51612903] ; [ 8.51612903 13.48387097],0
s6,1,0.408691,0.682606,[23 17] ; [15  7],[24.51612903 15.48387097] ; [13.48387097  8.51612903],0
n5,1,0.490796,0.47478,[14 25] ; [ 6 16],[12.78688525 26.21311475] ; [ 7.21311475 14.78688525],0
n2,1,0.514828,0.424242,[5 2] ; [6 1],[5.5 1.5] ; [5.5 1.5],0
b1,1,0.523407,0.407175,[24 16] ; [15  7],[25.16129032 14.83870968] ; [13.83870968  8.16129032],0
v1,1,0.529006,0.3963,[18 21] ; [12 10],[19.18032787 19.81967213] ; [10.81967213 11.18032787],0
s2,1,0.570184,0.322374,[17 23] ; [11 11],[18.06451613 21.93548387] ; [ 9.93548387 12.06451613],0
a8,1,0.627077,0.236045,[ 2 33] ; [ 2 20],[ 2.45614035 32.54385965] ; [ 1.54385965 20.45614035],0
p5,1,0.650484,0.20529,[ 3 37] ; [ 1 21],[ 2.58064516 37.41935484] ; [ 1.41935484 20.58064516],0
a1,1,0.662728,0.190227,[ 1 39] ; [ 1 21],[ 1.29032258 38.70967742] ; [ 0.70967742 21.29032258],0
p8,1,0.731845,0.117424,[20 20] ; [12 10],[20.64516129 19.35483871] ; [11.35483871 10.64516129],0
s8,1,0.778511,0.079107,[16 24] ; [ 8 14],[15.48387097 24.51612903] ; [ 8.51612903 13.48387097],0
p4,1,0.792026,0.069528,[25 15] ; [13  9],[24.51612903 15.48387097] ; [13.48387097  8.51612903],0
p11,1,0.792026,0.069528,[25 15] ; [13  9],[24.51612903 15.48387097] ; [13.48387097  8.51612903],0
v3,1,0.837788,0.041912,[11 27] ; [ 6 13],[11.33333333 26.66666667] ; [ 5.66666667 13.33333333],0
d4,1,0.862353,0.030061,[32  8] ; [18  4],[32.25806452  7.74193548] ; [17.74193548  4.25806452],0
r3,1,0.907776,0.01342,[36  4] ; [20  2],[36.12903226  3.87096774] ; [19.87096774  2.12903226],0
n4,1,0.972549,0.001184,[22 18] ; [12 10],[21.93548387 18.06451613] ; [12.06451613  9.93548387],0
d2,1,0.972549,0.001184,[18 22] ; [10 12],[18.06451613 21.93548387] ; [ 9.93548387 12.06451613],0
