Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.4e-05,17.194489,[100  35] ; [16 25],[88.97727273 46.02272727] ; [27.02272727 13.97727273],1
d3,1,0.000244,13.457863,[105  29] ; [20 21],[95.71428571 38.28571429] ; [29.28571429 11.71428571],1
r3,1,0.00047,12.231525,[128   6] ; [32  9],[122.51428571  11.48571429] ; [37.48571429  3.51428571],1
d5,1,0.000769,11.31394,[103  32] ; [20 21],[94.34659091 40.65340909] ; [28.65340909 12.34659091],1
d4,1,0.005834,7.600894,[112  23] ; [25 15],[105.68571429  29.31428571] ; [31.31428571  8.68571429],0
s6,1,0.009697,6.689734,[86 48] ; [17 24],[78.86857143 55.13142857] ; [24.13142857 16.86857143],0
p10,1,0.012576,6.227812,[104  29] ; [24 17],[97.83908046 35.16091954] ; [30.16091954 10.83908046],0
r4,1,0.013078,6.158549,[113  22] ; [27 14],[107.38636364  27.61363636] ; [32.61363636  8.38636364],0
d1,1,0.013985,6.040029,[69 66] ; [12 29],[62.13068182 72.86931818] ; [18.86931818 22.13068182],0
r1,1,0.017468,5.648712,[101  33] ; [23 18],[94.94857143 39.05142857] ; [29.05142857 11.94857143],0
v2,1,0.022687,5.192337,[68 60] ; [13 27],[61.71428571 66.28571429] ; [19.28571429 20.71428571],0
b1,1,0.023471,5.13331,[40 95] ; [20 21],[46.02272727 88.97727273] ; [13.97727273 27.02272727],0
v3,1,0.03837,4.288561,[36 92] ; [ 5 36],[31.05325444 96.94674556] ; [ 9.94674556 31.05325444],0
p9,1,0.039748,4.228622,[113  20] ; [29 12],[108.54022989  24.45977011] ; [33.45977011  7.54022989],0
r2,1,0.041774,4.144331,[123  11] ; [33  8],[119.45142857  14.54857143] ; [36.54857143  4.45142857],0
a1,1,0.048864,3.88002,[  2 133] ; [ 3 38],[  3.83522727 131.16477273] ; [ 1.16477273 39.83522727],0
u1,1,0.048983,3.875934,[ 18 117] ; [ 1 40],[ 14.57386364 120.42613636] ; [ 4.42613636 36.57386364],0
s7,1,0.053223,3.736888,[49 83] ; [ 8 31],[44. 88.] ; [13. 26.],0
s2,1,0.061369,3.5,[63 72] ; [12 28],[57.85714286 77.14285714] ; [17.14285714 22.85714286],0
v4,1,0.067301,3.347658,[128   6] ; [35  5],[125.52873563   8.47126437] ; [37.47126437  2.52873563],0
s8,1,0.073115,3.211664,[50 85] ; [ 9 32],[45.25568182 89.74431818] ; [13.74431818 27.25568182],0
a2,1,0.091997,2.839076,[ 20 115] ; [ 2 39],[ 16.875 118.125] ; [ 5.125 35.875],0
p7,1,0.111864,2.527689,[76 52] ; [30 11],[80.28402367 47.71597633] ; [25.71597633 15.28402367],0
n5,1,0.114906,2.485413,[44 90] ; [19 22],[48.24 85.76] ; [14.76 26.24],0
s3,1,0.117706,2.447587,[71 63] ; [16 25],[66.61714286 67.38285714] ; [20.38285714 20.61714286],0
a8,1,0.126263,2.337861,[  5 119] ; [ 4 34],[  6.88888889 117.11111111] ; [ 2.11111111 35.88888889],0
u3,1,0.234729,1.411971,[34 20] ; [ 9 10],[31.80821918 22.19178082] ; [11.19178082  7.80821918],0
b5,1,0.278477,1.174509,[82 53] ; [21 20],[79.00568182 55.99431818] ; [23.99431818 17.00568182],0
p5,1,0.305769,1.048863,[  9 126] ; [ 1 40],[  7.67045455 127.32954545] ; [ 2.32954545 38.67045455],0
n3,1,0.313525,1.01577,[34 12] ; [11  7],[32.34375 13.65625] ; [12.65625  5.34375],0
b2,1,0.323387,0.975198,[20 41] ; [ 5 18],[18.1547619 42.8452381] ; [ 6.8452381 16.1547619],0
b3,1,0.323387,0.975198,[20 41] ; [ 5 18],[18.1547619 42.8452381] ; [ 6.8452381 16.1547619],0
a5,1,0.351893,0.86662,[77 58] ; [20 21],[74.40340909 60.59659091] ; [22.59659091 18.40340909],0
u2,1,0.36896,0.807163,[32 22] ; [ 9 10],[30.32876712 23.67123288] ; [10.67123288  8.32876712],0
s1,1,0.372223,0.796231,[  1 133] ; [ 1 40],[  1.53142857 132.46857143] ; [ 0.46857143 40.53142857],0
p8,1,0.468463,0.525599,[67 66] ; [18 23],[64.97126437 68.02873563] ; [20.02873563 20.97126437],0
b4,1,0.47041,0.521014,[81 54] ; [22 19],[79.00568182 55.99431818] ; [23.99431818 17.00568182],0
p1,1,0.47133,0.518857,[  6 128] ; [ 3 38],[  6.89142857 127.10857143] ; [ 2.10857143 38.89142857],0
n2,1,0.480478,0.497778,[31 14] ; [14  4],[32.14285714 12.85714286] ; [12.85714286  5.14285714],0
p11,1,0.528257,0.397744,[99 36] ; [28 13],[97.41477273 37.58522727] ; [29.58522727 11.41477273],0
n6,1,0.550402,0.356598,[91 42] ; [26 15],[89.43103448 43.56896552] ; [27.56896552 13.43103448],0
p6,1,0.599116,0.276332,[ 32 101] ; [11 28],[33.25 99.75] ; [ 9.75 29.25],0
p4,1,0.633388,0.227494,[65 70] ; [18 23],[63.66477273 71.33522727] ; [19.33522727 21.66477273],0
a4,1,0.671808,0.179494,[ 35 100] ; [12 29],[36.05113636 98.94886364] ; [10.94886364 30.05113636],0
a3,1,0.692371,0.15653,[79 56] ; [22 18],[77.91428571 57.08571429] ; [23.08571429 16.91428571],0
p3,1,0.758114,0.094839,[53 82] ; [15 26],[52.15909091 82.84090909] ; [15.84090909 25.15909091],0
