Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.307117,[21 16] ; [17 92],[ 9.63013699 27.36986301] ; [28.36986301 80.63013699],1
s6,1,7e-06,20.145008,[29  8] ; [39 70],[17.23287671 19.76712329] ; [50.76712329 58.23287671],1
s2,1,0.000396,12.550262,[21 16] ; [27 81],[12.24827586 24.75172414] ; [35.75172414 72.24827586],1
p10,1,0.006661,7.362252,[28  9] ; [53 53],[20.95804196 16.04195804] ; [60.04195804 45.95804196],0
s3,1,0.01023,6.594384,[23 13] ; [42 65],[16.36363636 19.63636364] ; [48.63636364 58.36363636],0
s5,1,0.012733,6.205799,[10 26] ; [11 93],[ 5.4 30.6] ; [15.6 88.4],0
v4,1,0.015891,5.814923,[34  2] ; [83 26],[29.04827586  6.95172414] ; [87.95172414 21.04827586],0
v1,1,0.019252,5.478477,[22 14] ; [41 65],[15.97183099 20.02816901] ; [47.02816901 58.97183099],0
v2,1,0.021915,5.252504,[21 12] ; [42 61],[15.28676471 17.71323529] ; [47.71323529 55.28676471],0
u3,1,0.024764,5.040295,[9 1] ; [22 21],[5.8490566 4.1509434] ; [25.1509434 17.8490566],0
p9,1,0.041811,4.142844,[29  8] ; [64 43],[23.89583333 13.10416667] ; [69.10416667 37.89583333],0
p5,1,0.045686,3.993124,[ 4 32] ; [  3 104],[ 1.76223776 34.23776224] ; [  5.23776224 101.76223776],0
p7,1,0.051419,3.794564,[22 14] ; [44 60],[16.97142857 19.02857143] ; [49.02857143 54.97142857],0
u2,1,0.070526,3.270726,[8 1] ; [25 19],[5.60377358 3.39622642] ; [27.39622642 16.60377358],0
a5,1,0.079529,3.074499,[28  9] ; [65 44],[23.56849315 13.43150685] ; [69.43150685 39.56849315],0
d3,1,0.080291,3.059009,[25 11] ; [57 51],[20.5 15.5] ; [61.5 46.5],0
p4,1,0.11111,2.538368,[19 18] ; [39 68],[14.90277778 22.09722222] ; [43.09722222 63.90277778],0
n2,1,0.118004,2.443609,[12  2] ; [24 14],[9.69230769 4.30769231] ; [26.30769231 11.69230769],0
p2,1,0.126879,2.330285,[27 10] ; [63 44],[23.125 13.875] ; [66.875 40.125],0
p11,1,0.127643,2.320936,[25 12] ; [58 51],[21.03424658 15.96575342] ; [61.96575342 47.03424658],0
r4,1,0.134122,2.244137,[29  8] ; [71 38],[25.34246575 11.65753425] ; [74.65753425 34.34246575],0
a1,1,0.157375,1.999268,[ 1 36] ; [11 98],[ 3.04109589 33.95890411] ; [  8.95890411 100.04109589],0
a3,1,0.16332,1.943214,[27 10] ; [65 43],[23.47586207 13.52413793] ; [68.52413793 39.47586207],0
r3,1,0.163616,1.940484,[33  4] ; [86 23],[30.15753425  6.84246575] ; [88.84246575 20.15753425],0
d1,1,0.17688,1.823647,[20 17] ; [45 64],[16.47260274 20.52739726] ; [48.52739726 60.47260274],0
a2,1,0.178398,1.810917,[ 9 28] ; [16 93],[ 6.33561644 30.66438356] ; [18.66438356 90.33561644],0
n4,1,0.183964,1.765308,[23 14] ; [54 55],[19.51369863 17.48630137] ; [57.48630137 51.51369863],0
v3,1,0.184511,1.760912,[12 21] ; [25 77],[ 9.04444444 23.95555556] ; [27.95555556 74.04444444],0
r2,1,0.295771,1.093165,[32  3] ; [92 17],[30.13888889  4.86111111] ; [93.86111111 15.13888889],0
n1,1,0.314419,1.01202,[7 6] ; [14 23],[5.46 7.54] ; [15.54 21.46],0
a6,1,0.328963,0.952975,[26 10] ; [69 40],[23.5862069 12.4137931] ; [71.4137931 37.5862069],0
r1,1,0.356024,0.85187,[28  9] ; [73 35],[25.77241379 11.22758621] ; [75.22758621 32.77241379],0
b1,1,0.39439,0.725365,[22 15] ; [56 53],[19.76712329 17.23287671] ; [58.23287671 50.76712329],0
d4,1,0.406242,0.689772,[28  8] ; [77 32],[26.06896552  9.93103448] ; [78.93103448 30.06896552],0
p3,1,0.416101,0.661302,[13 24] ; [30 77],[11.04861111 25.95138889] ; [31.95138889 75.04861111],0
b5,1,0.427166,0.630515,[20 17] ; [67 42],[22.04794521 14.95205479] ; [64.95205479 44.04794521],0
a8,1,0.51387,0.42618,[ 5 29] ; [11 93],[ 3.94202899 30.05797101] ; [12.05797101 91.94202899],0
n3,1,0.536594,0.381888,[10  4] ; [23 14],[9.05882353 4.94117647] ; [23.94117647 13.05882353],0
d5,1,0.545187,0.36601,[27  9] ; [76 33],[25.57241379 10.42758621] ; [77.42758621 31.57241379],0
a4,1,0.56781,0.32636,[11 26] ; [38 71],[12.41780822 24.58219178] ; [36.58219178 72.41780822],0
u1,1,0.569394,0.323698,[ 3 34] ; [  6 103],[ 2.28082192 34.71917808] ; [  6.71917808 102.28082192],0
n5,1,0.6296,0.232603,[18 18] ; [49 59],[16.75 19.25] ; [50.25 57.75],0
p6,1,0.652608,0.202627,[ 5 32] ; [17 85],[ 5.85611511 31.14388489] ; [16.14388489 85.85611511],0
s1,1,0.660073,0.193435,[ 2 35] ; [ 8 98],[ 2.58741259 34.41258741] ; [ 7.41258741 98.58741259],0
b2,1,0.696868,0.151751,[ 8 16] ; [18 44],[ 7.25581395 16.74418605] ; [18.74418605 43.25581395],0
b3,1,0.696868,0.151751,[ 8 16] ; [18 44],[ 7.25581395 16.74418605] ; [18.74418605 43.25581395],0
d2,1,0.813874,0.055428,[15 21] ; [43 66],[14.4 21.6] ; [43.6 65.4],0
p8,1,0.828587,0.046878,[14 23] ; [38 68],[13.45454545 23.54545455] ; [38.54545455 67.45454545],0
a7,1,0.895126,0.017377,[24 13] ; [72 37],[24.32876712 12.67123288] ; [71.67123288 37.32876712],0
p12,1,0.974283,0.001039,[ 1 36] ; [  3 104],[ 1.02777778 35.97222222] ; [  2.97222222 104.02777778],0
p1,1,0.977288,0.00081,[ 3 34] ; [  9 100],[ 3.04109589 33.95890411] ; [  8.95890411 100.04109589],0
b4,1,0.989503,0.000173,[21 16] ; [62 47],[21.03424658 15.96575342] ; [61.96575342 47.03424658],0
