Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000385,12.602905,[64 14] ; [15 16],[56.53211009 21.46788991] ; [22.46788991  8.53211009],1
p10,1,0.003612,8.469031,[62 16] ; [16 15],[55.81651376 22.18348624] ; [22.18348624  8.81651376],0
n6,1,0.004432,8.097848,[67  9] ; [20 11],[61.79439252 14.20560748] ; [25.20560748  5.79439252],0
v3,1,0.027334,4.869563,[31 41] ; [ 6 24],[26.11764706 45.88235294] ; [10.88235294 19.11764706],0
a5,1,0.027431,4.863504,[53 25] ; [14 17],[47.94495413 30.05504587] ; [19.05504587 11.94495413],0
a6,1,0.085238,2.962084,[51 26] ; [15 16],[47.05555556 29.94444444] ; [18.94444444 12.05555556],0
b1,1,0.118371,2.438739,[38 40] ; [10 21],[34.34862385 43.65137615] ; [13.65137615 17.34862385],0
a2,1,0.125984,2.341299,[14 64] ; [ 2 29],[11.44954128 66.55045872] ; [ 4.55045872 26.44954128],0
p5,1,0.130646,2.284816,[10 65] ; [ 1 29],[ 7.85714286 67.14285714] ; [ 3.14285714 26.85714286],0
p7,1,0.151821,2.05386,[30 44] ; [ 8 23],[26.78095238 47.21904762] ; [11.21904762 19.78095238],0
p9,1,0.15349,2.037216,[60 18] ; [19 11],[57.05555556 20.94444444] ; [21.94444444  8.05555556],0
p3,1,0.157172,2.001225,[31 46] ; [ 8 23],[27.80555556 49.19444444] ; [11.19444444 19.80555556],0
a7,1,0.167357,1.906464,[49 29] ; [15 16],[45.79816514 32.20183486] ; [18.20183486 12.79816514],0
s8,1,0.168166,1.899214,[36 41] ; [10 21],[32.7962963 44.2037037] ; [13.2037037 17.7962963],0
d2,1,0.171576,1.869118,[38 38] ; [11 20],[34.80373832 41.19626168] ; [14.19626168 16.80373832],0
s4,1,0.227931,1.453728,[12 64] ; [ 8 23],[14.20560748 61.79439252] ; [ 5.79439252 25.20560748],0
p1,1,0.228926,1.447523,[ 8 70] ; [ 1 30],[ 6.44036697 71.55963303] ; [ 2.55963303 28.44036697],0
s3,1,0.236273,1.402695,[39 37] ; [12 19],[36.22429907 39.77570093] ; [14.77570093 16.22429907],0
d1,1,0.261855,1.258922,[42 36] ; [13 18],[39.35779817 38.64220183] ; [15.64220183 15.35779817],0
a3,1,0.281973,1.157558,[49 29] ; [16 15],[46.51376147 31.48623853] ; [18.48623853 12.51376147],0
p12,1,0.337881,0.918457,[10 68] ; [ 2 29],[ 8.58715596 69.41284404] ; [ 3.41284404 27.58715596],0
r4,1,0.352274,0.865248,[65 13] ; [28  3],[66.55045872 11.44954128] ; [26.44954128  4.55045872],0
