Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.015293,5.882353,[ 6 45] ; [4 5],[ 8.5 42.5] ; [1.5 7.5],0
s7,1,0.018176,5.579151,[17 31] ; [7 2],[20.21052632 27.78947368] ; [3.78947368 5.21052632],0
s8,1,0.021398,5.294118,[14 37] ; [6 3],[17. 34.] ; [3. 6.],0
a4,1,0.023709,5.115784,[19 32] ; [7 2],[22.1 28.9] ; [3.9 5.1],0
p4,1,0.030746,4.667098,[15 36] ; [6 3],[17.85 33.15] ; [3.15 5.85],0
a6,1,0.034354,4.476976,[26 25] ; [8 1],[28.9 22.1] ; [5.1 3.9],0
n6,1,0.072004,3.236738,[42  9] ; [5 4],[39.95 11.05] ; [7.05 1.95],0
a2,1,0.094781,2.791234,[ 6 45] ; [3 6],[ 7.65 43.35] ; [1.35 7.65],0
b3,1,0.096451,2.763269,[ 4 19] ; [3 3],[ 5.55172414 17.44827586] ; [1.44827586 4.55172414],0
b2,1,0.096451,2.763269,[ 4 19] ; [3 3],[ 5.55172414 17.44827586] ; [1.44827586 4.55172414],0
p8,1,0.101287,2.685156,[ 6 44] ; [3 6],[ 7.62711864 42.37288136] ; [1.37288136 7.62711864],0
r1,1,0.125047,2.352941,[36 15] ; [4 5],[34. 17.] ; [6. 3.],0
p2,1,0.165664,1.921746,[27 24] ; [7 2],[28.9 22.1] ; [5.1 3.9],0
s6,1,0.178339,1.811409,[37 11] ; [5 4],[35.36842105 12.63157895] ; [6.63157895 2.36842105],0
b1,1,0.17984,1.798942,[17 34] ; [1 8],[15.3 35.7] ; [2.7 6.3],0
p3,1,0.190826,1.71123,[12 39] ; [4 5],[13.6 37.4] ; [2.4 6.6],0
a7,1,0.213633,1.546632,[35 16] ; [8 1],[36.55 14.45] ; [6.45 2.55],0
b5,1,0.213633,1.546632,[35 16] ; [8 1],[36.55 14.45] ; [6.45 2.55],0
d3,1,0.252366,1.31016,[36 15] ; [8 1],[37.4 13.6] ; [6.6 2.4],0
s5,1,0.274786,1.192698,[16 29] ; [4 3],[17.30769231 27.69230769] ; [2.69230769 4.30769231],0
d1,1,0.278076,1.176471,[24 27] ; [6 3],[25.5 25.5] ; [4.5 4.5],0
n1,1,0.349445,0.87547,[ 5 14] ; [2 2],[ 5.7826087 13.2173913] ; [1.2173913 2.7826087],0
a8,1,0.352853,0.863171,[ 2 44] ; [1 7],[ 2.55555556 43.44444444] ; [0.44444444 7.55555556],0
p1,1,0.361558,0.832473,[ 2 49] ; [1 8],[ 2.55 48.45] ; [0.45 8.55],0
a5,1,0.383362,0.759894,[32 19] ; [7 2],[33.15 17.85] ; [5.85 3.15],0
b4,1,0.383362,0.759894,[32 19] ; [7 2],[33.15 17.85] ; [5.85 3.15],0
s2,1,0.440973,0.59375,[31 17] ; [7 2],[32. 16.] ; [6. 3.],0
v3,1,0.455006,0.558152,[11 39] ; [1 8],[10.16949153 39.83050847] ; [1.83050847 7.16949153],0
d2,1,0.489938,0.476662,[22 29] ; [5 4],[22.95 28.05] ; [4.05 4.95],0
r3,1,0.510439,0.433167,[44  7] ; [7 2],[43.35  7.65] ; [7.65 1.35],0
n2,1,0.524052,0.405911,[11  8] ; [3 1],[11.56521739  7.43478261] ; [2.43478261 1.56521739],0
n3,1,0.524052,0.405911,[11  8] ; [3 1],[11.56521739  7.43478261] ; [2.43478261 1.56521739],0
u2,1,0.534428,0.385965,[ 9 10] ; [2 1],[9.5 9.5] ; [1.5 1.5],0
r4,1,0.543618,0.368875,[41 10] ; [8 1],[41.65  9.35] ; [7.35 1.65],0
s3,1,0.575862,0.312972,[32 17] ; [5 4],[31.25862069 17.74137931] ; [5.74137931 3.25862069],0
d5,1,0.580758,0.305011,[35 16] ; [7 2],[35.7 15.3] ; [6.3 2.7],0
v2,1,0.705796,0.142512,[20 30] ; [3 6],[19.49152542 30.50847458] ; [3.50847458 5.49152542],0
n4,1,0.737902,0.111979,[31 20] ; [6 3],[31.45 19.55] ; [5.55 3.45],0
s1,1,0.757696,0.095177,[ 4 46] ; [1 8],[ 4.23728814 45.76271186] ; [0.76271186 8.23728814],0
a3,1,0.821916,0.050661,[32 19] ; [6 3],[32.3 18.7] ; [5.7 3.3],0
v1,1,0.821916,0.050661,[19 32] ; [3 6],[18.7 32.3] ; [3.3 5.7],0
n5,1,0.854531,0.033613,[30 21] ; [5 4],[29.75 21.25] ; [5.25 3.75],0
p10,1,0.877755,0.023659,[32 18] ; [6 3],[32.20338983 17.79661017] ; [5.79661017 3.20338983],0
p11,1,0.941837,0.005323,[29 22] ; [5 4],[28.9 22.1] ; [5.1 3.9],0
u3,1,0.951655,0.003676,[13  6] ; [2 1],[12.95454545  6.04545455] ; [2.04545455 0.95454545],0
