Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,21.979483,[309 177] ; [76  9],[327.6882662 158.3117338] ; [57.3117338 27.6882662],1
s2,1,1.6e-05,18.627902,[230 258] ; [61 23],[248.26573427 239.73426573] ; [42.73426573 41.26573427],1
s3,1,2.3e-05,17.916653,[262 221] ; [67 18],[279.76584507 203.23415493] ; [49.23415493 35.76584507],1
s5,1,0.000262,13.321978,[155 327] ; [43 38],[169.51332149 312.48667851] ; [28.48667851 52.51332149],1
a8,1,0.005648,7.659426,[ 76 369] ; [ 4 76],[ 67.80952381 377.19047619] ; [12.19047619 67.80952381],0
b3,1,0.007172,7.229436,[136 184] ; [10 36],[127.65027322 192.34972678] ; [18.34972678 27.65027322],0
b2,1,0.007172,7.229436,[136 184] ; [10 36],[127.65027322 192.34972678] ; [18.34972678 27.65027322],0
s7,1,0.011714,6.353718,[228 242] ; [55 32],[238.79712747 231.20287253] ; [44.20287253 42.79712747],0
p6,1,0.015701,5.836082,[168 316] ; [42 45],[178.00350263 305.99649737] ; [31.99649737 55.00350263],0
v2,1,0.020642,5.356737,[299 173] ; [42 42],[289.48201439 182.51798561] ; [51.51798561 32.48201439],0
p9,1,0.060933,3.511803,[424  62] ; [82  5],[429.17277487  56.82722513] ; [76.82722513 10.17277487],0
v3,1,0.060967,3.510871,[210 264] ; [28 56],[202.17204301 271.82795699] ; [35.82795699 48.17204301],0
p4,1,0.08387,2.988261,[301 188] ; [62 25],[308.171875 180.828125] ; [54.828125 32.171875],0
p10,1,0.113385,2.506393,[419  70] ; [80  7],[423.63020833  65.36979167] ; [75.36979167 11.63020833],0
n6,1,0.146366,2.109722,[423  68] ; [79  7],[427.17850953  63.82149047] ; [74.82149047 11.17850953],0
a7,1,0.148114,2.091565,[364 127] ; [58 29],[358.48096886 132.51903114] ; [63.51903114 23.48096886],0
p3,1,0.215732,1.532539,[252 238] ; [51 36],[257.31369151 232.68630849] ; [45.68630849 41.31369151],0
p2,1,0.223197,1.483699,[429  61] ; [72 15],[425.4592721  64.5407279] ; [75.5407279 11.4592721],0
r4,1,0.227745,1.454888,[476  18] ; [86  1],[477.84509466  16.15490534] ; [84.15490534  2.84509466],0
s8,1,0.237444,1.395704,[225 264] ; [46 41],[230.06770833 258.93229167] ; [40.93229167 46.06770833],0
u2,1,0.247383,1.338023,[85 50] ; [11 11],[82.5477707 52.4522293] ; [13.4522293  8.5477707],0
u1,1,0.249967,1.323488,[ 93 401] ; [21 66],[ 96.92943201 397.07056799] ; [17.07056799 69.92943201],0
d3,1,0.276819,1.182642,[345 147] ; [66 21],[349.24352332 142.75647668] ; [61.75647668 25.24352332],0
r2,1,0.281105,1.161741,[473  16] ; [86  1],[474.56770833  14.43229167] ; [84.43229167  2.56770833],0
n4,1,0.295027,1.096539,[404  90] ; [67 20],[400.47160069  93.52839931] ; [70.52839931 16.47160069],0
v4,1,0.324215,0.971866,[476  15] ; [85  1],[477.3847487  13.6152513] ; [83.6152513  2.3847487],0
v1,1,0.370777,0.801058,[281 198] ; [46 40],[277.22654867 201.77345133] ; [49.77345133 36.22654867],0
d5,1,0.407865,0.685014,[403  89] ; [68 19],[400.22797927  91.77202073] ; [70.77202073 16.22797927],0
a5,1,0.432376,0.616432,[387 106] ; [65 22],[384.2 108.8] ; [67.8 19.2],0
u4,1,0.456764,0.553814,[ 12 482] ; [ 1 86],[ 11.05335628 482.94664372] ; [ 1.94664372 85.05335628],0
n2,1,0.477289,0.505051,[65 23] ; [10  2],[66. 22.] ; [9. 3.],0
b5,1,0.504472,0.445517,[282 212] ; [53 34],[284.83648881 209.16351119] ; [50.16351119 36.83648881],0
d2,1,0.52265,0.40866,[244 247] ; [40 47],[241.25259516 249.74740484] ; [42.74740484 44.25259516],0
d4,1,0.531525,0.391474,[413  77] ; [71 16],[411.02253033  78.97746967] ; [72.97746967 14.02253033],0
