Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.34167,[111  14] ; [3 6],[106.34328358  18.65671642] ; [7.65671642 1.34328358],1
p9,1,0.000238,13.505191,[95 27] ; [2 7],[90.33587786 31.66412214] ; [6.66412214 2.33587786],1
r3,1,0.007697,7.10262,[121   4] ; [7 2],[119.40298507   5.59701493] ; [8.59701493 0.40298507],0
s1,1,0.007697,7.10262,[  4 121] ; [2 7],[  5.59701493 119.40298507] ; [0.40298507 8.59701493],0
r1,1,0.008552,6.914173,[101  23] ; [4 5],[97.89473684 26.10526316] ; [7.10526316 1.89473684],0
p10,1,0.014732,5.948217,[88 34] ; [3 6],[84.7480916 37.2519084] ; [6.2519084 2.7480916],0
b1,1,0.052231,3.768344,[43 82] ; [6 3],[45.70895522 79.29104478] ; [3.29104478 5.70895522],0
n6,1,0.070346,3.274936,[79 45] ; [3 6],[76.45112782 47.54887218] ; [5.54887218 3.45112782],0
s3,1,0.112526,2.518384,[61 62] ; [2 7],[58.70454545 64.29545455] ; [4.29545455 4.70454545],0
v4,1,0.112813,2.514362,[116   9] ; [7 2],[114.73880597  10.26119403] ; [8.26119403 0.73880597],0
s7,1,0.172011,1.865326,[47 70] ; [1 6],[45.29032258 71.70967742] ; [2.70967742 4.29032258],0
s2,1,0.172409,1.861875,[57 68] ; [2 7],[55.03731343 69.96268657] ; [3.96268657 5.03731343],0
p2,1,0.184162,1.76371,[93 30] ; [5 4],[91.31818182 31.68181818] ; [6.68181818 2.31818182],0
p7,1,0.210292,1.569415,[67 55] ; [3 6],[65.19083969 56.80916031] ; [4.80916031 4.19083969],0
p8,1,0.230183,1.439728,[52 70] ; [2 7],[50.29007634 71.70992366] ; [3.70992366 5.29007634],0
b2,1,0.241823,1.369935,[24 42] ; [1 6],[22.60273973 43.39726027] ; [2.39726027 4.60273973],0
b3,1,0.241823,1.369935,[24 42] ; [1 6],[22.60273973 43.39726027] ; [2.39726027 4.60273973],0
v2,1,0.277848,1.177584,[74 44] ; [4 5],[72.47244094 45.52755906] ; [5.52755906 3.47244094],0
p11,1,0.28569,1.139824,[78 47] ; [4 5],[76.49253731 48.50746269] ; [5.50746269 3.49253731],0
a3,1,0.294202,1.100291,[90 35] ; [5 4],[88.61940299 36.38059701] ; [6.38059701 2.61940299],0
p6,1,0.296065,1.091837,[36 85] ; [1 7],[34.70542636 86.29457364] ; [2.29457364 5.70542636],0
u3,1,0.306535,1.045547,[26  9] ; [2 2],[25.12820513  9.87179487] ; [2.87179487 1.12820513],0
n4,1,0.310976,1.026528,[49 76] ; [2 7],[47.57462687 77.42537313] ; [3.42537313 5.57462687],0
s6,1,0.318905,0.99343,[76 48] ; [4 5],[74.58646617 49.41353383] ; [5.41353383 3.58646617],0
p3,1,0.323866,0.973272,[53 71] ; [2 6],[51.66666667 72.33333333] ; [3.33333333 4.66666667],0
p4,1,0.370466,0.802101,[60 63] ; [3 6],[58.70454545 64.29545455] ; [4.29545455 4.70454545],0
s4,1,0.375825,0.784313,[30 95] ; [1 8],[28.91791045 96.08208955] ; [2.08208955 6.91791045],0
s8,1,0.402838,0.69984,[45 80] ; [2 7],[43.84328358 81.15671642] ; [3.15671642 5.84328358],0
a5,1,0.530205,0.393999,[95 30] ; [6 3],[94.21641791 30.78358209] ; [6.78358209 2.21641791],0
b5,1,0.576401,0.31209,[81 44] ; [5 4],[80.2238806 44.7761194] ; [5.7761194 3.2238806],0
p1,1,0.596591,0.280168,[  8 115] ; [1 8],[  8.38636364 114.61363636] ; [0.61363636 8.38636364],0
b4,1,0.646964,0.209749,[79 46] ; [5 4],[78.35820896 46.64179104] ; [5.64179104 3.35820896],0
u2,1,0.708992,0.139286,[23 12] ; [3 1],[23.33333333 11.66666667] ; [2.66666667 1.33333333],0
n2,1,0.728973,0.120057,[23 16] ; [2 2],[22.6744186 16.3255814] ; [2.3255814 1.6744186],0
a4,1,0.765094,0.08928,[62 63] ; [4 5],[61.56716418 63.43283582] ; [4.43283582 4.56716418],0
v1,1,0.765642,0.088852,[46 74] ; [3 6],[45.58139535 74.41860465] ; [3.41860465 5.58139535],0
a2,1,0.862366,0.030055,[31 94] ; [2 7],[30.78358209 94.21641791] ; [2.21641791 6.78358209],0
v3,1,0.885978,0.020562,[36 80] ; [3 6],[36.192 79.808] ; [2.808 6.192],0
a7,1,0.919265,0.010274,[99 26] ; [7 2],[98.88059701 26.11940299] ; [7.11940299 1.88059701],0
a6,1,0.934044,0.006849,[85 40] ; [6 3],[84.8880597 40.1119403] ; [6.1119403 2.8880597],0
d2,1,0.934044,0.006849,[85 40] ; [6 3],[84.8880597 40.1119403] ; [6.1119403 2.8880597],0
n3,1,0.977675,0.000783,[29 10] ; [3 1],[29.02325581  9.97674419] ; [2.97674419 1.02325581],0
