Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000201,13.823005,[29 12] ; [ 9 24],[21.05405405 19.94594595] ; [16.94594595 16.05405405],1
n5,1,0.00108,10.684587,[25 15] ; [ 8 25],[18.08219178 21.91780822] ; [14.91780822 18.08219178],0
v4,1,0.00492,7.908429,[39  1] ; [25  8],[35.06849315  4.93150685] ; [28.93150685  4.06849315],0
p4,1,0.013111,6.154123,[25 15] ; [11 22],[19.7260274 20.2739726] ; [16.2739726 16.7260274],0
p6,1,0.013948,6.044729,[15 24] ; [ 4 28],[10.43661972 28.56338028] ; [ 8.56338028 23.43661972],0
p10,1,0.014306,6.0,[30 10] ; [15 17],[25. 15.] ; [20. 12.],0
p3,1,0.018073,5.589094,[21 19] ; [ 8 24],[16.11111111 23.88888889] ; [12.88888889 19.11111111],0
b3,1,0.0362,4.387676,[ 5 21] ; [8 8],[ 8.04761905 17.95238095] ; [ 4.95238095 11.04761905],0
b2,1,0.0362,4.387676,[ 5 21] ; [8 8],[ 8.04761905 17.95238095] ; [ 4.95238095 11.04761905],0
n4,1,0.039664,4.232218,[26 15] ; [13 20],[21.60810811 19.39189189] ; [17.39189189 15.60810811],0
p8,1,0.043878,4.06125,[22 18] ; [10 22],[17.77777778 22.22222222] ; [14.22222222 17.77777778],0
d4,1,0.052795,3.750396,[30 11] ; [30  3],[33.24324324  7.75675676] ; [26.75675676  6.24324324],0
a6,1,0.054411,3.70005,[30 11] ; [17 16],[26.04054054 14.95945946] ; [20.95945946 12.04054054],0
p2,1,0.068484,3.318992,[32  8] ; [20 13],[28.49315068 11.50684932] ; [23.50684932  9.49315068],0
n2,1,0.116613,2.462227,[12  2] ; [7 5],[10.23076923  3.76923077] ; [8.76923077 3.23076923],0
s7,1,0.143794,2.13688,[18 21] ; [ 9 22],[15.04285714 23.95714286] ; [11.95714286 19.04285714],0
a2,1,0.149668,2.075633,[ 7 34] ; [ 2 31],[ 4.98648649 36.01351351] ; [ 4.01351351 28.98648649],0
u3,1,0.210096,1.570767,[7 2] ; [5 5],[5.68421053 3.31578947] ; [6.31578947 3.68421053],0
a8,1,0.234431,1.41377,[ 4 32] ; [ 1 29],[ 2.72727273 33.27272727] ; [ 2.27272727 27.72727273],0
p11,1,0.238651,1.388543,[29 12] ; [19 14],[26.59459459 14.40540541] ; [21.40540541 11.59459459],0
n3,1,0.250478,1.320635,[12  2] ; [8 4],[10.76923077  3.23076923] ; [9.23076923 2.76923077],0
p5,1,0.251889,1.312797,[ 4 37] ; [ 1 32],[ 2.77027027 38.22972973] ; [ 2.22972973 30.77027027],0
u1,1,0.251889,1.312797,[ 4 37] ; [ 1 32],[ 2.77027027 38.22972973] ; [ 2.22972973 30.77027027],0
s4,1,0.31809,0.996785,[ 7 34] ; [ 3 30],[ 5.54054054 35.45945946] ; [ 4.45945946 28.54054054],0
p9,1,0.330152,0.948303,[30 11] ; [20 12],[28.08219178 12.91780822] ; [21.91780822 10.08219178],0
a4,1,0.378393,0.775917,[11 30] ; [12 21],[12.74324324 28.25675676] ; [10.25675676 22.74324324],0
s8,1,0.394968,0.723592,[15 26] ; [ 9 24],[13.2972973 27.7027027] ; [10.7027027 22.2972973],0
v3,1,0.395943,0.720613,[14 24] ; [15 17],[15.74285714 22.25714286] ; [13.25714286 18.74285714],0
a3,1,0.413643,0.668305,[32  9] ; [23 10],[30.47297297 10.52702703] ; [24.52702703  8.47297297],0
b5,1,0.439858,0.596654,[26 15] ; [18 15],[24.37837838 16.62162162] ; [19.62162162 13.37837838],0
b4,1,0.451291,0.567408,[20 21] ; [19 14],[21.60810811 19.39189189] ; [17.39189189 15.60810811],0
d5,1,0.471777,0.51781,[36  5] ; [27  6],[34.90540541  6.09459459] ; [28.09459459  4.90540541],0
d3,1,0.516915,0.420044,[29 12] ; [21 12],[27.7027027 13.2972973] ; [22.2972973 10.7027027],0
v1,1,0.518404,0.417067,[20 20] ; [19 14],[21.36986301 18.63013699] ; [17.63013699 15.36986301],0
r1,1,0.626051,0.237455,[30 11] ; [25  7],[30.89041096 10.10958904] ; [24.10958904  7.89041096],0
a5,1,0.62845,0.234168,[29 12] ; [25  8],[29.91891892 11.08108108] ; [24.08108108  8.91891892],0
s6,1,0.643819,0.213782,[24 17] ; [17 15],[23.02739726 17.97260274] ; [17.97260274 14.02739726],0
r2,1,0.689922,0.15917,[33  6] ; [29  4],[33.58333333  5.41666667] ; [28.41666667  4.58333333],0
d1,1,0.736138,0.11355,[22 19] ; [19 14],[22.71621622 18.28378378] ; [18.28378378 14.71621622],0
s2,1,0.767154,0.087675,[16 25] ; [14 19],[16.62162162 24.37837838] ; [13.37837838 19.62162162],0
p1,1,0.781109,0.077214,[ 3 38] ; [ 3 30],[ 3.32432432 37.67567568] ; [ 2.67567568 30.32432432],0
r4,1,0.800108,0.064114,[30 11] ; [25  8],[30.47297297 10.52702703] ; [24.52702703  8.47297297],0
p12,1,0.818022,0.052941,[ 2 38] ; [ 2 30],[ 2.22222222 37.77777778] ; [ 1.77777778 30.22222222],0
r3,1,0.823054,0.050005,[39  2] ; [31  2],[38.78378378  2.21621622] ; [31.21621622  1.78378378],0
d2,1,0.856968,0.032484,[17 24] ; [13 20],[16.62162162 24.37837838] ; [13.37837838 19.62162162],0
s1,1,0.858603,0.031738,[ 1 40] ; [ 1 31],[ 1.12328767 39.87671233] ; [ 0.87671233 31.12328767],0
a1,1,0.876103,0.024308,[ 1 40] ; [ 1 32],[ 1.10810811 39.89189189] ; [ 0.89189189 32.10810811],0
