Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2e-06,23.145652,[27 53] ; [36 10],[40. 40.] ; [23. 23.],1
s6,1,6e-05,16.097048,[29 50] ; [34 12],[39.816 39.184] ; [23.184 22.816],1
s8,1,7.7e-05,15.637746,[12 67] ; [22 24],[21.488 57.512] ; [12.512 33.488],1
s7,1,0.000488,12.160335,[16 60] ; [22 20],[24.47457627 51.52542373] ; [13.52542373 28.47457627],1
a6,1,0.063972,3.43129,[55 25] ; [24 22],[50.15873016 29.84126984] ; [28.84126984 17.15873016],0
v3,1,0.075008,3.169879,[22 55] ; [20 25],[26.50819672 50.49180328] ; [15.49180328 29.50819672],0
n5,1,0.097918,2.73913,[40 40] ; [30 16],[44.44444444 35.55555556] ; [25.55555556 20.44444444],0
p3,1,0.104574,2.634368,[24 56] ; [20 25],[28.16 51.84] ; [15.84 29.16],0
p10,1,0.11391,2.499112,[17 61] ; [16 30],[20.75806452 57.24193548] ; [12.24193548 33.75806452],0
a1,1,0.115886,2.472065,[ 2 78] ; [ 4 42],[ 3.80952381 76.19047619] ; [ 2.19047619 43.80952381],0
p5,1,0.115886,2.472065,[ 2 78] ; [ 4 42],[ 3.80952381 76.19047619] ; [ 2.19047619 43.80952381],0
s1,1,0.124088,2.364952,[ 3 75] ; [ 5 41],[ 5.03225806 72.96774194] ; [ 2.96774194 43.03225806],0
u1,1,0.171819,1.867002,[10 70] ; [10 36],[12.6984127 67.3015873] ; [ 7.3015873 38.6984127],0
p8,1,0.197575,1.660209,[24 56] ; [19 27],[27.3015873 52.6984127] ; [15.6984127 30.3015873],0
s5,1,0.206578,1.595245,[13 65] ; [12 34],[15.72580645 62.27419355] ; [ 9.27419355 36.72580645],0
a3,1,0.209342,1.575973,[43 37] ; [30 16],[46.34920635 33.65079365] ; [26.65079365 19.34920635],0
v2,1,0.215896,1.531445,[30 48] ; [22 22],[33.24590164 44.75409836] ; [18.75409836 25.24590164],0
r1,1,0.232086,1.428029,[67 13] ; [42  4],[69.20634921 10.79365079] ; [39.79365079  6.20634921],0
n3,1,0.250592,1.32,[18  4] ; [7 4],[16.66666667  5.33333333] ; [8.33333333 2.66666667],0
r2,1,0.272149,1.205885,[79  1] ; [44  2],[78.0952381  1.9047619] ; [44.9047619  1.0952381],0
p6,1,0.274672,1.193266,[16 63] ; [13 32],[18.47580645 60.52419355] ; [10.52419355 34.47580645],0
d1,1,0.294214,1.100236,[34 46] ; [24 22],[36.82539683 43.17460317] ; [21.17460317 24.82539683],0
u2,1,0.308819,1.03572,[17 19] ; [10  6],[18.69230769 17.30769231] ; [8.30769231 7.69230769],0
p11,1,0.310152,1.030027,[43 37] ; [29 17],[45.71428571 34.28571429] ; [26.28571429 19.71428571],0
s4,1,0.334304,0.932155,[ 8 72] ; [ 7 37],[ 9.67741935 70.32258065] ; [ 5.32258065 38.67741935],0
v1,1,0.345418,0.890217,[28 52] ; [20 26],[30.47619048 49.52380952] ; [17.52380952 28.47619048],0
n4,1,0.370351,0.802485,[53 27] ; [34 12],[55.23809524 24.76190476] ; [31.76190476 14.23809524],0
d5,1,0.388824,0.742618,[57 23] ; [36 10],[59.04761905 20.95238095] ; [33.95238095 12.04761905],0
b3,1,0.394748,0.724267,[12 37] ; [10 20],[13.64556962 35.35443038] ; [ 8.35443038 21.64556962],0
b2,1,0.394748,0.724267,[12 37] ; [10 20],[13.64556962 35.35443038] ; [ 8.35443038 21.64556962],0
